Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Pengendalian Bersama,Aset Pajak Tangguhan,Tanaman Perkebunan,Tanaman Telah Menghasilkan,Tanaman Belum Menghasilkan,Total Tanaman Perkebunan,Aset Tetap,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Beban Akrual,Utang Pajak,Utang Bank Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,867676000000.000000,16346000000.000000,16346000000.000000,,16346000000.000000,8359000000.000000,,,8359000000.000000,781363000000.000000,301912000000.000000,1975656000000.000000,,,61501000000.000000,1937276000000.000000,600653000000.000000,1336623000000.000000,1937276000000.000000,2001772000000.000000,73953000000.000000,469633000000.000000,4544135000000.000000,6519791000000.000000,,,1016167000000.000000,,271990000000.000000,19465000000.000000,291455000000.000000,97961000000.000000,452036000000.000000,,,,,174715000000.000000,1016167000000.000000,167048000000.000000,,26735000000.000000,140313000000.000000,167048000000.000000,1183215000000.000000,,787373000000.000000,83476000000.000000,4285269000000.000000,157500000000.000000,4127769000000.000000,4285269000000.000000,180331000000.000000,127000000.000000,5336576000000.000000,6519791000000.000000,1574745000.000000
12M 2009,,,788549000000.000000,150091000000.000000,150091000000.000000,,150091000000.000000,6633000000.000000,,,6633000000.000000,610031000000.000000,159122000000.000000,1714426000000.000000,,,92493000000.000000,2614018000000.000000,729251000000.000000,1884767000000.000000,2614018000000.000000,2444959000000.000000,61557000000.000000,643946000000.000000,5856973000000.000000,7571399000000.000000,,,938976000000.000000,,231693000000.000000,6308000000.000000,238001000000.000000,107383000000.000000,297801000000.000000,,,,,295791000000.000000,938976000000.000000,205807000000.000000,,32022000000.000000,173785000000.000000,205807000000.000000,1144783000000.000000,,787373000000.000000,83476000000.000000,5355389000000.000000,157500000000.000000,5197889000000.000000,5355389000000.000000,200251000000.000000,127000000.000000,6426616000000.000000,7571399000000.000000,1574745000.000000
12M 2010,,,1240781000000.000000,50668000000.000000,50668000000.000000,,50668000000.000000,48164000000.000000,,,48164000000.000000,624694000000.000000,86870000000.000000,2051177000000.000000,,,58291000000.000000,3183878000000.000000,1080670000000.000000,2103208000000.000000,3183878000000.000000,2686910000000.000000,53327000000.000000,758216000000.000000,6740622000000.000000,8791799000000.000000,,,1061852000000.000000,,337136000000.000000,11711000000.000000,348847000000.000000,49122000000.000000,302455000000.000000,,,,,361428000000.000000,1061852000000.000000,272690000000.000000,,36945000000.000000,235745000000.000000,272690000000.000000,1334542000000.000000,,787373000000.000000,157500000000.000000,6266814000000.000000,6183211000000.000000,83603000000.000000,6266814000000.000000,245570000000.000000,,7457257000000.000000,8791799000000.000000,1574745000.000000
12M 2011,,,838190000000.000000,5374000000.000000,5374000000.000000,,5374000000.000000,10984000000.000000,,,10984000000.000000,769903000000.000000,261936000000.000000,1886387000000.000000,,,99613000000.000000,3795784000000.000000,1351784000000.000000,2444000000000.000000,3795784000000.000000,3534608000000.000000,55951000000.000000,832152000000.000000,8318108000000.000000,10204495000000.000000,,,1440351000000.000000,,496783000000.000000,25056000000.000000,521839000000.000000,56149000000.000000,354787000000.000000,,,,,507576000000.000000,1440351000000.000000,337986000000.000000,,33321000000.000000,304665000000.000000,337986000000.000000,1778337000000.000000,,787373000000.000000,157500000000.000000,7194742000000.000000,7111139000000.000000,83603000000.000000,7194742000000.000000,286543000000.000000,,8426158000000.000000,10204495000000.000000,1574745000.000000
12M 2012,,,227769000000.000000,40217000000.000000,40217000000.000000,,40217000000.000000,9851000000.000000,,,9851000000.000000,1249050000000.000000,253508000000.000000,1780395000000.000000,,,109036000000.000000,4472873000000.000000,2385573000000.000000,2087300000000.000000,4472873000000.000000,4918673000000.000000,55951000000.000000,1082892000000.000000,10639425000000.000000,12419820000000.000000,,,2600540000000.000000,,548841000000.000000,16580000000.000000,565421000000.000000,72668000000.000000,381999000000.000000,,,971950000000.000000,971950000000.000000,608502000000.000000,2600540000000.000000,453869000000.000000,,29114000000.000000,424755000000.000000,453869000000.000000,3054409000000.000000,,787373000000.000000,83603000000.000000,8158203000000.000000,157500000000.000000,8000703000000.000000,8158203000000.000000,336232000000.000000,,9365411000000.000000,12419820000000.000000,1574745000.000000
12M 2013,,,709090000000.000000,3923000000.000000,3923000000.000000,,3923000000.000000,16631000000.000000,,,16631000000.000000,802978000000.000000,159072000000.000000,1691694000000.000000,,8382000000.000000,173891000000.000000,4973865000000.000000,3352681000000.000000,1621184000000.000000,4973865000000.000000,6493712000000.000000,55951000000.000000,1565695000000.000000,13271496000000.000000,14963190000000.000000,,,3759265000000.000000,,678786000000.000000,40846000000.000000,719632000000.000000,69309000000.000000,317463000000.000000,342816000000.000000,,1808765000000.000000,1808765000000.000000,501280000000.000000,3759265000000.000000,936066000000.000000,571359000000.000000,36138000000.000000,328569000000.000000,936066000000.000000,4695331000000.000000,,787373000000.000000,83603000000.000000,9023626000000.000000,157500000000.000000,8866126000000.000000,9023626000000.000000,373257000000.000000,,10267859000000.000000,14963190000000.000000,1574745000.000000
12M 2014,,,611181000000.000000,33206000000.000000,1736000000.000000,31470000000.000000,33206000000.000000,14245000000.000000,,,14245000000.000000,1278120000000.000000,466863000000.000000,2403615000000.000000,,29213000000.000000,203957000000.000000,6006852000000.000000,3820764000000.000000,2186088000000.000000,6006852000000.000000,8335003000000.000000,55951000000.000000,1523738000000.000000,16154714000000.000000,18558329000000.000000,,,4110955000000.000000,,856261000000.000000,66681000000.000000,922942000000.000000,81640000000.000000,442658000000.000000,632367000000.000000,,1666808000000.000000,1666808000000.000000,364540000000.000000,4110955000000.000000,2609888000000.000000,2127758000000.000000,59306000000.000000,422824000000.000000,2609888000000.000000,6720843000000.000000,,787373000000.000000,83603000000.000000,10548430000000.000000,157500000000.000000,10390930000000.000000,10548430000000.000000,418080000000.000000,,11837486000000.000000,18558329000000.000000,1574745000.000000
12M 2015,,,294441000000.000000,45639000000.000000,16480000000.000000,29159000000.000000,45639000000.000000,42387000000.000000,,,42387000000.000000,1691575000000.000000,740081000000.000000,2814123000000.000000,,109215000000.000000,304729000000.000000,6686273000000.000000,4098397000000.000000,2587876000000.000000,6686273000000.000000,9361731000000.000000,55951000000.000000,2180349000000.000000,18698248000000.000000,21512371000000.000000,,,3522133000000.000000,,707235000000.000000,26300000000.000000,733535000000.000000,88523000000.000000,166082000000.000000,700000000000.000000,,1324860000000.000000,1324860000000.000000,509133000000.000000,3522133000000.000000,6291451000000.000000,5707964000000.000000,70564000000.000000,512923000000.000000,6291451000000.000000,9813584000000.000000,,787373000000.000000,83603000000.000000,10413840000000.000000,157500000000.000000,10256340000000.000000,10413840000000.000000,413971000000.000000,,11698787000000.000000,21512371000000.000000,1574745000.000000
12M 2016,,,531583000000.000000,527273000000.000000,43047000000.000000,484226000000.000000,527273000000.000000,51853000000.000000,3301000000.000000,48552000000.000000,51853000000.000000,2097204000000.000000,843631000000.000000,4051544000000.000000,,271687000000.000000,1021615000000.000000,6674902000000.000000,4645579000000.000000,2029323000000.000000,6674902000000.000000,10027968000000.000000,55951000000.000000,2122455000000.000000,20174578000000.000000,24226122000000.000000,,,3942967000000.000000,,905834000000.000000,34274000000.000000,940108000000.000000,93921000000.000000,272697000000.000000,400000000000.000000,,1585213000000.000000,1585213000000.000000,651028000000.000000,3942967000000.000000,2689673000000.000000,2115811000000.000000,56977000000.000000,516885000000.000000,2689673000000.000000,6632640000000.000000,,962344000000.000000,3878995000000.000000,12293945000000.000000,157500000000.000000,12136445000000.000000,12293945000000.000000,458198000000.000000,,17593482000000.000000,24226122000000.000000,1924688333.000000
12M 2017,,,262292000000.000000,547538000000.000000,71302000000.000000,476236000000.000000,547538000000.000000,157211000000.000000,3156000000.000000,154055000000.000000,157211000000.000000,2018104000000.000000,1260585000000.000000,4245730000000.000000,,188035000000.000000,994046000000.000000,6747214000000.000000,5154777000000.000000,1592437000000.000000,6747214000000.000000,10152225000000.000000,55951000000.000000,2552225000000.000000,20689696000000.000000,24935426000000.000000,,,2309417000000.000000,,804718000000.000000,27795000000.000000,832513000000.000000,130891000000.000000,328460000000.000000,600000000000.000000,,,,417553000000.000000,2309417000000.000000,4089571000000.000000,3369334000000.000000,80668000000.000000,639569000000.000000,4089571000000.000000,6398988000000.000000,,962344000000.000000,3878995000000.000000,13258048000000.000000,192500000000.000000,13065548000000.000000,13258048000000.000000,470495000000.000000,-33444000000.000000,18536438000000.000000,24935426000000.000000,1924688333.000000
