Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,1 B,,(14 B),-9.63
12M 2009,3 B,,(3 B),-2.40
12M 2010,(9 B),(28 B),(37 B),-13.26
12M 2011,(2 B),(15 B),(16 B),-5.90
12M 2012,15 B,,3 B,0.92
12M 2013,20 B,(8 B),12 B,4.23
12M 2014,5 B,(12 B),(7 B),-2.71
12M 2015,19 B,(17 B),2 B,0.80
12M 2016,15 B,,5 B,1.97
12M 2017,(13 B),,(18 B),-6.63
12M 2018,(22 B),(3 B),(25 B),-8.90
12M 2019,(12 B),(2 B),(14 B),-5.06
12M 2020,(50 B),,(51 B),-18.66
12M 2021,(28 B),(2 B),(31 B),-11.07
12M 2022,(96 B),(7 B),(103 B),-26.16
12M 2023,(59 B),(3 B),(61 B),-15.60
12M 2024,(33 B),,(34 B),-8.74
