Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,,,,,7.0,,0.61,,,0.0
12M 2009,,,,,,,,,9.71,10.0,0.72,0.67,,,0.0
12M 2010,,,,,,,,,12.99,13.09,0.62,0.52,,,0.0
12M 2011,,,,,,,,,12.83,10.5,0.55,0.49,,,0.0
12M 2012,,,,,,,,,11.25,10.21,0.45,0.4,,,0.0
12M 2013,,,,,,,,,11.44,10.69,0.4,0.36,,,0.0
12M 2014,,,,,,,,,12.06,11.94,0.42,0.38,,,0.0
12M 2015,,,,,,,,,11.44,11.56,0.4,0.4,,,0.0
12M 2016,,,,,,,,,12.61,12.83,0.42,0.43,,,0.0
12M 2017,,,,,,,,,11.93,12.32,0.39,0.38,,,0.0
12M 2018,,,,,,,,,11.12,10.86,0.36,0.37,,,0.0
12M 2019,,,,,,,,,9.67,9.82,0.33,0.34,,,0.0
12M 2020,,,,,,,,,8.48,8.62,0.3,0.3,,,0.0
12M 2021,,,,,,,,,7.23,7.34,0.26,0.26,,,0.0
12M 2022,,,,,,,,,7.69,8.17,0.26,0.27,,,0.0
12M 2023,,,,,,,,,9.26,9.63,0.25,0.25,,,0.0
12M 2024,,,,,,,,,10.89,11.22,0.28,0.28,,,0.0
