Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Premi,Penerimaan Klaim Reasuransi,Penerimaan Dividen,Pembayaran Klaim,Pembayaran Komisi-Bersih,Pembayaran Beban Umum Dan Administrasi,Pembayaran Premi Reasuransi,Penerimaan (Pembayaran) Lain-Lain - Bersih,Pembayaran Pajak,Pembayaran Beban Underwriting Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pencairan (Penempatan) Deposito,Penerimaan Hasil Investasi,Perolehan Efek,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Penjualan Properti Investasi,Penerimaan Dividen,Investasi Lainnya,Investasi Pada Gedung Perkantoran,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Modal Disetor,Penerimaan Dividen,Pembayaran Dividen,Agio Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Pengaruh Perubahan Kurs Terhadap Kas Dan Setara Kas,Total Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,132100992000.000000,428921863000.000000,6696479000.000000,1803759000.000000,-145012639000.000000,-20535989000.000000,-76272606000.000000,-41529078000.000000,-3745110000.000000,-2789992000.000000,-15435695000.000000,132100992000.000000,-134176374000.000000,-126244904000.000000,11211760000.000000,-8071378000.000000,-12284687000.000000,1212835000.000000,,,,,-134176374000.000000,-5518282000.000000,,,-5518282000.000000,,-5518282000.000000,-7593664000.000000,19408466000.000000,,19408466000.000000,11814802000.000000
12M 2009,54308852000.000000,476788678000.000000,7086891000.000000,2458125000.000000,-208657147000.000000,-16714255000.000000,-59050826000.000000,-122549208000.000000,-860091000.000000,-3367232000.000000,-20826083000.000000,54308852000.000000,-40953720000.000000,-54407156000.000000,16173152000.000000,-518098000.000000,-3212027000.000000,1010409000.000000,,,,,-40953720000.000000,-4551935000.000000,,,-4551935000.000000,,-4551935000.000000,8803197000.000000,11814802000.000000,,11814802000.000000,20617999000.000000
12M 2010,275821990000.000000,906204364000.000000,49487504000.000000,1101659000.000000,-318229649000.000000,-15653929000.000000,-67297687000.000000,-266344063000.000000,-1273254000.000000,-9083630000.000000,-3089325000.000000,275821990000.000000,-276581500000.000000,-223362325000.000000,25231145000.000000,-75094665000.000000,-3361605000.000000,5950000.000000,,,,,-276581500000.000000,-6897852000.000000,,,-6897852000.000000,,-6897852000.000000,-7657362000.000000,20617998000.000000,,20617998000.000000,12960636000.000000
12M 2011,145475476000.000000,865978257000.000000,13409600000.000000,8988332000.000000,-375012246000.000000,-15712561000.000000,-69467676000.000000,-272263097000.000000,11088666000.000000,-17637594000.000000,-3896205000.000000,145475476000.000000,-221563229000.000000,-161622025000.000000,44099461000.000000,-94908953000.000000,-14707831000.000000,5576119000.000000,,,,,-221563229000.000000,90408424000.000000,103467780000.000000,,-15520167000.000000,2460811000.000000,90408424000.000000,14320671000.000000,12960636000.000000,,12960636000.000000,27281307000.000000
12M 2012,152055633000.000000,941974261000.000000,10581019000.000000,8939967000.000000,-426097660000.000000,-21308446000.000000,-152426809000.000000,-149717510000.000000,-32171848000.000000,-24996608000.000000,-2720733000.000000,152055633000.000000,-138023655000.000000,-72371900000.000000,58437079000.000000,-116816666000.000000,-19694156000.000000,970595000.000000,,,,11451393000.000000,-138023655000.000000,-18624200000.000000,,,-18624200000.000000,,-18624200000.000000,-4592222000.000000,27281307000.000000,,27281307000.000000,22689085000.000000
12M 2013,291321866000.000000,1073293102000.000000,12726274000.000000,7829319000.000000,-522138346000.000000,-25383471000.000000,-114940235000.000000,-171069570000.000000,67139223000.000000,-31388801000.000000,-4745629000.000000,291321866000.000000,26661195000.000000,156286250000.000000,75301684000.000000,-179050264000.000000,-16955257000.000000,1749032000.000000,,,,-10670250000.000000,26661195000.000000,-24832267000.000000,,,-24832267000.000000,,-24832267000.000000,293150794000.000000,504879085000.000000,,504879085000.000000,798029879000.000000
12M 2014,225949122000.000000,1225296124000.000000,10639682000.000000,11950951000.000000,-630181137000.000000,-187520757000.000000,-124978963000.000000,-38843281000.000000,-5597335000.000000,-32271115000.000000,-2545047000.000000,225949122000.000000,56658231000.000000,4525250000.000000,103515200000.000000,106785993000.000000,-17818619000.000000,3126607000.000000,,,,-143476200000.000000,56658231000.000000,-46560501000.000000,,,-46560501000.000000,,-46560501000.000000,236046852000.000000,798029879000.000000,,798029879000.000000,1034076731000.000000
12M 2015,130278791000.000000,1237878229000.000000,11600210000.000000,10362247000.000000,-702077350000.000000,-212717367000.000000,-152557681000.000000,-50048508000.000000,2948392000.000000,-14144381000.000000,-965000000.000000,130278791000.000000,-40485455000.000000,-100000000000.000000,286153719000.000000,-217140859000.000000,-9676272000.000000,177957000.000000,,,,,-40485455000.000000,-52768568000.000000,,,-52768568000.000000,,-52768568000.000000,37024768000.000000,1034076731000.000000,,1034076731000.000000,1071101499000.000000
12M 2016,121204705000.000000,1279121715000.000000,26937611000.000000,2151363000.000000,-744772154000.000000,-194197382000.000000,-180392022000.000000,-44625894000.000000,2366987000.000000,-23952616000.000000,-1432903000.000000,121204705000.000000,-249074055000.000000,118100000000.000000,108587381000.000000,-461899498000.000000,-5478343000.000000,78616000.000000,,,,-8462211000.000000,-249074055000.000000,-80704868000.000000,,,-80704868000.000000,,-80704868000.000000,-208574218000.000000,1071101499000.000000,,1071101499000.000000,862527281000.000000
12M 2017,63962220000.000000,1235539246000.000000,10228239000.000000,2117726000.000000,-667762311000.000000,-169938539000.000000,-230664386000.000000,-44821596000.000000,-24940127000.000000,-44171614000.000000,-1624418000.000000,63962220000.000000,-365116072000.000000,-57300000000.000000,124424945000.000000,-424889611000.000000,-2907953000.000000,49147000.000000,,,,-4492600000.000000,-365116072000.000000,-55872601000.000000,,,-55872601000.000000,,-55872601000.000000,-357026453000.000000,862527281000.000000,,862527281000.000000,505500828000.000000
