Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,"Pembayaran Kepada Pemasok, Karyawan Dan Lainnya",Penerimaan Dari:,Taksiran Tagihan Pajak,Pendapatan Bunga,Total Penerimaan Dari:,Pembayaran Atas:,Bunga,Pajak Penghasilan,Total Pembayaran Atas:,Penerimaan Lainnya,Pembayaran Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Pembayaran Utang Atas Pembelian Aset Tetap,Pembayaran Utang Atas Perolehan Aset Takberwujud,Penurunan (Penambahan) Aset Keuangan Lancar Lainnya,Penambahan Biaya Eksplorasi Dan Pengembangan,Hasil Penjualan Aset Tetap,Penerimaan Penjualan Aset Tetap Dari Piutang,Akuisisi Entitas Anak - Setelah Dikurangi Kas Dan Setara Kas,Akuisisi Investasi Dalam Saham,Uang Muka Untuk Perolehan Aset Tetap,Deposito Berjangka Yang Digunakan Sebagai Jaminan Pinjaman,Lain-Lain,Hasil Dari Penjualan Penyertaan Saham,Penambahan Penyertaan Saham,Penambahan Uang Muka Penyertaan Saham,Perolehan Investasi Entitas Asosiasi,Penerimaan Dividen Dari Entitas Asosiasi,Penerimaan Dividen Dari Investasi Pada Saham,Hasil Penjualan Aset Tidak Lancar,Kas Dan Setara Kas Yang Dilepaskan Dari Dekonsolidasi Entitas Anak,(Kenaikan) Penurunan Aset Tidak Lancar Lainnya,Penambahan Aset Tidak Berwujud,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Perolehan Dari:,Utang Bank Jangka Panjang,Utang Bank Jangka Pendek,Dividen,Liabilitas Sewa,Total Perolehan Dari:,Pembayaran Untuk:,Utang Bank Jangka Panjang,Utang Bank Jangka Pendek,Utang Sewa Pembiayaan,Liabilitas Sewa,Beban Bunga,Total Pembayaran Untuk:,Perolehan Dari Utang Obligasi,Pembayaran Utang Obligasi,Perolehan Dari Utang Kepada Pihak Berelasi,Pembayaran Pinjaman Oleh Pihak Ketiga,Kas Di Bank Yang Dibatasi Penggunaannya Untuk Pembayaran Bunga Atas Pinjaman Bank,Pemberian Pinjaman Kepada Pihak Ketiga,Hasil Penerbitan Obligasi Dan Sukuk Ijarah - Neto,Penerimaan Dari Penawaran Umun Perdanaa Saham - Neto,Penambahan (Pembayaran) Utang Jangka Panjang,Penerimaan (Pembayaran) Utang Dari Pihak Berelasi,Penjualan Kepemilikan Saham Kepada Kepentingan Non-Pengendali,Obligasi Wajib Tukar,Pembayaran Obligasi Wajib Tukar,Utang Pemegang Saham,Peningkatan Modal Saham Entitas Anak,Akuisisi Kepentingan Non Pengendali,Selisih Dari Transaksi Dengan Kepentingan Non Pengendali,Utang Keuangan Jangka Panjang Lainnya,Utang Obligasi Dan Sukuk Ijarah,Kepentingan Non Pengendali Dari Pendirian Entitas Anak Baru,Pembayaran Untuk Dividen Kas Kepada Kepentingan Non Pengendali,Pembayaran Dividen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2010,612476000000.000000,4586444000000.000000,-3867027000000.000000,,128286000000.000000,22456000000.000000,150742000000.000000,,-112342000000.000000,-104006000000.000000,-216348000000.000000,2134000000.000000,-43469000000.000000,612476000000.000000,-983364000000.000000,-786936000000.000000,,,,-9897000000.000000,25757000000.000000,,,,,,,,-204862000000.000000,,,,,,,,-7426000000.000000,,-983364000000.000000,197251000000.000000,1636017000000.000000,,,,,1636017000000.000000,,,-583346000000.000000,-593461000000.000000,,,-1176807000000.000000,,,,,,166220000000.000000,,,,-428179000000.000000,,,,,,,,,,,,,197251000000.000000,-173637000000.000000,-7899000000.000000,614575000000.000000,433039000000.000000
12M 2011,148075000000.000000,6214820000000.000000,-5877532000000.000000,,80867000000.000000,23743000000.000000,104610000000.000000,,-195152000000.000000,-130223000000.000000,-325375000000.000000,45032000000.000000,-13480000000.000000,148075000000.000000,-2425412000000.000000,-1532977000000.000000,,,,-56708000000.000000,54773000000.000000,,-601310000000.000000,,-72852000000.000000,-175627000000.000000,,1000000000.000000,,-41711000000.000000,,,,,,,,,-2425412000000.000000,3510511000000.000000,3339779000000.000000,,,,,3339779000000.000000,,,-855112000000.000000,-328584000000.000000,,,-1183696000000.000000,,,,,,,,1480302000000.000000,-125874000000.000000,,,,,,,,,,,,,,3510511000000.000000,1233174000000.000000,2457000000.000000,433039000000.000000,1668670000000.000000
12M 2012,133333600.000000,838263943.000000,-666137205.000000,,,9741175.000000,9741175.000000,,-41694097.000000,-6840216.000000,-48534313.000000,,,133333600.000000,-210677703.000000,-189795435.000000,,,-19491262.000000,-8001525.000000,3837314.000000,,-2278461.000000,,-15299778.000000,20351444.000000,,,,,,,,,,,,,-210677703.000000,6681209.000000,,91086314.000000,136611090.000000,,,227697404.000000,,-135648679.000000,-136755807.000000,-51942600.000000,,,-324347086.000000,,,,,,,103330891.000000,,,,,,,,,,,,,,,,6681209.000000,-70662894.000000,-4900987.000000,184017455.000000,108453574.000000
12M 2013,103940332.000000,780132672.000000,-630069408.000000,,,5832218.000000,5832218.000000,,-49528330.000000,-2426820.000000,-51955150.000000,,,103940332.000000,-77106255.000000,-103544595.000000,,,5352163.000000,-8345591.000000,41509880.000000,,,,-11831988.000000,,,,,-246124.000000,,,,,,,,,-77106255.000000,-31910921.000000,,143349059.000000,49739527.000000,,,193088586.000000,,-109559891.000000,-51957483.000000,-60072889.000000,,,-221590263.000000,,,,,,,,,,,,,,,,,,,,,,-3409244.000000,-31910921.000000,-5076844.000000,-13308753.000000,108453574.000000,90067977.000000
12M 2014,111936875.000000,717882150.000000,-604537877.000000,,,5290545.000000,5290545.000000,,,-6697943.000000,-6697943.000000,,,111936875.000000,-91366900.000000,-65514787.000000,-53691807.000000,,-5236545.000000,-619739.000000,42412122.000000,,,,-8716144.000000,,,,,,,,,,,,,,-91366900.000000,-4329775.000000,,400998442.000000,34274604.000000,,,435273046.000000,,-297242140.000000,-38745983.000000,-58196401.000000,,-44266652.000000,-438451176.000000,,,,,,,,,,,,,,,,,,,,,,-1151645.000000,-4329775.000000,16240200.000000,-2003081.000000,90067977.000000,104305096.000000
12M 2015,189856001.000000,639399952.000000,-457938500.000000,,11746999.000000,3359883.000000,15106882.000000,,,-6712333.000000,-6712333.000000,,,189856001.000000,-131234461.000000,-30733399.000000,-62549672.000000,,-8596533.000000,-29457204.000000,605735.000000,,,,-503388.000000,,,,,,,,,,,,,,-131234461.000000,-45190277.000000,,,36100184.000000,,,36100184.000000,,-17111086.000000,-39811620.000000,-11226908.000000,,-34379867.000000,-102529481.000000,,,,,,,,,,,,21239020.000000,,,,,,,,,,,-45190277.000000,13431263.000000,-5380445.000000,104305096.000000,112355914.000000
12M 2016,120312747.000000,576947252.000000,-462190513.000000,,10290273.000000,7075308.000000,17365581.000000,,,-11809573.000000,-11809573.000000,,,120312747.000000,-33718347.000000,-21697358.000000,-28606608.000000,,17027488.000000,-1521360.000000,1079491.000000,,,,,,,,,,,,,,,,,,-33718347.000000,-126024136.000000,,,7396222.000000,,,7396222.000000,,-64256499.000000,-29413430.000000,-14179916.000000,,-34070324.000000,-141920169.000000,,,,,,,,,,,,,-21748586.000000,30000000.000000,594314.000000,196433.000000,-542350.000000,,,,,,-126024136.000000,-39429736.000000,8787013.000000,112355914.000000,81713191.000000
12M 2017,150847745.000000,697849412.000000,-537645067.000000,,14552032.000000,2469914.000000,17021946.000000,,,-26378546.000000,-26378546.000000,,,150847745.000000,-42125570.000000,-44962750.000000,-6643903.000000,,10533098.000000,-16245.000000,1279654.000000,,,,-242179.000000,,,,-73812.000000,-1999433.000000,,,,,,,,,-42125570.000000,-49538326.000000,,,,,,,,-341455629.000000,-18135181.000000,,,-25405088.000000,-384995898.000000,338468136.000000,,15230845.000000,,,,,,,,,,,-15000000.000000,,,,-2951568.000000,-437687.000000,147846.000000,,,-49538326.000000,59183849.000000,-206548.000000,81713191.000000,140690492.000000
12M 2018,135839564.000000,775133765.000000,-605491060.000000,,2892559.000000,3538930.000000,6431489.000000,,,-40234630.000000,-40234630.000000,,,135839564.000000,-47198560.000000,-21938069.000000,-9289052.000000,,-13000000.000000,-829480.000000,1788921.000000,,,,-395755.000000,,,,,,,,,7397876.000000,-9139018.000000,,-1793983.000000,,-47198560.000000,-83346744.000000,,,,,,,,-435631.000000,-10407808.000000,,,-41861327.000000,-52704766.000000,,,,,,,,,,-15230845.000000,,,,-15000000.000000,,,,,,-411133.000000,,,-83346744.000000,5294260.000000,-1932068.000000,140690492.000000,144052684.000000
12M 2019,60114845.000000,608883285.000000,-524115955.000000,,5361431.000000,3004620.000000,8366051.000000,,,-33018536.000000,-33018536.000000,,,60114845.000000,-88304040.000000,-40855629.000000,-968614.000000,,13000000.000000,-2545619.000000,2020267.000000,,,-60000000.000000,-458077.000000,,,,,,,,,218284.000000,298225.000000,2428859.000000,-1441736.000000,,-88304040.000000,-14625582.000000,,,35000000.000000,,,35000000.000000,,,,-8499856.000000,,-34218695.000000,-42718551.000000,,,,,,,,,,,,,,,,,,,,,,-6907031.000000,-14625582.000000,-42814777.000000,685556.000000,144052684.000000,101923463.000000
12M 2020,132348535.000000,573153138.000000,-436642968.000000,,15823160.000000,3681276.000000,19504436.000000,,,-23666071.000000,-23666071.000000,,,132348535.000000,-62530624.000000,-44274219.000000,-7949767.000000,-7110838.000000,-121232.000000,-10139340.000000,8126122.000000,1221514.000000,,,-494316.000000,,,,,,,,,,,-612022.000000,-1176526.000000,,-62530624.000000,-62050066.000000,,,150000000.000000,,,150000000.000000,,,-145000000.000000,-23217837.000000,,-41309438.000000,-209527275.000000,,,,,,,,,,,,,,,,,,,,,,-2522791.000000,-62050066.000000,7767845.000000,-478912.000000,101923463.000000,109212396.000000
12M 2021,364559017.000000,1000056440.000000,-617959057.000000,,17313592.000000,1784776.000000,19098368.000000,,,-36636734.000000,-36636734.000000,,,364559017.000000,-80544888.000000,-67170673.000000,-1670867.000000,-5198946.000000,24572.000000,-6970543.000000,4907987.000000,177140.000000,,,-643679.000000,,,,,,,,,,,-2712548.000000,-1287331.000000,,-80544888.000000,-155517217.000000,,123847615.000000,182900000.000000,,1196540.000000,307944155.000000,,,-218200000.000000,-38107120.000000,,-57007447.000000,-313314567.000000,191516000.000000,-350000000.000000,,,,,,,,,8500000.000000,,,,,-162805.000000,,,,,,,-155517217.000000,128496912.000000,-488867.000000,109212396.000000,237220441.000000
12M 2022,500728534.000000,1341413378.000000,-748034203.000000,,21654228.000000,2596132.000000,24250360.000000,,,-116901001.000000,-116901001.000000,,,500728534.000000,-877107047.000000,-316282307.000000,-19659359.000000,-2203136.000000,-99289782.000000,-19305473.000000,2024248.000000,32709.000000,,,-1306466.000000,,,,,,-444251363.000000,30000000.000000,22500000.000000,,,-26623323.000000,-2742795.000000,,-877107047.000000,368329413.000000,,535185820.000000,168769526.000000,,,703955346.000000,,-23600000.000000,-113086516.000000,-35982702.000000,,-56452091.000000,-229121309.000000,,-40000000.000000,,,,,,,,,,,,,,,,,,,,-66504624.000000,368329413.000000,-8049100.000000,-7605204.000000,237220441.000000,221566137.000000
12M 2023,387302217.000000,1405439242.000000,-908314937.000000,,8714333.000000,4812848.000000,13527181.000000,,,-123349269.000000,-123349269.000000,,,387302217.000000,-268709069.000000,-333462387.000000,-80648118.000000,-1364360.000000,28553596.000000,-16438396.000000,17242906.000000,,,,-1766568.000000,,,,,,,124500000.000000,20000000.000000,5250000.000000,-27783650.000000,-1695442.000000,-1096650.000000,,-268709069.000000,-153254348.000000,,260807209.000000,258142550.000000,,,518949759.000000,,-175517980.000000,-242292332.000000,-54908582.000000,,-102385213.000000,-575104107.000000,,,,,,,,,,,,,,,,,,,,,,-97100000.000000,-153254348.000000,-34661200.000000,1672039.000000,221566137.000000,188576976.000000
12M 2024,358012884.000000,1240442795.000000,-820757695.000000,,10750748.000000,4558293.000000,15309041.000000,,,-76981257.000000,-76981257.000000,,,358012884.000000,-109663024.000000,-198194623.000000,-76380217.000000,,5668443.000000,-2272467.000000,31661883.000000,,-13998702.000000,,-44248.000000,,,,,,,147500000.000000,5831454.000000,569990.000000,,-4762640.000000,-5241897.000000,,-109663024.000000,-262253239.000000,,1056025880.000000,503238615.000000,,,1559264495.000000,,-411838891.000000,-1025643961.000000,-53094885.000000,,-112341659.000000,-1602919396.000000,,-168598313.000000,,,,,,,,,,,,,,,,,,,,-50000025.000000,-262253239.000000,-13903379.000000,-4355421.000000,188576976.000000,170318176.000000
