Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Proyek,Pembayaran Kepada Pemasok Lain,Pembayaran Proyek,Pembayaran Beban Pajak,"Pembayaran Beban Gaji ,Tunjangan Dan Kesejahteraan Karyawan",Pembayaran Beban Operasional,Pembayaran Bunga,Penerimaan Bunga,Pembayaran (Penerimaan) Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pendapatan Bunga,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Penjualan Penyertaan Pada Entitas Anak,Penambahan Aset Keuangan Tersedia Untuk Dijual,Pecairan Deposito Berjangka Yang Dibatasi Penggunaannya,Akuisisi Entitas Anak,Penempatan Deposito Berjangka Yang Dibatasi Penggunaannya,Penyertaan Saham,Penambahan Uang Muka Jangka Panjang,Penambahan Investasi Pada Entitas,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman,Pembayaran Pinjaman,Pembayaran Dividen,Pembayaran Liabilitas Sewa Pembiayaan,Pembayaran Pinjaman Lain-Lain,Pembayaran Pinjaman Bank Jangka Pendek,Penerimaan Fasilitas Pembiayaan Pemasok,Pembayaran Fasilitas Pembiayaan Pemasok,Penerimaan Dari Pinjaman Pemegang Saham,Pembayaran Transaksi Atas Penawaran Umum Terbatas,Akuisisi Kepentingan Non Pengendali Entitas Anak,Pembayaran Pinjaman Pemegang Saham,Utang Pemegang Saham,Tambahan Setoran Modal,Penjualan Penyertaan Saham Pada Entitas Anak Tanpa Kehilangan Pengendalian,Penerimaan Dari Penawaran Umum Terbatas,Penerimaan Pinjaman Lain Lain,Tambahan Kepentingan Nonpengendali Pada Entitas Anak,Pembayaran Bunga,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2012,44407665576.000000,692428615172.000000,,-585796278477.000000,-21855097704.000000,-20338591710.000000,-13804460993.000000,-4387810072.000000,,-1838710640.000000,44407665576.000000,-69374425233.000000,2300335071.000000,479159000.000000,-70673919304.000000,,,,,,-1480000000.000000,,,-69374425233.000000,68452029496.000000,73747497091.000000,-5295467595.000000,,,,,,,,,,,,,,,,,,68452029496.000000,43485269839.000000,20345215084.000000,1134559946.000000,64965044869.000000
12M 2013,-124600277569.000000,819516383537.000000,,-854619654195.000000,-22095808750.000000,-27455171399.000000,-20803712684.000000,-12382580472.000000,,-6759733606.000000,-124600277569.000000,-135136495524.000000,2249702902.000000,260000000.000000,-133043125426.000000,131835000.000000,,,,-4734908000.000000,,,,-135136495524.000000,242040896847.000000,127182362591.000000,-126937956899.000000,,,,,,,,,,,,241796491155.000000,,,,,,242040896847.000000,-17695876246.000000,64965044869.000000,1449525663.000000,48718694286.000000
12M 2014,-45041261379.000000,1151700741198.000000,,-1087105435105.000000,-29352851464.000000,-34674097568.000000,-35968274915.000000,,,-9641343525.000000,-45041261379.000000,-79176835291.000000,1753952211.000000,108544000.000000,-78634331502.000000,-2405000000.000000,,,,,,,,-79176835291.000000,125785384290.000000,453197200632.000000,-281304316578.000000,-19750000000.000000,,,,,,,,,,,,,,,,-26357499764.000000,125785384290.000000,1567287620.000000,45052860395.000000,220204652.000000,46840352667.000000
12M 2015,-27135000000.000000,1289836000000.000000,-1270271000000.000000,,,-46700000000.000000,,,,,-27135000000.000000,-107873000000.000000,2167000000.000000,5369000000.000000,-118831000000.000000,-3255000000.000000,,14728000000.000000,,,,-8051000000.000000,,-107873000000.000000,149339000000.000000,175548000000.000000,-400005000000.000000,-21000000000.000000,,-11637000000.000000,,,,,,,-32000000000.000000,382000000000.000000,,,,101446000000.000000,,-45013000000.000000,149339000000.000000,14331000000.000000,46840000000.000000,-500000000.000000,60671000000.000000
12M 2016,-158255000000.000000,1512504000000.000000,-1639817000000.000000,,,-46160000000.000000,,,15218000000.000000,,-158255000000.000000,-137159000000.000000,,3952000000.000000,-121722000000.000000,-11327000000.000000,,,,,,-8062000000.000000,,-137159000000.000000,373970000000.000000,955000000000.000000,-700000000000.000000,-24450000000.000000,-693000000.000000,-34060000000.000000,,,,,-3544000000.000000,,-460000000000.000000,110000000000.000000,,,600000000000.000000,,,-68283000000.000000,373970000000.000000,78556000000.000000,60671000000.000000,-12000000.000000,139215000000.000000
12M 2017,-1128265000000.000000,1170967000000.000000,-2043634000000.000000,,,-263284000000.000000,,,7686000000.000000,,-1128265000000.000000,-230799000000.000000,,3125000000.000000,-175407000000.000000,-13750000000.000000,-20000000000.000000,,-24767000000.000000,,,,,-230799000000.000000,1435434000000.000000,1611507000000.000000,-774328000000.000000,-40600000000.000000,-1557000000.000000,-39462000000.000000,,,,,,,-372000000000.000000,1072000000000.000000,,,,61936000000.000000,,-82062000000.000000,1435434000000.000000,76370000000.000000,139215000000.000000,-466000000.000000,215119000000.000000
12M 2018,-857235000000.000000,665416000000.000000,-753030000000.000000,,,-540493000000.000000,,-238454000000.000000,9326000000.000000,,-857235000000.000000,-258052000000.000000,,6236000000.000000,-271043000000.000000,,,,6755000000.000000,,,,,-258052000000.000000,1123060000000.000000,3214441000000.000000,-1650232000000.000000,-40600000000.000000,-641000000.000000,-52650000000.000000,,,,,,,-800000000000.000000,500000000000.000000,,,,85331000000.000000,,-132589000000.000000,1123060000000.000000,7773000000.000000,215119000000.000000,-238000000.000000,222654000000.000000
12M 2019,-341724000000.000000,1235588000000.000000,-962555000000.000000,,,-423429000000.000000,,-220424000000.000000,29096000000.000000,,-341724000000.000000,-175906000000.000000,,4227000000.000000,-180133000000.000000,,,,,,,,,-175906000000.000000,476190000000.000000,3379293000000.000000,-5217758000000.000000,-3500000000.000000,-12759000000.000000,-82228000000.000000,,,,,,,-400000000000.000000,3203000000000.000000,,,,149421000000.000000,,-539279000000.000000,476190000000.000000,-41440000000.000000,222654000000.000000,552000000.000000,181766000000.000000
12M 2020,1761692000000.000000,6866225000000.000000,-4775170000000.000000,,,-309494000000.000000,,-34102000000.000000,14233000000.000000,,1761692000000.000000,-61659000000.000000,,1854000000.000000,-63513000000.000000,,,,,,,,,-61659000000.000000,-1804014000000.000000,1675055000000.000000,-2247978000000.000000,,-5521000000.000000,-74272000000.000000,,,,,-2831000000.000000,,-3196242000000.000000,721000000000.000000,,,1499992000000.000000,,,-173217000000.000000,-1804014000000.000000,-103981000000.000000,181766000000.000000,-4382000000.000000,73403000000.000000
12M 2021,197089000000.000000,1776447000000.000000,-1308340000000.000000,,,-236210000000.000000,,-37286000000.000000,2478000000.000000,,197089000000.000000,-8685000000.000000,,1340000000.000000,-10025000000.000000,,,,,,,,,-8685000000.000000,209820000000.000000,230000000000.000000,-475000000000.000000,,-5325000000.000000,-52720000000.000000,,,,,-1097000000.000000,-20250000000.000000,-727758000000.000000,,1500000000000.000000,,,,,-238030000000.000000,209820000000.000000,398224000000.000000,73400000000.000000,33000000.000000,471657000000.000000
