Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2012,44 B,(71 B),(26 B),-656656.34
12M 2013,(125 B),(133 B),(258 B),-515.29
12M 2014,(45 B),(79 B),(124 B),-247.35
12M 2015,(27 B),(119 B),(146 B),-291.93
12M 2016,(158 B),(122 B),(280 B),-399.97
12M 2017,"(1,128 B)",(175 B),"(1,304 B)",-1862.39
12M 2018,(857 B),(271 B),"(1,128 B)",-1611.83
12M 2019,(342 B),(180 B),(522 B),-745.51
12M 2020,"1,762 B",(64 B),"1,698 B",264.30
12M 2021,197 B,(10 B),187 B,14.76
12M 2022,(217 B),(4 B),(221 B),-17.41
12M 2023,(102 B),(10 B),(111 B),-8.79
12M 2024,(123 B),(25 B),(148 B),-11.65
