Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2007,1.00 B,559.71,3.93,0.89,,16.95%,45.71%,48.51%,
12M 2008,1.00 B,1020.23,1.42,0.43,,28.40%,52.32%,41.18%,
12M 2009,1.00 B,1212.40,5.65,1.74,,28.00%,45.71%,41.87%,
12M 2010,1.00 B,1467.91,8.17,3.08,,19.32%,38.68%,32.39%,
12M 2011,1.00 B,1583.32,8.02,2.39,,9.37%,35.81%,17.24%,
12M 2012,1.00 B,1418.64,6.91,1.45,,5.57%,28.17%,8.95%,
12M 2013,1.00 B,1707.20,4.74,1.00,,5.51%,28.35%,8.09%,
12M 2014,1.00 B,792.16,9.09,0.87,,2.65%,19.48%,3.48%,
12M 2015,1.00 B,664.84,5.22,0.43,,2.40%,15.25%,3.12%,
12M 2016,1.00 B,1009.35,6.69,0.80,,3.65%,20.28%,6.20%,
12M 2017,1.00 B,1409.15,5.06,0.78,,4.78%,24.53%,7.43%,
12M 2018,1.00 B,1815.26,5.01,0.89,"2,577.32 B",5.76%,25.83%,8.15%,
12M 2019,1.00 B,2108.69,4.93,0.92,"2,974.73 B",6.00%,26.10%,8.64%,
12M 2020,1.00 B,1025.57,8.75,0.95,"1,692.92 B",3.51%,12.94%,4.59%,
12M 2021,1.00 B,1212.70,6.35,0.89,"1,818.40 B",5.11%,13.65%,6.04%,
12M 2022,1.00 B,1605.56,5.61,1.08,"2,247.78 B",6.45%,16.00%,8.39%,
12M 2023,1.00 B,1944.05,5.63,1.15,"2,671.80 B",6.27%,17.49%,8.85%,
12M 2024,1.00 B,1406.68,7.00,0.99,"1,954.54 B",4.32%,12.17%,5.51%,
