Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Total Piutang Lain-Lain,Aset Tetap,Properti Investasi,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Wesel Bayar,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain-Lain,Utang Jangka Panjang Dari Pihak Berelasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,162076044000.000000,388233910000.000000,121504817000.000000,266729093000.000000,388233910000.000000,34624047000.000000,,34624047000.000000,34624047000.000000,535380577000.000000,294115402000.000000,1414429980000.000000,,3144447000.000000,113905722000.000000,,,,2217190137000.000000,,,107259835000.000000,2441500141000.000000,3855930121000.000000,,,1435701285000.000000,,,44937032000.000000,44937032000.000000,,4406278000.000000,47292461000.000000,51698739000.000000,3299610000.000000,96617969000.000000,,39640724000.000000,39640724000.000000,1199507211000.000000,1435701285000.000000,1408373600000.000000,119369434000.000000,,568430303000.000000,,568430303000.000000,,648455862000.000000,72118001000.000000,1408373600000.000000,2844074885000.000000,,1944589780000.000000,65000000000.000000,-1519555927000.000000,,,-1519555927000.000000,693422000.000000,521127961000.000000,1011855236000.000000,3855930121000.000000,3889179559.000000
12M 2009,,,118541427000.000000,375257568000.000000,123622955000.000000,251634613000.000000,375257568000.000000,82863540000.000000,,82863540000.000000,82863540000.000000,542528387000.000000,299462431000.000000,1418653353000.000000,,1825886000.000000,102174291000.000000,,,,2094961771000.000000,,,102256846000.000000,2301218794000.000000,3719872147000.000000,,,1299925455000.000000,,,109450902000.000000,109450902000.000000,,13246940000.000000,13097050000.000000,26343990000.000000,3414261000.000000,101456044000.000000,,34779981000.000000,34779981000.000000,1024480277000.000000,1299925455000.000000,1329612534000.000000,128807371000.000000,,470483049000.000000,,470483049000.000000,,648455862000.000000,81866252000.000000,1329612534000.000000,2629537989000.000000,,1944589780000.000000,65000000000.000000,-1465744640000.000000,,,-1465744640000.000000,655080000.000000,545833938000.000000,1090334158000.000000,3719872147000.000000,3889179559.000000
12M 2010,,,144178251000.000000,316758828000.000000,119607632000.000000,197151196000.000000,316758828000.000000,146081563000.000000,1575187000.000000,144506376000.000000,146081563000.000000,649984168000.000000,292774757000.000000,1549777567000.000000,,,107637746000.000000,,,,1982057657000.000000,,,126662090000.000000,2216357493000.000000,3766135060000.000000,,,1362587188000.000000,,,179450030000.000000,179450030000.000000,,64580660000.000000,10968831000.000000,75549491000.000000,20751237000.000000,98080316000.000000,,42751234000.000000,42751234000.000000,946004880000.000000,1362587188000.000000,1154200372000.000000,139885947000.000000,,321212418000.000000,,321212418000.000000,,648455862000.000000,44646145000.000000,1154200372000.000000,2516787560000.000000,,1944589780000.000000,65000000000.000000,-1296361352000.000000,,,-1296361352000.000000,48140000.000000,536070932000.000000,1249347500000.000000,3766135060000.000000,3889179559.000000
12M 2011,,,309330444000.000000,469889122000.000000,141196107000.000000,328693015000.000000,469889122000.000000,20759173000.000000,1272857000.000000,19486316000.000000,20759173000.000000,892803167000.000000,385004512000.000000,2077786418000.000000,,,70725751000.000000,,,,2934477634000.000000,,,164213965000.000000,3169417350000.000000,5247203768000.000000,,,1554531475000.000000,,,286811786000.000000,286811786000.000000,,82134652000.000000,5901837000.000000,88036489000.000000,74274688000.000000,116965354000.000000,,37886398000.000000,37886398000.000000,950556760000.000000,1554531475000.000000,1120459782000.000000,138286561000.000000,,294454999000.000000,,294454999000.000000,,648455862000.000000,39262360000.000000,1120459782000.000000,2674991257000.000000,,1944589780000.000000,65000000000.000000,289477749000.000000,,,289477749000.000000,-4850412000.000000,277995394000.000000,2572212511000.000000,5247203768000.000000,3889179559.000000
12M 2012,,,25847832.000000,55647692.000000,12957798.000000,42689894.000000,55647692.000000,7518467.000000,79967.000000,7438500.000000,7518467.000000,99038524.000000,66099296.000000,254151811.000000,,,,,,,329929757.000000,,,14756778.000000,344686535.000000,598838346.000000,,,118002853.000000,,,27281772.000000,27281772.000000,,11953878.000000,435948.000000,12389826.000000,1702722.000000,2672904.000000,,4388958.000000,4388958.000000,69566671.000000,118002853.000000,160805632.000000,12931727.000000,,28688369.000000,47528856.000000,76217225.000000,67058517.000000,,4598163.000000,160805632.000000,278808485.000000,,216281813.000000,7229452.000000,42432771.000000,527983.000000,41904788.000000,42432771.000000,-635395.000000,54721220.000000,320029861.000000,598838346.000000,3889179559.000000
12M 2013,,,24185638.000000,51296293.000000,14452394.000000,36843899.000000,51296293.000000,1310209.000000,63441.000000,1246768.000000,1310209.000000,110441806.000000,55584790.000000,242818736.000000,,,,,,,314973896.000000,,,2943601.000000,317917497.000000,560736233.000000,,,92136958.000000,,,41290146.000000,41290146.000000,,12187027.000000,585675.000000,12772702.000000,707042.000000,1327006.000000,,4599693.000000,4599693.000000,31440369.000000,92136958.000000,149181397.000000,22561041.000000,,23656527.000000,44752074.000000,68408601.000000,53200087.000000,,5011668.000000,149181397.000000,241318355.000000,,216281813.000000,58441593.000000,43478444.000000,1027983.000000,42450461.000000,43478444.000000,293931.000000,922097.000000,319417878.000000,560736233.000000,3889179559.000000
12M 2014,,,28437832.000000,40188429.000000,14897936.000000,25290493.000000,40188429.000000,435649.000000,120613.000000,315036.000000,435649.000000,78033665.000000,24466318.000000,171561893.000000,,,,,,,292890647.000000,,,1614015.000000,294504662.000000,466066555.000000,,,67254242.000000,,,18115048.000000,18115048.000000,,14473757.000000,208552.000000,14682309.000000,504336.000000,1549013.000000,,4871288.000000,4871288.000000,27532248.000000,67254242.000000,103900353.000000,13038408.000000,,19657914.000000,13149195.000000,32807109.000000,52126677.000000,,5928159.000000,103900353.000000,171154595.000000,,216281813.000000,58441593.000000,19356034.000000,1527983.000000,17828051.000000,19356034.000000,-291004.000000,1123524.000000,294911960.000000,466066555.000000,3889179559.000000
12M 2015,,,30853541.000000,39285770.000000,17549657.000000,21736113.000000,39285770.000000,303318.000000,88861.000000,214457.000000,303318.000000,61283901.000000,19278058.000000,151004588.000000,,,,,,,268955010.000000,,,50634.000000,269005644.000000,420010232.000000,,,59097702.000000,,,23862657.000000,23862657.000000,,15510300.000000,1282232.000000,16792532.000000,526191.000000,1465111.000000,,5160872.000000,5160872.000000,11290339.000000,59097702.000000,93144835.000000,7342041.000000,,14910538.000000,14067287.000000,28977825.000000,47006586.000000,,9818383.000000,93144835.000000,152242537.000000,,216281813.000000,58441593.000000,-3343097.000000,1527983.000000,-4871080.000000,-3343097.000000,-340516.000000,-3272098.000000,267767695.000000,420010232.000000,3889179559.000000
12M 2016,,,20157821.000000,39091151.000000,15989890.000000,23101261.000000,39091151.000000,715561.000000,483883.000000,231678.000000,715561.000000,57819311.000000,14660686.000000,132444530.000000,,,,,,,245681622.000000,,2616894.000000,104476.000000,248402992.000000,380847522.000000,,,71253970.000000,,,31321568.000000,31321568.000000,,18481280.000000,6183434.000000,24664714.000000,454517.000000,1706507.000000,,,,13106664.000000,71253970.000000,64135047.000000,2069744.000000,,,,,48262568.000000,,13802735.000000,64135047.000000,135389017.000000,,216281813.000000,58441593.000000,-24245460.000000,1527983.000000,-25773443.000000,-24245460.000000,-32270.000000,-4987171.000000,245458505.000000,380847522.000000,3889179559.000000
12M 2017,,,27434955.000000,41271874.000000,15218383.000000,26053491.000000,41271874.000000,1183338.000000,494143.000000,689195.000000,1183338.000000,61916793.000000,17757826.000000,149564786.000000,,,,,,,219511077.000000,,4564781.000000,469659.000000,224545517.000000,374110303.000000,,,69487329.000000,,,33102149.000000,33102149.000000,,21134898.000000,184998.000000,21319896.000000,362738.000000,1839383.000000,,,,12863163.000000,69487329.000000,65031095.000000,327980.000000,,,,,47863586.000000,,16839529.000000,65031095.000000,134518424.000000,,216281813.000000,58441593.000000,-32383543.000000,1527983.000000,-33911526.000000,-32383543.000000,-571516.000000,-2176468.000000,239591879.000000,374110303.000000,3889179559.000000
