Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.27,259.99,0.27,259.99,"1,234 B","2,412 B","3,646 B","3,484 B",(21 B)
12M 2009,0.48,280.18,0.48,280.18,"1,050 B","2,134 B","3,184 B","3,065 B",119 B
12M 2010,0.67,321.22,0.67,321.22,967 B,"1,894 B","2,862 B","2,717 B",187 B
12M 2011,0.88,662.62,0.88,662.62,970 B,"1,875 B","2,846 B","2,537 B",523 B
12M 2012,0.46,797.30,0.46,797.30,681 B,916 B,"1,597 B","1,347 B","1,317 B"
12M 2013,0.22,1000.90,0.22,1000.90,419 B,652 B,"1,071 B",776 B,"1,838 B"
12M 2014,0.17,944.32,0.17,944.32,377 B,561 B,937 B,583 B,"1,298 B"
12M 2015,0.09,950.99,0.09,950.99,208 B,343 B,551 B,125 B,"1,268 B"
12M 2016,0.15,848.10,0.15,848.10,158 B,158 B,315 B,45 B,822 B
12M 2017,0.29,836.61,0.29,836.61,125 B,125 B,250 B,(122 B),"1,085 B"
12M 2018,0.35,907.57,0.35,907.57,39 B,39 B,79 B,(125 B),"1,415 B"
12M 2019,0.25,742.83,0.25,742.83,,,,(189 B),"1,062 B"
12M 2020,0.39,607.34,0.39,607.34,,,,(156 B),784 B
12M 2021,0.32,630.99,0.32,630.99,,,,(162 B),833 B
12M 2022,0.26,582.40,0.26,582.40,,,,(133 B),572 B
12M 2023,0.27,500.23,0.27,500.23,,,,(91 B),430 B
12M 2024,0.23,482.35,0.23,482.35,,,,(119 B),326 B
