Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Laba (Rugi) Selisih Kurs,Keuntungan Atas Penjualan Entitas Anak,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,4002532044000.000000,-3822528643000.000000,180003401000.000000,-123941853000.000000,-38609564000.000000,-85332289000.000000,-123941853000.000000,56061548000.000000,-385252524000.000000,-44642616000.000000,-173768771000.000000,,-166841137000.000000,-385252524000.000000,-329190976000.000000,65668134000.000000,-263522842000.000000,136215000.000000,,-263386627000.000000,,,-263386627000.000000,-263522842000.000000,136215000.000000,-263386627000.000000,,,,
12M 2009,3142960044000.000000,-3086607608000.000000,56352436000.000000,-81166654000.000000,-19817482000.000000,-61349172000.000000,-81166654000.000000,-24814218000.000000,99663191000.000000,-36484683000.000000,136199107000.000000,,-51233000.000000,99663191000.000000,74848973000.000000,-21076028000.000000,53772945000.000000,38342000.000000,,53811287000.000000,,,53811287000.000000,53772945000.000000,38342000.000000,53811287000.000000,,,,
12M 2010,3627172193000.000000,-3436408830000.000000,190763363000.000000,-98275547000.000000,-22447879000.000000,-75827668000.000000,-98275547000.000000,92487816000.000000,-28541774000.000000,-69245149000.000000,32729656000.000000,,7973719000.000000,-28541774000.000000,63946042000.000000,-26967052000.000000,36978990000.000000,606940000.000000,,37585930000.000000,,,37585930000.000000,36978990000.000000,606940000.000000,37585930000.000000,,,,
12M 2011,4861469233000.000000,-4241661213000.000000,619808020000.000000,-96253801000.000000,-24919999000.000000,-71333802000.000000,-96253801000.000000,523554219000.000000,-105802970000.000000,-85307161000.000000,,,-20495809000.000000,-105802970000.000000,417751249000.000000,-133689722000.000000,284061527000.000000,,,284061527000.000000,10224334000.000000,294285861000.000000,284061527000.000000,288962755000.000000,-4901228000.000000,284061527000.000000,294285861000.000000,299184413000.000000,-4898552000.000000,294285861000.000000
12M 2012,487866446.000000,-467395877.000000,20470569.000000,-9648181.000000,-2284215.000000,-7363966.000000,-9648181.000000,10822388.000000,69684.000000,-8448700.000000,4201837.000000,,4316547.000000,69684.000000,10892072.000000,-2491126.000000,8400946.000000,,,8400946.000000,2462547.000000,10863493.000000,8400946.000000,8650044.000000,-249098.000000,8400946.000000,10863493.000000,11113054.000000,-249561.000000,10863493.000000
12M 2013,505319535.000000,-490629676.000000,14689859.000000,-10006671.000000,-2131717.000000,-7874954.000000,-10006671.000000,4683188.000000,10035079.000000,-7102451.000000,12777642.000000,,4359888.000000,10035079.000000,14718267.000000,-12740366.000000,1977901.000000,,,1977901.000000,-2589884.000000,-611983.000000,1977901.000000,1045673.000000,932228.000000,1977901.000000,-611983.000000,-1541309.000000,929326.000000,-611983.000000
12M 2014,449082197.000000,-464881408.000000,-15799211.000000,-9604020.000000,-2102265.000000,-7501755.000000,-9604020.000000,-25403231.000000,-8826597.000000,-6416621.000000,1377279.000000,,-3787255.000000,-8826597.000000,-34229828.000000,9522633.000000,-24707195.000000,,,-24707195.000000,201277.000000,-24505918.000000,-24707195.000000,-24122410.000000,-584785.000000,-24707195.000000,-24505918.000000,-23920983.000000,-584935.000000,-24505918.000000
12M 2015,310873522.000000,-325832201.000000,-14958679.000000,-8063340.000000,-1402186.000000,-6661154.000000,-8063340.000000,-23022019.000000,-5900180.000000,-5397567.000000,6540687.000000,,-7043300.000000,-5900180.000000,-28922199.000000,4760985.000000,-24161214.000000,,,-24161214.000000,1274603.000000,-22886611.000000,-24161214.000000,-24147292.000000,-13922.000000,-24161214.000000,-22886611.000000,-22904577.000000,17966.000000,-22886611.000000
12M 2016,279954690.000000,-300446576.000000,-20491886.000000,-8722617.000000,-1387947.000000,-7334670.000000,-8722617.000000,-29214503.000000,1100096.000000,-4977003.000000,-1756300.000000,,7833399.000000,1100096.000000,-28114407.000000,7544646.000000,-20569761.000000,,,-20569761.000000,-1739429.000000,-22309190.000000,-20569761.000000,-20902363.000000,332602.000000,-20569761.000000,-22309190.000000,-22617436.000000,308246.000000,-22309190.000000
12M 2017,355097424.000000,-349094534.000000,6002890.000000,-8434225.000000,-1609023.000000,-6825202.000000,-8434225.000000,-2431335.000000,-9319729.000000,-4077942.000000,-34099.000000,,-5207688.000000,-9319729.000000,-11751064.000000,3113199.000000,-8637865.000000,,,-8637865.000000,2771239.000000,-5866626.000000,-8637865.000000,-8138083.000000,-499782.000000,-8637865.000000,-5866626.000000,-5327380.000000,-539246.000000,-5866626.000000
