Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,1.11,437.98,3.18,152.59,"2,080 B","9,174 B","11,254 B","8,838 B","1,135 B"
12M 2009,3.17,545.39,6.62,261.15,"2,507 B","13,521 B","16,028 B","4,754 B","7,841 B"
12M 2010,4.39,580.77,8.06,316.21,"1,806 B","12,660 B","14,466 B","9,006 B","4,407 B"
12M 2011,2.56,690.57,4.36,405.51,"1,291 B","17,848 B","19,138 B","14,071 B","4,700 B"
12M 2012,2.06,773.63,3.42,464.60,"2,921 B","20,756 B","23,676 B","18,838 B","4,977 B"
12M 2013,1.06,1031.48,1.60,680.52,"2,292 B","24,798 B","27,089 B","18,784 B","7,285 B"
12M 2014,0.97,1076.01,1.44,724.57,"3,168 B","20,997 B","24,165 B","14,894 B","6,184 B"
12M 2015,0.42,1236.01,0.61,846.32,"1,808 B","28,453 B","30,261 B","20,570 B","8,802 B"
12M 2016,1.28,1321.70,1.71,988.34,"2,065 B","17,869 B","19,935 B","5,465 B","12,739 B"
12M 2017,1.27,1469.02,1.64,1132.88,"3,207 B","15,450 B","18,658 B","2,307 B","16,337 B"
12M 2018,0.74,1652.64,0.94,1293.35,"3,187 B","17,382 B","20,569 B","7,132 B","11,351 B"
12M 2019,0.96,1621.08,1.21,1283.42,"7,631 B","19,816 B","27,447 B","5,536 B","12,196 B"
12M 2020,0.87,1636.93,1.10,1294.32,"9,064 B","12,080 B","21,144 B","4,589 B","8,275 B"
12M 2021,1.22,1846.59,1.50,1497.61,"3,866 B","19,032 B","22,898 B","(2,962 B)","21,083 B"
12M 2022,1.31,2936.77,1.51,2555.47,"2,740 B","21,886 B","24,626 B","(38,792 B)","44,777 B"
12M 2023,0.73,3269.03,0.82,2891.56,"14,648 B","7,526 B","22,174 B","(28,948 B)","33,453 B"
12M 2024,0.94,2587.99,0.95,2567.16,949 B,"8,420 B","9,369 B","(13,347 B)","31,641 B"
