Period,Total Pendapatan,Pendapatan Bunga,Total Pendapatan,Total Beban Pokok Penjualan,Beban Bunga,Total
12M 2013,160302000000.0,160302000000.0,160302000000.0,-97334000000.0,-97334000000.0,
12M 2014,320520000000.0,320520000000.0,320520000000.0,-240918000000.0,-240918000000.0,
12M 2015,407736000000.0,407736000000.0,407736000000.0,-285075000000.0,-285075000000.0,
12M 2016,374768000000.0,374768000000.0,374768000000.0,-243008000000.0,-243008000000.0,
12M 2017,359050000000.0,359050000000.0,359050000000.0,-231611000000.0,-231611000000.0,
12M 2018,343827000000.0,343827000000.0,343827000000.0,-209893000000.0,-209893000000.0,
12M 2019,540068000000.0,540068000000.0,540068000000.0,-384767000000.0,-384767000000.0,
12M 2020,432198000000.0,432198000000.0,432198000000.0,-262488000000.0,-262488000000.0,
12M 2021,544257000000.0,544257000000.0,544257000000.0,-237244000000.0,-237244000000.0,
12M 2022,786522000000.0,786522000000.0,786522000000.0,-378765000000.0,-378765000000.0,
12M 2023,1263572000000.0,1263572000000.0,1263572000000.0,-776291000000.0,-776291000000.0,
12M 2024,1368514000000.0,1368514000000.0,1368514000000.0,-787275000000.0,-787275000000.0,
