Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Premi,Penerimaan Klaim Dan Potongan Reasuransi,Pembayaran Premi Asuransi,Pembayaran Klaim,Pembayaran Potongan Premi Kepada Tertanggung Dan Potongan Premi Atas Premi Diterima Dimuka,Pembayaran Beban Usaha,Penerimaan (Pembayaran) Pajak Penghasilan,Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap Pemilikan Langsung,Perolehan Aset Hak Guna,Penurunan Aset Lain-Lain,Peningkatan Aset Lain-Lain,Investasi Hasil Penjualan Efek,Investasi Hasil Pembelian Efek,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penawaran Umum Terbatas I,Penawaran Umum Terbatas Ii,Penawaran Umum Terbatas Iv,Uang Muka Setoran Modal-Right Issue,Penerimaan Pinjaman Subordinasi,Konversi Pinjaman Subordinasi Menjadi Modal Disetor,Liabilitas Sewa,Bunga Inkremental,Pembayaran Deviden Tunai,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,12855762696.000000,70840633693.000000,13484586549.000000,-10945337223.000000,-26551428601.000000,-20369104885.000000,-12975777268.000000,-83784726.000000,-544024843.000000,12855762696.000000,-25798453376.000000,2376671572.000000,-1331330590.000000,263200000.000000,,,-133213173.000000,15709509703.000000,-42683290888.000000,-25798453376.000000,14839901825.000000,14840000000.000000,,,,,,,,-98175.000000,14839901825.000000,1897211145.000000,6747980178.000000,8645191323.000000
12M 2009,11478237077.000000,101651171405.000000,11248866343.000000,-20271518867.000000,-33794316064.000000,-33923567173.000000,-14377925049.000000,-289897367.000000,1235423849.000000,11478237077.000000,-14547090840.000000,4337521409.000000,-1623797420.000000,943815000.000000,,,69338050.000000,41100951427.000000,-59374919306.000000,-14547090840.000000,,,,,,,,,,,,-3068853763.000000,8645191323.000000,5576337560.000000
12M 2010,-80299091.000000,135303421396.000000,16160208333.000000,-21260923942.000000,-63926646122.000000,-48360425647.000000,-17440225777.000000,-209459491.000000,-346247841.000000,-80299091.000000,2159683681.000000,3816284147.000000,-1417452287.000000,152100000.000000,,,-2330360823.000000,44762403146.000000,-42823290502.000000,2159683681.000000,-3449469182.000000,,,,,,,,,-3449469182.000000,-3449469182.000000,-1370084592.000000,5576337560.000000,4206252968.000000
12M 2011,8723197018.000000,156675086983.000000,20496967788.000000,-19656481053.000000,-57349874988.000000,-69154368520.000000,-21533319893.000000,-567376412.000000,-187436887.000000,8723197018.000000,-6682205564.000000,3797059619.000000,-3324050818.000000,303250000.000000,,,552798345.000000,24123815093.000000,-32135077803.000000,-6682205564.000000,-2374703046.000000,,,,,,,,,-2374703046.000000,-2374703046.000000,-333711592.000000,4206252968.000000,3872541376.000000
12M 2012,19999092259.000000,200772597366.000000,20291236894.000000,-16610808673.000000,-67785061334.000000,-90198675482.000000,-25706708788.000000,-1558471376.000000,794983652.000000,19999092259.000000,-12670990839.000000,3884320040.000000,-1845351220.000000,701000000.000000,,,109010117.000000,25327219510.000000,-40847189286.000000,-12670990839.000000,-2930973150.000000,,,,,,,,,-2930973150.000000,-2930973150.000000,4397128270.000000,3872541376.000000,8269669646.000000
12M 2013,20062809525.000000,261745601371.000000,21690934508.000000,-49576127522.000000,-80211119314.000000,-95182779043.000000,-35363983511.000000,-2239361248.000000,-800355716.000000,20062809525.000000,-18984891875.000000,5208402661.000000,-3186235436.000000,786368597.000000,,,-5213571684.000000,19971018708.000000,-36550874721.000000,-18984891875.000000,-3253944680.000000,,,,,,,,,-3253944680.000000,-3253944680.000000,-2176027030.000000,8269669646.000000,6093642616.000000
12M 2014,-13497091130.000000,286429541258.000000,17488698180.000000,-57819435977.000000,-110325187957.000000,-95489836970.000000,-45849912017.000000,-3965746434.000000,-3965211213.000000,-13497091130.000000,12129343939.000000,5739854250.000000,-2239166050.000000,387000000.000000,,,2949339036.000000,24739627426.000000,-19447310723.000000,12129343939.000000,,,,,,,,,,,,-1367747191.000000,6093642616.000000,4725895425.000000
12M 2015,-3693738197.000000,318463935979.000000,38690312981.000000,-81350154028.000000,-134255385385.000000,-86556620149.000000,-53059178736.000000,-4682991315.000000,-943657544.000000,-3693738197.000000,-1405886220.000000,7277515282.000000,-7995407945.000000,,,,194487688.000000,84519215108.000000,-85401696353.000000,-1405886220.000000,46999704881.000000,,50250000000.000000,,,,,,,-3250295119.000000,46999704881.000000,41900080464.000000,62906470300.000000,104806550764.000000
12M 2016,-41409163556.000000,248529222982.000000,59778724655.000000,-87486003458.000000,-121270925556.000000,-75299185880.000000,-61015906523.000000,-3483761999.000000,-1161327777.000000,-41409163556.000000,-7796384908.000000,7333644192.000000,-10587887830.000000,,,,898311286.000000,26280575912.000000,-31721028468.000000,-7796384908.000000,-1625496829.000000,,-1625496829.000000,,,,,,,,-1625496829.000000,-50831045293.000000,104806550764.000000,53975505471.000000
12M 2017,-51003271222.000000,309465302406.000000,53146215483.000000,-132422333266.000000,-151128257314.000000,-67842035088.000000,-59649072911.000000,-2162275252.000000,-410815280.000000,-51003271222.000000,16943550913.000000,2909719965.000000,-234889606.000000,260000000.000000,,,12779711390.000000,23606897849.000000,-22377888685.000000,16943550913.000000,49181284217.000000,,,,50000000000.000000,,,,,-818715783.000000,49181284217.000000,15121563908.000000,53975505471.000000,69097069379.000000
