Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.50 B,5.13,10.92,0.50,,3.21%,5.56%,6.14%,
12M 2009,0.50 B,14.55,5.02,0.44,,7.22%,13.79%,6.56%,
12M 2010,0.50 B,18.83,4.20,0.33,,7.44%,16.08%,7.41%,
12M 2011,0.50 B,28.86,4.44,0.43,,9.95%,20.51%,10.28%,
12M 2012,0.50 B,33.10,3.69,0.33,,6.56%,20.02%,7.87%,
12M 2013,0.50 B,43.09,2.51,0.24,,7.27%,21.49%,7.88%,
12M 2014,0.50 B,44.41,3.47,0.29,,6.07%,18.02%,6.83%,
12M 2015,0.84 B,9.69,16.20,0.52,,1.74%,4.38%,2.63%,
12M 2016,0.84 B,9.76,14.14,0.52,,1.85%,4.26%,2.04%,
12M 2017,0.84 B,-49.31,-2.80,0.67,,-9.87%,-20.65%,-9.67%,
12M 2018,2.94 B,-9.09,-9.35,1.70,(39.88 B),-4.25%,-10.13%,-7.94%,
12M 2019,2.94 B,-39.27,-1.53,1.52,(118.53 B),-19.83%,-77.52%,-20.27%,
12M 2020,2.94 B,-4.93,-14.20,1.46,5.66 B,-2.37%,-10.34%,0.24%,
12M 2021,2.94 B,-6.53,-11.33,1.07,18.16 B,-2.88%,-15.71%,2.33%,
12M 2022,4.90 B,-1.52,-50.66,1.55,(9.84 B),-0.80%,-3.56%,-1.70%,
12M 2023,4.90 B,1.02,91.18,1.66,(9.18 B),0.50%,2.31%,-1.20%,
12M 2024,4.90 B,1.39,61.87,1.48,3.78 B,0.64%,3.05%,0.18%,
