Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,1.98,,,,1908.16,,1.97,8.69,8.69,1.33
12M 2009,214.92,,184.65,,1.7,1.41,,,4107.55,6808.03,1.69,1.41,10.63,10.63,1.13
12M 2010,258.97,,228.33,,1.41,1.82,,,3225.56,3760.02,1.41,1.81,10.74,10.74,1.17
12M 2011,239.96,,209.12,,1.52,1.2,,,2199.75,2471.47,1.52,1.2,10.56,10.56,1.16
12M 2012,149.96,,120.0,,2.43,4.6,,,2702.97,2766.17,2.42,4.56,11.16,11.16,2.0
12M 2013,124.0,,40.21,,2.94,1.98,,,2173.0,18793.45,2.92,1.96,4.26,4.26,51.4
12M 2014,314.82,,,,1.16,1.2,,,6738.88,8384.18,1.14,1.17,1.22,1.22,72.22
12M 2015,46836.74,,,,0.01,0.01,,,,122.0,0.01,0.01,0.01,0.01,39.33
12M 2016,6559.23,,,,0.06,,,,929.65,,0.02,0.03,0.03,0.03,47.0
12M 2017,,,,,,,,,,,0.16,0.17,0.17,0.17,118.22
12M 2018,,,,,,,,,,,,,,,6.78
12M 2019,,,,,,,,,,,,,,,5.91
12M 2020,123.16,,123.16,,2.96,1.98,,,,,0.25,0.24,-9.41,-9.41,0.87
12M 2021,37.88,,38.34,,9.63,5.5,,,,,1.74,1.53,42.93,42.93,1.19
12M 2022,82.69,,83.45,,4.41,3.42,,,,,1.23,1.12,47.44,47.44,1.06
12M 2023,185.87,,178.65,,1.96,,,,1261.39,609.9,0.59,0.86,-5.21,-5.21,0.01
12M 2024,,,,,,2.87,,,19.65,22.29,0.07,0.07,-0.13,-0.13,0.01
