Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,1.66,233.65,1.66,233.65,307 B,255 B,562 B,542 B,(46 B)
12M 2009,1.28,256.25,1.28,256.25,281 B,538 B,819 B,799 B,64 B
12M 2010,2.07,344.36,2.39,298.24,424 B,813 B,"1,237 B","1,222 B",148 B
12M 2011,0.82,606.45,0.97,509.03,774 B,829 B,"1,603 B",969 B,815 B
12M 2012,1.83,589.61,2.30,469.94,981 B,587 B,"1,568 B","1,466 B",328 B
12M 2013,2.08,687.69,2.52,567.27,"1,857 B","1,224 B","3,082 B","2,765 B","1,048 B"
12M 2014,2.21,948.01,2.50,838.71,"1,788 B","2,223 B","4,011 B","2,795 B","2,484 B"
12M 2015,1.16,1046.75,1.29,935.67,"2,784 B","2,257 B","5,041 B","4,452 B","1,713 B"
12M 2016,1.59,1225.05,1.74,1120.04,"4,051 B","2,384 B","6,435 B","6,139 B","3,445 B"
12M 2017,-0.46,-1039.62,-0.43,-1111.30,"1,896 B","1,056 B","2,952 B","2,816 B","(3,273 B)"
12M 2018,-0.16,-1071.61,-0.15,-1143.11,"2,948 B",15 B,"2,964 B","2,917 B","(4,389 B)"
12M 2019,-0.33,-514.76,-0.29,-585.96,"1,557 B","2,024 B","3,582 B","3,527 B",(679 B)
12M 2020,4.38,89.08,6.05,64.50,250 B,166 B,417 B,190 B,(160 B)
12M 2021,2.18,88.07,3.02,63.50,195 B,108 B,303 B,245 B,(287 B)
12M 2022,1.71,83.67,2.42,59.11,259 B,123 B,382 B,293 B,(269 B)
12M 2023,1.38,104.12,1.82,79.23,196 B,105 B,300 B,238 B,(163 B)
12M 2024,0.93,112.49,1.20,87.39,122 B,213 B,335 B,112 B,36 B
