Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Piutang Lain-Lain,Goodwill,Piutang Pihak Berelasi,Persediaan,Adjustment,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Surat Berharga Yang Diterbitkan,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Utang Pembiayaan Konsumen,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain-Lain,Pihak Berelasi,Total Utang Lain-Lain,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Adjustment,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,277430230.000000,5954945308.000000,,,5954945308.000000,,,,,5186216729.000000,144549378.000000,11563141645.000000,,2802524196.000000,28492616091.000000,,,,,,,31295140287.000000,42858281932.000000,,,15791451677.000000,10250971844.000000,,128705988.000000,4021461637.000000,4150167625.000000,,117759500.000000,,,117759500.000000,912552899.000000,359999809.000000,,,,,,,,15791451677.000000,640052522.000000,,,74439123.000000,,74439123.000000,,,,,,565613399.000000,640052522.000000,16431504199.000000,,23000000000.000000,8222631302.000000,-4795853569.000000,200000000.000000,-4995853569.000000,-4795853569.000000,,,,26426777733.000000,42858281932.000000,230000000.000000
12M 2009,,,230238099.000000,932689446.000000,,,932689446.000000,100000000.000000,,,100000000.000000,847745773.000000,32832077.000000,2143505395.000000,,5016578603.000000,25335604931.000000,,,,,,,30352183534.000000,32495688929.000000,,,12279088115.000000,7904668415.000000,,,323135682.000000,323135682.000000,,2666666667.000000,,,2666666667.000000,807424857.000000,577192494.000000,,,,,,,,12279088115.000000,705326488.000000,,,,,,,,,,,705326488.000000,705326488.000000,12984414603.000000,,23000000000.000000,8222631302.000000,-11711356976.000000,200000000.000000,-11911356976.000000,-11711356976.000000,,,,19511274326.000000,32495688929.000000,230000000.000000
12M 2010,,,376063531.000000,834252112.000000,,,834252112.000000,,,,,880936935.000000,1464741.000000,2092717319.000000,,2980101374.000000,23306994362.000000,,,,,,,26287095736.000000,28379813055.000000,,,13548854153.000000,,,,226029095.000000,226029095.000000,,,,12848710070.000000,12848710070.000000,371176274.000000,102938714.000000,,,,,,,,13548854153.000000,2960831.000000,,,,,,,,,,,2960831.000000,2960831.000000,13551814984.000000,,23000000000.000000,8222631302.000000,-16394633231.000000,200000000.000000,-16594633231.000000,-16394633231.000000,,,,14827998071.000000,28379813055.000000,230000000.000000
12M 2011,,,197936141.000000,530083541.000000,,,530083541.000000,,,,,143043107.000000,1100821469.000000,1971884258.000000,,544424377.000000,9250984779.000000,,,,,,,9795409156.000000,11767293414.000000,,,5817696181.000000,,,,50568641.000000,50568641.000000,,,,5336214957.000000,5336214957.000000,329791253.000000,101121330.000000,,,,,,,,5817696181.000000,14914389.000000,,,,,,,,,,,14914389.000000,14914389.000000,5832610570.000000,,23000000000.000000,8222631302.000000,-25287958068.000000,200000000.000000,-25487958068.000000,-25287958068.000000,,9610.000000,,5934682844.000000,11767293414.000000,230000000.000000
12M 2012,,,68296740.000000,446203767.000000,,,446203767.000000,,,,,97873485.000000,927506721.000000,1539880713.000000,,1202948660.000000,7840013023.000000,,,,,,,9042961683.000000,10582842396.000000,,,6582652122.000000,,,,210567161.000000,210567161.000000,,,181000000.000000,5800599582.000000,5981599582.000000,372509595.000000,17975784.000000,,,,,,,,6582652122.000000,92512529.000000,,,,,,,,,,,92512529.000000,92512529.000000,6675164651.000000,,23000000000.000000,8222631302.000000,-27314962160.000000,200000000.000000,-27514962160.000000,-27314962160.000000,,8603.000000,,3907677745.000000,10582842396.000000,230000000.000000
12M 2013,,,12661892.000000,18566756236.000000,,,18566756236.000000,,,,,,344314215.000000,18923732343.000000,,178487999.000000,21709424100.000000,4396707965.000000,,,,,,26284620064.000000,45208352407.000000,,,25267433603.000000,,,,230194800.000000,230194800.000000,5000000000.000000,,,,,1836721437.000000,1400936348.000000,129078356.000000,,,16670502662.000000,,16670502662.000000,,25267433603.000000,17491009717.000000,,,,,,,13943085945.000000,13943085945.000000,,1992331813.000000,1555591959.000000,17491009717.000000,42758443320.000000,,23000000000.000000,8222631302.000000,-28774223231.000000,200000000.000000,-28974223231.000000,-28774223231.000000,,1501016.000000,,2449909087.000000,45208352407.000000,230000000.000000
12M 2014,,,70402417.000000,20325004252.000000,,,20325004252.000000,46253028162.000000,,,46253028162.000000,,352027321.000000,67000462152.000000,,280498182.000000,18674102866.000000,4719007877.000000,,,,,,23673608925.000000,90674071077.000000,,,34069602453.000000,14928000000.000000,,,523975005.000000,523975005.000000,,,,,,2264937291.000000,2265650827.000000,,,,14087039330.000000,,14087039330.000000,,34069602453.000000,52739599481.000000,,22392000000.000000,3281724746.000000,,25673724746.000000,25176274238.000000,,25176274238.000000,,1700492618.000000,189107879.000000,52739599481.000000,86809201934.000000,,25300000000.000000,13282631302.000000,-34718555384.000000,200000000.000000,-34918555384.000000,-34718555384.000000,,793225.000000,,3864869143.000000,90674071077.000000,253000000.000000
12M 2015,,,742943567.000000,4877468857.000000,,,4877468857.000000,,,,,,611899225.000000,6232311649.000000,,513551420.000000,76246374.000000,,826084370.000000,,,,,1415882164.000000,7648193813.000000,,,1230854680.000000,,,,293369860.000000,293369860.000000,,,,,,869342354.000000,68142466.000000,,,,,,,,1230854680.000000,3825905288.000000,,,,,,3343570291.000000,,3343570291.000000,,,482334997.000000,3825905288.000000,5056759968.000000,,25300000000.000000,13282631302.000000,-36071924524.000000,200000000.000000,-36271924524.000000,-36071924524.000000,,4238907.000000,76488160.000000,2591433845.000000,7648193813.000000,253000000.000000
12M 2016,,,8328713678.000000,42804909308.000000,,,42804909308.000000,,,,,,482298039227.000000,533431662213.000000,,530616203.000000,1250712328.000000,,16362581051.000000,167902315006.000000,335888656925.000000,,14802750693.000000,536737632206.000000,1070169294419.000000,,,110879929244.000000,,15965088122.000000,,,15965088122.000000,,,,,,11555700608.000000,368165721.000000,,,42094617769.000000,,40896357024.000000,82990974793.000000,,110879929244.000000,179327592615.000000,,176108557233.000000,,,176108557233.000000,196700505.000000,,196700505.000000,1133827748.000000,,1888507129.000000,179327592615.000000,290207521859.000000,,644946363600.000000,29264760871.000000,86159430819.000000,,86159430819.000000,86159430819.000000,,1164347.000000,19590052924.000000,779961772561.000000,1070169294420.000000,6449463636.000000
12M 2017,,,9029086058.000000,26963852751.000000,2276577098.000000,24687275653.000000,26963852751.000000,712154999.000000,,,712154999.000000,402086123956.000000,2107637282.000000,440898855046.000000,,147401324.000000,912222355.000000,,16362581051.000000,80434844085.000000,,,578263183985.000000,676120232800.000000,1117019087846.000000,,,174855157440.000000,,7145874019.000000,,,7145874019.000000,,817706000.000000,,,817706000.000000,20418581273.000000,13311065567.000000,,,70833310418.000000,,62328620163.000000,133161930581.000000,,174855157440.000000,181982420058.000000,,167885589101.000000,,,167885589101.000000,,,,12889349881.000000,,1207481076.000000,181982420058.000000,356837577498.000000,,644946363600.000000,29264760871.000000,66573314365.000000,,66573314365.000000,66573314365.000000,,3735372.000000,19393336140.000000,760181510348.000000,1117019087846.000000,6449463636.000000
