Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Untuk Beban Usaha Dan Lainnya,Pembayaran Pajak Penghasilan Lainnya,Pembayaran Pajak Penghasilan Badan,Penerimaan Kembali Pajak Penghasilan,Penerimaan Restitusi Pajak,Penerimaan Dari Pendapatan Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Kenaikan Penyertaan Saham,Pembayaran Untuk Investasi Jangka Panjang,Penerimaan Dari (Pembayaran) Untuk Investasi Jangka Pendek,Pendapatan Dividen Dari Penyertaan Saham,Pendapatan Dividen Dari Entitas Asosiasi,Penerimaan Pengembalian Uang Muka Pembelian Aset Tetap,Penerimaan Kembali Uang Muka Investasi,Penerimaan Dari Uang Jaminan,Hasil Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Pinjaman Jangka Panjang,Pembayaran Beban Keuangan,Penerimaan (Penempatan) Dana Yang Dibatasi Penggunaannya,Penerimaan (Pembayaran) Pinjaman Bank Jangka Pendek,Penerimaan Pinjaman Jangka Panjang,Pembayaran Dividen Kas,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2015,-50796252000.000000,1947527954000.000000,-1783264299000.000000,-116386180000.000000,-85948522000.000000,-34317867000.000000,,18854417000.000000,,2738245000.000000,-50796252000.000000,-475676773000.000000,-480571564000.000000,-1763859000.000000,,,-1200000000.000000,,6825594000.000000,,,,1033056000.000000,-475676773000.000000,497470388000.000000,-63808357000.000000,-40829915000.000000,14901414000.000000,139020429000.000000,453084803000.000000,-4897986000.000000,497470388000.000000,-29002637000.000000,63189157000.000000,9887175000.000000,,44073695000.000000
12M 2016,384621003000.000000,2157559716000.000000,-1560161322000.000000,-140004495000.000000,-70084067000.000000,-26771689000.000000,,22859941000.000000,,1222919000.000000,384621003000.000000,-51837062000.000000,-50459578000.000000,-2576325000.000000,,,-1451804000.000000,,2221716000.000000,,,,428929000.000000,-51837062000.000000,-271424244000.000000,-94117369000.000000,-51509593000.000000,7031147000.000000,-168979918000.000000,41661722000.000000,-5510233000.000000,-271424244000.000000,61359697000.000000,44073695000.000000,-5500021000.000000,,99933371000.000000
12M 2017,145628143000.000000,1986011643000.000000,-1620948140000.000000,-138359610000.000000,-82550640000.000000,-32373850000.000000,,32759047000.000000,,1089693000.000000,145628143000.000000,-41596147000.000000,-44412135000.000000,-9381650000.000000,,,-565721000.000000,,11803359000.000000,,,,960000000.000000,-41596147000.000000,-158923209000.000000,-108555480000.000000,-55626039000.000000,-29512024000.000000,26764261000.000000,12204472000.000000,-4198399000.000000,-158923209000.000000,-54891213000.000000,99933371000.000000,361175000.000000,,45403333000.000000
12M 2018,-16883236000.000000,2282238281000.000000,-2027418979000.000000,-142420693000.000000,-87938240000.000000,-26724844000.000000,,-15357229000.000000,,738468000.000000,-16883236000.000000,-9822610000.000000,-80800117000.000000,-1792511000.000000,,,-377138000.000000,,,,,,73147156000.000000,-9822610000.000000,18556921000.000000,-246942546000.000000,-67033908000.000000,-13587344000.000000,175973150000.000000,173803861000.000000,-3656292000.000000,18556921000.000000,-8148925000.000000,45403333000.000000,4570876000.000000,,41825284000.000000
12M 2019,243459904000.000000,2347395373000.000000,-1850220326000.000000,-159666948000.000000,-85937326000.000000,-2464145000.000000,,-33617894000.000000,27188751000.000000,782419000.000000,243459904000.000000,8692040000.000000,-10913523000.000000,-39159123000.000000,,,1431998000.000000,,4073766000.000000,,,,53258922000.000000,8692040000.000000,-223017319000.000000,-164944802000.000000,-66109464000.000000,36689040000.000000,-67162271000.000000,41349224000.000000,-2839046000.000000,-223017319000.000000,29134625000.000000,41825284000.000000,-7579071000.000000,,63380838000.000000
12M 2020,241597435000.000000,2245836026000.000000,-1782248041000.000000,-167506471000.000000,-72267216000.000000,,,-9594782000.000000,26714284000.000000,663635000.000000,241597435000.000000,-81492537000.000000,-131824002000.000000,,,,-164440000.000000,,5126375000.000000,,,,45369530000.000000,-81492537000.000000,-158267432000.000000,-105975762000.000000,-56587523000.000000,11843104000.000000,-72642937000.000000,69587709000.000000,-4492023000.000000,-158267432000.000000,1837466000.000000,63380838000.000000,1900859000.000000,,67119163000.000000
12M 2021,-12866081000.000000,2562237401000.000000,-2174620239000.000000,-206847979000.000000,-141249931000.000000,,,-55182793000.000000,2301129000.000000,496331000.000000,-12866081000.000000,-300815199000.000000,-392485130000.000000,,-20231886000.000000,,-10628411000.000000,,4895908000.000000,,,,117634320000.000000,-300815199000.000000,264871928000.000000,-95903585000.000000,-39423558000.000000,-5921121000.000000,74537225000.000000,346851909000.000000,-15268942000.000000,264871928000.000000,-48809352000.000000,67119163000.000000,1741505000.000000,,20051316000.000000
12M 2022,139896725000.000000,3099619974000.000000,-2476076071000.000000,-209604285000.000000,-198117897000.000000,-29617838000.000000,-47906707000.000000,,1249718000.000000,349831000.000000,139896725000.000000,111165392000.000000,-81187997000.000000,,,,5574268000.000000,,,,,,186779121000.000000,111165392000.000000,-220156970000.000000,-103640999000.000000,-52032321000.000000,3211699000.000000,-76483234000.000000,38715013000.000000,-29927128000.000000,-220156970000.000000,30905147000.000000,20051316000.000000,8358812000.000000,,59315275000.000000
12M 2023,22692668000.000000,2679509307000.000000,-2289557677000.000000,-209861984000.000000,-120839797000.000000,-36474150000.000000,-556928000.000000,,,473897000.000000,22692668000.000000,-59606054000.000000,-35907288000.000000,-24116233000.000000,,,-3033497000.000000,,,,,3386737000.000000,64227000.000000,-59606054000.000000,20875293000.000000,-103811767000.000000,-62738835000.000000,-992094000.000000,198495492000.000000,,-10077503000.000000,20875293000.000000,-16038093000.000000,59315275000.000000,7831242000.000000,,51108424000.000000
12M 2024,214233643000.000000,2969582525000.000000,-2331520075000.000000,-208955618000.000000,-236144274000.000000,-30853760000.000000,-10807695000.000000,,62445719000.000000,486821000.000000,214233643000.000000,-46419720000.000000,-47625218000.000000,-22703186000.000000,,,3495390000.000000,,,19213056000.000000,,116328000.000000,1083910000.000000,-46419720000.000000,-171602975000.000000,-109497198000.000000,-75972313000.000000,-7098419000.000000,20964955000.000000,,,-171602975000.000000,-3789052000.000000,51108424000.000000,1685660000.000000,,49005032000.000000
