Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Others,Total Piutang Lain-Lain,Persediaan,Tanah Untuk Dikembangkan,Others,Total Aset Lancar,Aset Tidak Lancar,Goodwill,Investasi Pada Entitas Asosiasi,Aset Pajak Tangguhan,Aset Tetap,Biaya Eksplorasi Dan Pengembangan Yang Ditangguhkan,Biaya Pengupasan Tanah Yang Ditangguhkan,Piutang Pihak Berelasi,Piutang Usaha,Properti Investasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Kontraktor,Utang Lain-Lain,Utang Pajak,Beban Akrual,Wesel Bayar,Utang Bank Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Obligasi,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Utang Pemegang Saham,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Obligasi,Utang Lain Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2007,,,213198024000.000000,,789972832000.000000,10352766000.000000,779620066000.000000,789972832000.000000,83087636000.000000,2431394000.000000,56156242000.000000,24500000000.000000,83087636000.000000,608448521000.000000,,150632272000.000000,1845339285000.000000,,,,77639813000.000000,1324255019000.000000,,,,,,250356912000.000000,1652251744000.000000,3497591029000.000000,,,1586850333000.000000,,629192206000.000000,70929000.000000,629263135000.000000,,47279232000.000000,38433521000.000000,92886089000.000000,89899131000.000000,526565760000.000000,,109751626000.000000,22031606000.000000,,131783232000.000000,30740233000.000000,1586850333000.000000,412981585000.000000,929351000.000000,,,320060596000.000000,44082050000.000000,364142646000.000000,,,47909588000.000000,412981585000.000000,1999831918000.000000,,312000000000.000000,383145000.000000,747122263000.000000,518000000.000000,746604263000.000000,747122263000.000000,220140297000.000000,218113406000.000000,1497759111000.000000,3497591029000.000000,3120000000.000000
12M 2008,,,286133472000.000000,,901607859000.000000,27172228000.000000,874435631000.000000,901607859000.000000,21851755000.000000,1105917000.000000,20745838000.000000,,21851755000.000000,783985853000.000000,,191572127000.000000,2185151066000.000000,,,,69524924000.000000,2215659344000.000000,,,,,,404515616000.000000,2689699884000.000000,4874850950000.000000,,,2192340706000.000000,,508432607000.000000,,508432607000.000000,,85755833000.000000,52559063000.000000,112992641000.000000,37823720000.000000,987696082000.000000,,266227277000.000000,36493114000.000000,,302720391000.000000,104360369000.000000,2192340706000.000000,725869503000.000000,1632363000.000000,,,611217649000.000000,55559687000.000000,666777336000.000000,,897348000.000000,56562456000.000000,725869503000.000000,2918210209000.000000,,312540000000.000000,4846583000.000000,835267668000.000000,718000000.000000,834549668000.000000,835267668000.000000,348396339000.000000,455590151000.000000,1956640741000.000000,4874850950000.000000,3125400000.000000
12M 2009,,,273694325000.000000,,1298937817000.000000,16214338000.000000,1282723479000.000000,1298937817000.000000,112610176000.000000,8530599000.000000,104079577000.000000,,112610176000.000000,709518313000.000000,,299355471000.000000,2694116102000.000000,,65912118000.000000,,68468072000.000000,2859238232000.000000,,,,,,371335905000.000000,3364954327000.000000,6059070429000.000000,,,2810284269000.000000,,1111622056000.000000,,1111622056000.000000,58582332000.000000,165573286000.000000,45563843000.000000,103528550000.000000,47976078000.000000,997924571000.000000,,200747444000.000000,57680831000.000000,,258428275000.000000,21085278000.000000,2810284269000.000000,1021968283000.000000,7023009000.000000,,,840729272000.000000,111685599000.000000,952414871000.000000,,652624000.000000,61877779000.000000,1021968283000.000000,3832252552000.000000,,313829250000.000000,18065604000.000000,1106860918000.000000,918000000.000000,1105942918000.000000,1106860918000.000000,485757400000.000000,302304705000.000000,2226817877000.000000,6059070429000.000000,3138292500.000000
12M 2010,,,691848310000.000000,,1606608545000.000000,20318521000.000000,1586290024000.000000,1606608545000.000000,79049317000.000000,7860718000.000000,71188599000.000000,,79049317000.000000,1424613886000.000000,,226057733000.000000,4028177791000.000000,,57695879000.000000,,85743312000.000000,3037892760000.000000,10009671000.000000,,,,,446070943000.000000,3637412565000.000000,7665590356000.000000,,,3844218419000.000000,,1967368330000.000000,,1967368330000.000000,,187773248000.000000,54688744000.000000,141476175000.000000,35297860000.000000,1178825385000.000000,,226267875000.000000,36174515000.000000,,262442390000.000000,16346287000.000000,3844218419000.000000,962538751000.000000,9822759000.000000,,,802951292000.000000,77216696000.000000,880167988000.000000,,982165000.000000,71565839000.000000,962538751000.000000,4806757170000.000000,,379293600000.000000,510632127000.000000,1213491857000.000000,1118000000.000000,1212373857000.000000,1213491857000.000000,472426221000.000000,282989381000.000000,2858833186000.000000,7665590356000.000000,3792936000.000000
12M 2011,,,1329789257000.000000,,2145078964000.000000,,2145078964000.000000,2145078964000.000000,43932823000.000000,11345758000.000000,32587065000.000000,,43932823000.000000,1250135461000.000000,,470424093000.000000,5239360598000.000000,,56996619000.000000,24287500000.000000,88664228000.000000,2437214642000.000000,24113808000.000000,25695729000.000000,,,,411910644000.000000,3068883170000.000000,8308243768000.000000,,,3860012029000.000000,,3318467906000.000000,,3318467906000.000000,,107734097000.000000,68466418000.000000,139453532000.000000,25617048000.000000,145985781000.000000,,44937536000.000000,,,44937536000.000000,9349711000.000000,3860012029000.000000,873527918000.000000,9583300000.000000,,,808042972000.000000,,808042972000.000000,,5732925000.000000,50168721000.000000,873527918000.000000,4733539947000.000000,,382198600000.000000,538667640000.000000,2222920217000.000000,1318000000.000000,2221602217000.000000,2222920217000.000000,192623936000.000000,238293428000.000000,3574703821000.000000,8308243768000.000000,3821986000.000000
12M 2012,,,1884943309000.000000,,3166151804000.000000,,3166151804000.000000,3166151804000.000000,58245070000.000000,3214075000.000000,55030995000.000000,,58245070000.000000,1415169090000.000000,,890092142000.000000,7414601415000.000000,,56996619000.000000,135887944000.000000,70087745000.000000,3177350183000.000000,33295543000.000000,36165558000.000000,15638314000.000000,,,847501678000.000000,4372923584000.000000,11787524999000.000000,,,5142385844000.000000,,3835553072000.000000,1359844000.000000,3836912916000.000000,,121867094000.000000,96263362000.000000,69952595000.000000,,432725642000.000000,,260600016000.000000,,,260600016000.000000,324064219000.000000,5142385844000.000000,2435399137000.000000,27891824000.000000,,,851370981000.000000,,851370981000.000000,1488084334000.000000,5473947000.000000,62578051000.000000,2435399137000.000000,7577784981000.000000,,385144350000.000000,604414168000.000000,2931851005000.000000,1518000000.000000,2930333005000.000000,2931851005000.000000,172745640000.000000,115584855000.000000,4209740018000.000000,11787524999000.000000,3851443500.000000
12M 2013,,,820064736000.000000,,4265335163000.000000,,4265335163000.000000,4265335163000.000000,86438047000.000000,5537055000.000000,80900992000.000000,,86438047000.000000,1823246457000.000000,,728230316000.000000,7723314719000.000000,,72067338000.000000,254439640000.000000,103134210000.000000,4226691971000.000000,67790912000.000000,46499194000.000000,16061615000.000000,,,2123141782000.000000,6909826662000.000000,14633141381000.000000,,,6593291994000.000000,,3629745612000.000000,1359844000.000000,3631105456000.000000,,104040405000.000000,69895874000.000000,94630614000.000000,,2152122074000.000000,,446062716000.000000,,,446062716000.000000,95434855000.000000,6593291994000.000000,2676688461000.000000,56742590000.000000,,,1058980489000.000000,,1058980489000.000000,1488683892000.000000,8794621000.000000,63486869000.000000,2676688461000.000000,9269980455000.000000,,388072750000.000000,661414906000.000000,3289046727000.000000,1718000000.000000,3287328727000.000000,3289046727000.000000,590067003000.000000,434559540000.000000,5363160926000.000000,14633141381000.000000,3880727500.000000
12M 2014,,,896590624000.000000,,4309106241000.000000,84243000.000000,4309021998000.000000,4309106241000.000000,41508570000.000000,7305908000.000000,34202662000.000000,,41508570000.000000,934877397000.000000,,537662233000.000000,6719745065000.000000,,30804565000.000000,419780124000.000000,116100475000.000000,4390206830000.000000,41232723000.000000,27514406000.000000,16062236000.000000,,,3030470753000.000000,8072172112000.000000,14791917177000.000000,,,6183756223000.000000,,3980873798000.000000,1359844000.000000,3982233642000.000000,,85098197000.000000,68479828000.000000,170449168000.000000,,1238797408000.000000,,372862901000.000000,,,372862901000.000000,265835079000.000000,6183756223000.000000,2646978391000.000000,47069444000.000000,,,1024137289000.000000,,1024137289000.000000,1490626675000.000000,9263534000.000000,75881449000.000000,2646978391000.000000,8830734614000.000000,,391363767000.000000,770412262000.000000,3845417195000.000000,1918000000.000000,3843499195000.000000,3845417195000.000000,570674346000.000000,383314993000.000000,5961182563000.000000,14791917177000.000000,3913637674.000000
12M 2015,,,1289809132000.000000,,3049204585000.000000,,3049204585000.000000,3049204585000.000000,44152072000.000000,5179804000.000000,38972268000.000000,,44152072000.000000,976998360000.000000,1621794941000.000000,303639784000.000000,7285598874000.000000,,11889272000.000000,423844188000.000000,163408189000.000000,4469497604000.000000,36334617000.000000,22544738000.000000,9975871000.000000,433282637000.000000,,2346753573000.000000,7917530689000.000000,15203129563000.000000,,,4871402133000.000000,,3432312951000.000000,1387844000.000000,3433700795000.000000,,57055331000.000000,64481339000.000000,131840875000.000000,28388990000.000000,635216700000.000000,,310287230000.000000,,,310287230000.000000,210430873000.000000,4871402133000.000000,3045552087000.000000,37322654000.000000,,,1417984673000.000000,,1417984673000.000000,1492592745000.000000,18009008000.000000,79643007000.000000,3045552087000.000000,7916954220000.000000,,394903024000.000000,927743358000.000000,4375360137000.000000,2118000000.000000,4373242137000.000000,4375360137000.000000,1195838966000.000000,392329858000.000000,7286175343000.000000,15203129563000.000000,3949030235.000000
12M 2016,,,1366943494000.000000,,2569271013000.000000,127714000.000000,2569143299000.000000,2569271013000.000000,31195788000.000000,450305000.000000,30745483000.000000,,31195788000.000000,862465964000.000000,2270130920000.000000,291371823000.000000,7391379002000.000000,,12450593000.000000,456479210000.000000,263034537000.000000,4561738403000.000000,39243723000.000000,24349767000.000000,,715567878000.000000,,2366497597000.000000,8439361708000.000000,15830740710000.000000,,,5815707526000.000000,,3184495994000.000000,,3184495994000.000000,,63614067000.000000,118363517000.000000,85711110000.000000,7540177000.000000,824173939000.000000,,761800237000.000000,,620908319000.000000,1382708556000.000000,149100166000.000000,5815707526000.000000,1940712863000.000000,12262484000.000000,,,949715862000.000000,,949715862000.000000,873828576000.000000,9279222000.000000,95626719000.000000,1940712863000.000000,7756420389000.000000,,399178117000.000000,1135195970000.000000,5028693549000.000000,2318000000.000000,5026375549000.000000,5028693549000.000000,1253216590000.000000,258036095000.000000,8074320321000.000000,15830740710000.000000,3991781170.000000
