Period,Arus Kas Dari Aktivitas Operasi,Kas Yang Diterima Dari Pelanggan,Pembayaran Yang Diterima Dari Pemasok Dan Untuk Beban Usaha,Penerimaan Dari (Pembayaran Untuk) :,Penghasilan Keuangan,Beban Keuangan,Pajak Penghasilan Dan Pajak Lainnya,Tagihan Pajak Penghasilan,Pengembalian Pajak,"Akuisisi Persediaan Tanah Kawasan Industri, Termasuk Uang Muka Ke Kontraktor",Total Penerimaan Dari (Pembayaran Untuk) :,Pembayaran Uang Jaminan Terkait Dengan Aktivitas Pengembangan Tanah Kawasan Industri,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pembayaran Uang Muka Pembelian Tanah,Perolehan Aset Tetap,Pembayaran Beban Yang Ditangguhkan,Penambahan Biaya Eksplorasi Dan Pengembangan Yang Ditangguhkan,Investasi Pada Entitas Asosiasi,Investasi Dalam Saham,Investasi Jangka Pendek,Pengeluaran Neto Biaya Eksplorasi Dan Pengembangan Serta Pengahapusan Tanah Yang Digunakan,Uang Muka Untuk Perolehan Aset Tetap,Pembayaran Dimuka Sewa Tanah,Penerimaan Setoran Modal Dari Kepentingan Nonpengendali Entitas Anak,Penerimaan Atas Pengembalian/Penurunan Modal Dari Entitas Asosiasi,Hasil Penjualan Aset Tetap,Hasil Penjualan Aset,Pemberian Pinjaman Kepada Entitas Asosiasi,Pemberian Pinjaman Kepada Entitas Di Bawah Pengendalian Yang Sama,Hasil Penjualan Investasi,Penurunan(Kenaikan) Neto Dana Yang Terbatas Penggunaannya,Penyertaan Saham Pada Entitas Anak,Pembayaran Deviden Tunai Kepentingan Non Pengendali Entitas Anak,"Penerimaan Pelunasan Pinjaman Dari Entitas Anak Yang Dihentikan Operasinya, Termasuk Penghasilan Bunga",Penjualan Tanah,Penerimaan Uang Muka Atas Penjualan Aset Tetap,Penerimaan Uang Muka Lainnya,Penerimaan Atas Likuidasi Entitas Anak,Penerimaan Dividen Dari Entitas Asosiasi,Penerimaan Atas Divestasi Saham,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Penerimaan Sehubungan Atas Penawaran Umum Terbatas,Penambahan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Penambahan Modal Disetor Dari Msop,Tahap Iv Dan V (2007) Dan I (2011),"Tahap Iii ,Iv Dan V (2007)",Tahap Ii - V,"Tahap I, Ii, Dan Iii","Tahap I, Ii, Iii, Iv, Dan V","Tahap V (2007), I Dan Ii (2011)",Total Penambahan Modal Disetor Dari Msop,Buyback Saham,Pembayaran Deviden Tunai,Pemilik Entitas Induk,Kepentingan Nonpengendali,Total Pembayaran Deviden Tunai,Pembayaran Utang Sewa Pembiayaan,Pembayaran Liabilitas Sewa,Penerimaan Atas Transaksi Penjualan Dan Sewa Pembiayaan Kembali,Penerimaan Dari Penawaran Umum Terbatas Ii - Neto,Penerimaan Setoran Modal Dari Pemegang Saham Minoritas,Penerimaan Setoran Modal Dari Kepentingan Nonpengendali Entitas Anak,Penerimaan Dari Penerbitan Utang Obligasi,Pembayaran Utang Obligasi,Penerimaan Bersih Pinjaman Oleh Anak Perusahaan Dari Pemegang Saham Minoritas,Penerimaan Atas Lain Lain,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Operasi Yang Dihentikan,Kas Dan Setara Kas Awal Periode,Reklasifikasi Ke Aset Yang Diklasifikasikan Sebagai Dimiliki Untuk Dijual,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2007,219115256000.000000,5577483246000.000000,-5194907706000.000000,,8013238000.000000,-53298149000.000000,-112880614000.000000,-5294759000.000000,,,-163460284000.000000,,219115256000.000000,-552723733000.000000,,-427699225000.000000,,,,,,,-1412161000.000000,,,,26148094000.000000,,,,,-12572957000.000000,-130466365000.000000,-6721119000.000000,,,,,,,,-552723733000.000000,424622202000.000000,2645510758000.000000,-2517075444000.000000,,337988473000.000000,-67055121000.000000,,,,,,,,,,-40560000000.000000,,,-40560000000.000000,,,79871910000.000000,-14058374000.000000,,,,,,,424622202000.000000,91013725000.000000,3543791000.000000,,118640508000.000000,,,213198024000.000000
12M 2008,117370189000.000000,9893530728000.000000,-9563849421000.000000,,11843592000.000000,-104061501000.000000,-120093209000.000000,,,,-212311118000.000000,,117370189000.000000,-720498208000.000000,,-843399306000.000000,,,,,,,-46164162000.000000,,163639566000.000000,,6840153000.000000,,,,,19528587000.000000,,-20943046000.000000,,,,,,,,-720498208000.000000,664969135000.000000,4689534816000.000000,-4405893763000.000000,,584878797000.000000,-188861242000.000000,3877200000.000000,,,,,,,3877200000.000000,,-121887275000.000000,,,-121887275000.000000,,,42431527000.000000,-24898949000.000000,,,,,85788024000.000000,,664969135000.000000,61841116000.000000,11094332000.000000,,213198024000.000000,,,286133472000.000000
12M 2009,671152317000.000000,9669303188000.000000,-8678114714000.000000,,9751250000.000000,-119592188000.000000,-210195219000.000000,,,,-320036157000.000000,,671152317000.000000,-1036457783000.000000,,-843712998000.000000,,,,,,,,-102407959000.000000,,,7676755000.000000,,,,,-5849708000.000000,-92163873000.000000,,,,,,,,,-1036457783000.000000,415128864000.000000,4602114979000.000000,-4542504423000.000000,,551878153000.000000,-288700375000.000000,11169905000.000000,,,,,,,11169905000.000000,,,-3125400000.000000,-18411900000.000000,-21537300000.000000,-46105390000.000000,,131621819000.000000,,17191496000.000000,,,,,,415128864000.000000,49823398000.000000,-62262545000.000000,,286133472000.000000,,,273694325000.000000
12M 2010,427918661000.000000,13150341334000.000000,-12198425279000.000000,,10278118000.000000,-100967325000.000000,-433308187000.000000,,,,-523997394000.000000,,427918661000.000000,-498891285000.000000,,-491098726000.000000,,-10009671000.000000,,,,,,-1205292000.000000,,,5081515000.000000,,,,,-1659111000.000000,,,,,,,,,,-498891285000.000000,451573671000.000000,6456292241000.000000,-6311962828000.000000,,367922009000.000000,-308245897000.000000,,,,,27805965000.000000,,,27805965000.000000,,,-208328834000.000000,-38828296000.000000,-247157130000.000000,-64609909000.000000,,,531529220000.000000,,,,,,,451573671000.000000,380601047000.000000,37552938000.000000,,273694325000.000000,,,691848310000.000000
12M 2011,932416942000.000000,20142374580000.000000,-18391476133000.000000,,68650235000.000000,-37214502000.000000,-849917238000.000000,,,,-818481505000.000000,,932416942000.000000,1676265646000.000000,,-390821964000.000000,,,-24412500000.000000,,,-36694553000.000000,,,,,3818116000.000000,,-8306597000.000000,,,23498039000.000000,,,,,,,,,2109185105000.000000,1676265646000.000000,-1879048835000.000000,454977978000.000000,-951776766000.000000,,54224730000.000000,-177259756000.000000,24954081000.000000,,,,,,,24954081000.000000,,,-1283737743000.000000,-431359000.000000,-1284169102000.000000,,,,,,,,,,,-1879048835000.000000,729633753000.000000,-14116456000.000000,,614271960000.000000,,,1329789257000.000000
12M 2012,-168597902000.000000,23451487178000.000000,-22657122483000.000000,,23288583000.000000,-53741577000.000000,-932509603000.000000,,,,-962962597000.000000,,-168597902000.000000,-1203978532000.000000,-401707078000.000000,-625522763000.000000,,,-112000000000.000000,,,-17136321000.000000,-435119000.000000,-41626431000.000000,,,1690987000.000000,,-7363986000.000000,,,122179000.000000,,,,,,,,,,-1203978532000.000000,1882427174000.000000,3101499066000.000000,-2840490285000.000000,,754422260000.000000,-549399615000.000000,,,,23557864000.000000,,,,23557864000.000000,,,-94866294000.000000,-380156000.000000,-95246450000.000000,,,,,,,1488084334000.000000,,,,1882427174000.000000,509850740000.000000,45303312000.000000,,1329789257000.000000,,,1884943309000.000000
12M 2013,-811076778000.000000,23864514824000.000000,-24100551185000.000000,,71345387000.000000,-217553140000.000000,-388360664000.000000,,,,-534568417000.000000,-40472000000.000000,-811076778000.000000,-2011945587000.000000,-1114116646000.000000,-773569978000.000000,,,-100000000000.000000,,,-20415490000.000000,,,,,2604621000.000000,,-6464047000.000000,,,15953000.000000,,,,,,,,,,-2011945587000.000000,1652220231000.000000,9803910951000.000000,-8348351901000.000000,,392089774000.000000,-201771301000.000000,,,,47476416000.000000,,,,47476416000.000000,,,-445112303000.000000,-21405000.000000,-445133708000.000000,,,,,404000000000.000000,,,,,,1652220231000.000000,-1170802134000.000000,105923561000.000000,,1884943309000.000000,,,820064736000.000000
12M 2014,2129380682000.000000,25361287334000.000000,-22196402336000.000000,,51694198000.000000,-139832962000.000000,-77283565000.000000,,,-847547987000.000000,-1012970316000.000000,-22534000000.000000,2129380682000.000000,-777007604000.000000,,-577679502000.000000,,,-155200000000.000000,,,,-46951063000.000000,,,,6327357000.000000,,,-2151896000.000000,,-1352500000.000000,,,,,,,,,,-777007604000.000000,-1192792288000.000000,9733938279000.000000,-10640976888000.000000,,355447790000.000000,-477632367000.000000,,,,90175096000.000000,,,,90175096000.000000,,,-253723698000.000000,-20500000.000000,-253744198000.000000,,,,,,,,,,,-1192792288000.000000,159580790000.000000,-83054902000.000000,,820064736000.000000,,,896590624000.000000
12M 2015,981427047000.000000,23051220933000.000000,-20752462448000.000000,,80528738000.000000,-122133189000.000000,-407691455000.000000,,,-868035532000.000000,-1317331438000.000000,,981427047000.000000,-280211522000.000000,,-272218396000.000000,,,,,,,-1045780000.000000,,,,8077686000.000000,,,,,-15025032000.000000,,,,,,,,,,-280211522000.000000,-156578818000.000000,2202152189000.000000,-2840751379000.000000,,1040855467000.000000,-772971314000.000000,,,,139411442000.000000,,,,139411442000.000000,,,-512162635000.000000,-166588000.000000,-512329223000.000000,,,,,587054000000.000000,,,,,,-156578818000.000000,544636707000.000000,-151418199000.000000,,896590624000.000000,,,1289809132000.000000
12M 2016,651623298000.000000,16701961028000.000000,-14909922374000.000000,,55481271000.000000,-72731773000.000000,-378653454000.000000,,,-744511400000.000000,-1140415356000.000000,,651623298000.000000,-689045630000.000000,,-575967303000.000000,,,-30050000000.000000,,,,-81623400000.000000,,,,5873037000.000000,,,,,-7277964000.000000,,,,,,,,,,-689045630000.000000,80673777000.000000,1048453341000.000000,-847303868000.000000,,366623000000.000000,-358847424000.000000,,,,196369173000.000000,,,,196369173000.000000,,,-359120445000.000000,,-359120445000.000000,,,,,34500000000.000000,,,,,,80673777000.000000,43251445000.000000,33882917000.000000,,1289809132000.000000,,,1366943494000.000000
