Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Pemasok Dan Beban Operasi,Karyawan,Total Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Bunga,Penerimaan Dari Klaim Asuransi,Penerimaan Bunga,Pembayaran Beban Usaha,Pembayaran Pajak Penghasilan,Pembayaran Untuk Aktivitas Operasi Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Penerimaan Hasil Penjualan Aset Tetap,Penambahan (Pengurangan) Kas Yang Dibatasi Penggunaannya,Pengurangan Aset Lain-Lain,Penempatan Investasi Mudharabah,Pembayaran Piutang Pihak Berelasi,Penerimaan Dari Pelepasan Investasi Pada Entitas Anak,Penyertaan Entitas Anak,Investasi Pada Surat Sanggup,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pinjaman Bank Jangka Pendek :,Penerimaan,Pembayaran,Total Pinjaman Bank Jangka Pendek :,(Pembayaran)/Penerimaan Utang Subordinasi,Penerimaan,Pembayaran,Total (Pembayaran)/Penerimaan Utang Subordinasi,(Pembayaran)/Penerimaan Dari Utang Pembiayaan,Penerimaan,Pembayaran,Total (Pembayaran)/Penerimaan Dari Utang Pembiayaan,Selisih Aset Dan Liabilitas Pengampunan Pajak,(Pembayaran)/Penerimaan Dari Pihak Berelasi,Penerimaan,Pembayaran,Total (Pembayaran)/Penerimaan Dari Pihak Berelasi,Pembayaran Bagian Pokok Liabilitas Sewa,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2015,3968867904.000000,,,-4103895453.000000,,-4103895453.000000,,,8082005374.000000,,-9627166.000000,385149.000000,3968867904.000000,45918369901.000000,,,,,,,,,,45918369901.000000,45918369901.000000,-50000000000.000000,,,,,,,-50000000000.000000,-50000000000.000000,,,,,,,,,,,-50000000000.000000,-112762195.000000,117981611.000000,5219416.000000
12M 2016,9101472213.000000,,,3471153341.000000,,3471153341.000000,,,5631622261.000000,,,-1303389.000000,9101472213.000000,-9098568659.000000,,,,,,,,,,-9098568659.000000,-9098568659.000000,,,,,,,,,,,,,,,,,,,,,2903554.000000,5219415.000000,8122969.000000
12M 2017,10193980084.000000,126350908567.000000,,-107962525681.000000,,-107962525681.000000,-397096936.000000,,106703890.000000,,-5099932453.000000,-2804077303.000000,10193980084.000000,14368856222.000000,-29331143778.000000,,,,,,,43700000000.000000,,,14368856222.000000,741170943.000000,,,,,,,,,,,,,,,741170943.000000,,741170943.000000,,741170943.000000,25304007249.000000,7052969.000000,25311060218.000000
12M 2018,-73669153775.000000,295574521942.000000,,-345457337593.000000,,-345457337593.000000,-3995578457.000000,,883320510.000000,,-13627785375.000000,-7046294802.000000,-73669153775.000000,-3062924184.000000,-3062924184.000000,,,,,,,,,,-3062924184.000000,101535306857.000000,,104382411559.000000,,104382411559.000000,,,,,,,,,,,-2847104702.000000,,-2847104702.000000,,101535306857.000000,24803228898.000000,25311060218.000000,50114289116.000000
12M 2019,40164454012.000000,410453527002.000000,,-319369232597.000000,-18113374738.000000,-337482607335.000000,-11464807548.000000,,453599745.000000,-9739019717.000000,-12896975583.000000,840737448.000000,40164454012.000000,-24393848230.000000,-683522000.000000,-19864529250.000000,,,,,-3845796980.000000,,,,-24393848230.000000,-17871070563.000000,,,-19077257671.000000,-19077257671.000000,,,,,,,-1065854910.000000,-1065854910.000000,,,2272042018.000000,,2272042018.000000,,-17871070563.000000,-2100464781.000000,50114289116.000000,48013824335.000000
12M 2020,32264752092.000000,513934437857.000000,,-425861481727.000000,-25115234142.000000,-450976715869.000000,-9879302426.000000,,542750516.000000,-15727489550.000000,-10232767749.000000,4603839313.000000,32264752092.000000,-3123309056.000000,-1160430961.000000,,,,,,-1962878095.000000,,,,-3123309056.000000,-7945313141.000000,,,-12049999995.000000,-12049999995.000000,,,,,,,-971894792.000000,-971894792.000000,,,5688105892.000000,,5688105892.000000,-611524246.000000,-7945313141.000000,21196129895.000000,48013824335.000000,69209954230.000000
12M 2021,41260471103.000000,505061241290.000000,,-400324352919.000000,-24812017682.000000,-425136370601.000000,-8463742870.000000,,1229374035.000000,-16686516336.000000,-17191481153.000000,2447966738.000000,41260471103.000000,-2653158804.000000,-157585000.000000,-3524100000.000000,,,,,1028526196.000000,,,,-2653158804.000000,-20150287703.000000,,,-19755000000.000000,-19755000000.000000,,,,,,,-2202661750.000000,-2202661750.000000,,,2557257978.000000,,2557257978.000000,-749883931.000000,-20150287703.000000,18457024596.000000,69209954230.000000,87666978826.000000
12M 2022,72393965820.000000,484541614997.000000,,-355697404952.000000,-26744644415.000000,-382442049367.000000,-8622726777.000000,,1204782513.000000,-18414443910.000000,-1085335534.000000,-2787876102.000000,72393965820.000000,-44618653066.000000,-35515647192.000000,-9188800687.000000,1032432432.000000,,,,-946637619.000000,,,,-44618653066.000000,-29349087822.000000,,,-25333333333.000000,-25333333333.000000,,,,,,,-5098982613.000000,-5098982613.000000,,,1940218257.000000,,1940218257.000000,-856990133.000000,-29349087822.000000,-1573775068.000000,87666978826.000000,86093203758.000000
12M 2023,43289507056.000000,461811467704.000000,,-338108998872.000000,-32479354768.000000,-370588353640.000000,-6534413671.000000,894381226.000000,545215036.000000,-13866054062.000000,-16508291082.000000,-12464444455.000000,43289507056.000000,-33900605201.000000,-22011171624.000000,,,,,,-11889433577.000000,,,,-33900605201.000000,-32182445328.000000,,,-27913333333.000000,-27913333333.000000,,,,,,,-7316524300.000000,-7316524300.000000,,,3950343224.000000,,3950343224.000000,-902930919.000000,-32182445328.000000,-22793543473.000000,86093203758.000000,63299660285.000000
12M 2024,30844302997.000000,467059663273.000000,,-352489604281.000000,-37087184491.000000,-389576788772.000000,-6481841281.000000,,968847514.000000,-30289424991.000000,-11997198865.000000,1161046119.000000,30844302997.000000,-996196162.000000,-3183649532.000000,-907546630.000000,3095000000.000000,,,,,,,,-996196162.000000,-927262456.000000,,31680000000.000000,-30072237226.000000,1607762774.000000,,,,,,,-5411493447.000000,-5411493447.000000,,,3942382549.000000,,3942382549.000000,-1065914332.000000,-927262456.000000,28920844379.000000,63299660285.000000,92220504664.000000
