Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2010,0.26 B,13.91,0.00,0.00,,3.36%,8.98%,29.57%,2.97
12M 2011,0.55 B,11.07,29.99,0.75,,3.70%,7.81%,23.62%,3.80
12M 2012,0.55 B,16.77,25.10,0.83,,4.99%,10.57%,21.11%,5.53
12M 2013,0.55 B,24.69,24.02,0.82,,4.50%,12.83%,30.21%,8.81
12M 2014,0.55 B,19.98,33.08,0.74,,3.08%,9.50%,22.17%,4.67
12M 2015,0.55 B,24.99,26.45,0.68,,3.76%,11.09%,23.86%,4.27
12M 2016,0.55 B,25.92,20.79,0.44,,3.47%,10.12%,22.25%,4.51
12M 2017,0.55 B,23.95,22.51,0.42,,2.64%,8.58%,20.64%,5.10
12M 2018,0.55 B,44.09,13.61,0.42,96.96 B,4.61%,13.69%,24.87%,6.02
12M 2019,1.10 B,51.20,8.36,0.43,173.71 B,6.09%,13.54%,30.89%,6.64
12M 2020,1.10 B,45.97,12.40,0.57,132.07 B,5.30%,11.01%,15.60%,6.15
12M 2021,1.32 B,57.61,17.36,0.90,176.64 B,6.27%,10.87%,19.31%,11.14
12M 2022,1.32 B,49.59,16.23,0.76,136.72 B,4.16%,8.60%,10.63%,6.45
12M 2023,1.35 B,2.01,462.69,0.76,108.87 B,0.16%,0.34%,4.29%,1.07
12M 2024,1.35 B,-6.40,-100.78,0.47,102.04 B,-0.42%,-0.85%,2.85%,0.74
