Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Total Pembayaran Kepada Pemasok Dan Karyawan,"Pembayaran Kembali Pada Direktur, Karyawan Dan Beban Operasional Lainnya",Pembayaran (Penerimaan) Bunga Dan Keuangan,Penerimaan Pendapatan Keuangan,Pembayaran Beban Keuangan,Total Pembayaran (Penerimaan) Bunga Dan Keuangan,Penerimaan (Pembayaran) Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penjualan Aset Tetap,Uang Muka Pembelian Mesin,Uang Muka Untuk Perolehan Aset Tetap,Penempatan Uang Jaminan,Pembayaran Uang Muka,Perolehan Investasi Pada Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Utang Non-Usaha Jangka Panjang,Penerimaan (Pembayaran) Utang Afiliasi,Penerimaan (Pembayaran) Piutang Berelasi,Kenaikan (Penurunan) Utang Pihak Berelasi,Kenaikan (Penurunan) Utang Lain-Lain Pihak Ketiga,Penerimaan (Pembayaran) Utang Leasing,Penambahan Modal Saham,Penerimaan Atas Penawaran Umum Perdana Saham,Penerimaan Modal Disetor,Penambahan Agio Saham,Biaya Emisi Saham,Penambahan Modal Saham Atas Pelaksanaan Waran,Penambahan Agio Saham Atas Pelaksanaan Waran,Penerimaan Hasil Penerbitan Surat Utang,Pemberian Surat Utang Kepada Pihak Berelasi,Penerimaan (Pembayaran) Utang Bank,Penerimaan Utang Bank,Pembayaran Utang Bank,Total Penerimaan (Pembayaran) Utang Bank,Penerimaan (Pembayaran) Atas Pinjaman Bank Jangka Pendek,Penerimaan (Pembayaran) Atas Pinjaman Bank Jangka Panjang,Penerimaan (Pembayaran) Atas Utang Lain-Lain Jangka Panjang,Penerimaan (Pembayaran) Utang Pinjaman,Penerimaan (Pembayaran) Utang Pembiayaan Konsumen,Pembayaran Liabilitas Sewa,Pembayaran Utang Sewa Pembiayaan,Penerimaan,Pembayaran,Total Pembayaran Utang Sewa Pembiayaan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2011,31116957526.000000,124488239912.000000,-85903745306.000000,,,-85903745306.000000,,-6265361925.000000,,,-6265361925.000000,-1202175155.000000,31116957526.000000,-37506077662.000000,-37506077662.000000,,,,,,,-37506077662.000000,3131037021.000000,,,,,,,27600000000.000000,,,,,,,,,-24691418479.000000,,,-24691418479.000000,,,,,222455500.000000,,,,,,3131037021.000000,-3258083115.000000,5072793365.000000,1814710250.000000
12M 2012,-29292223029.000000,174474886973.000000,-197288212318.000000,,,-197288212318.000000,,-8721306587.000000,,,-8721306587.000000,2242408903.000000,-29292223029.000000,-13376762089.000000,-14249537089.000000,872775000.000000,,,,,,-13376762089.000000,72024903340.000000,,,,,,,,30000000000.000000,33000000000.000000,,-2551500000.000000,,,,,12900262157.000000,,,12900262157.000000,,,,,-1323858817.000000,,,,,,72024903340.000000,29355918222.000000,1814710250.000000,31170628472.000000
12M 2013,-134573908546.000000,485000038424.000000,,-305283970146.000000,,-305283970146.000000,-255340365843.000000,-35372514706.000000,,,-35372514706.000000,-23577096275.000000,-134573908546.000000,-334940154644.000000,-36444394644.000000,16823360000.000000,,,,,-315319120000.000000,-334940154644.000000,509036552350.000000,40776771220.000000,,,,,,63466324700.000000,,343304223350.000000,1675800000.000000,-3161818945.000000,,,378104221950.000000,-378104221950.000000,,644703410302.000000,-577614937423.000000,67088472879.000000,,,,,-4113220854.000000,,,,,,509036552350.000000,39522489160.000000,33262350557.000000,72784839717.000000
12M 2014,-30575376304.000000,406879648515.000000,,-264625424570.000000,,-264625424570.000000,-128786559773.000000,-28663128868.000000,,,-28663128868.000000,-15379911608.000000,-30575376304.000000,-93356661148.000000,-93940297512.000000,583636364.000000,,,,,,-93356661148.000000,156521872849.000000,-89634283204.000000,,54710732695.000000,,,,,,,,,186453000.000000,270356850.000000,,,,289802226354.000000,-94245949529.000000,195556276825.000000,,,,,-4567663317.000000,,,,,,156521872849.000000,32589835397.000000,72784839717.000000,105374675114.000000
12M 2015,-11384467878.000000,315031754183.000000,,-176591622104.000000,-62916696613.000000,-239508318717.000000,-37515847223.000000,,62283331.000000,-48907380739.000000,-48845097408.000000,-546958713.000000,-11384467878.000000,-63461052944.000000,-68480136081.000000,5019083137.000000,,,,,,-63461052944.000000,-27595659253.000000,-32360919074.000000,,20110853685.000000,,,,,,,,,56105.000000,,,,,7903642835.000000,-15499607228.000000,-7595964393.000000,,,,,-5540314338.000000,,-2209371238.000000,,,-2209371238.000000,-27595659253.000000,-102441180075.000000,105374675114.000000,2933495039.000000
12M 2016,20444874139.000000,301446681804.000000,,-155445651396.000000,-57550909924.000000,-212996561320.000000,-24460863636.000000,,22356312.000000,-43062441922.000000,-43040085610.000000,-504297099.000000,20444874139.000000,-34881959752.000000,-38134959752.000000,3253000000.000000,,,,,,-34881959752.000000,16823662194.000000,33200634028.000000,,13679077089.000000,,,,,,,,,18395580.000000,,,,,-30291615797.000000,15000000000.000000,-15291615797.000000,,,,,-2703794036.000000,,-12079034670.000000,,,-12079034670.000000,16823662194.000000,2386576581.000000,2933495039.000000,5320071620.000000
12M 2017,5602423448.000000,276756621965.000000,,-149477288761.000000,-56550074507.000000,-206027363268.000000,-28940457246.000000,,21868524.000000,-36208246527.000000,-36186378003.000000,,5602423448.000000,-36385062113.000000,-37440238461.000000,1055176348.000000,,,,,,-36385062113.000000,31010075767.000000,-13861017491.000000,,43601187633.000000,,,,,,,,,1290529660.000000,,,,,8527311265.000000,3652431096.000000,12179742361.000000,,,,,-452611667.000000,,-11747754729.000000,,,-11747754729.000000,31010075767.000000,227437102.000000,5320071620.000000,5547508722.000000
12M 2018,7723486943.000000,281598686503.000000,,-160062467571.000000,-53700409447.000000,-213762877018.000000,-41371001508.000000,,25810662.000000,-18767131696.000000,-18741321034.000000,,7723486943.000000,-20118803033.000000,-24342189413.000000,4223386380.000000,,,,,,-20118803033.000000,10692453422.000000,4565717466.000000,,-800806950.000000,,,,,,,,,,,,,,-40784817195.000000,-176387269124.000000,-217172086319.000000,,,213632297402.000000,,1534075210.000000,,,16808389511.000000,-7875132898.000000,8933256613.000000,10692453422.000000,-1702862668.000000,5547508722.000000,3844646054.000000
12M 2019,33552221386.000000,349279380094.000000,,-225028070094.000000,-60300544713.000000,-285328614807.000000,-17826224996.000000,,24280052.000000,-5534119082.000000,-5509839030.000000,-7062479875.000000,33552221386.000000,-6013337047.000000,-8446476973.000000,2844700000.000000,,-268359350.000000,-143200724.000000,,,-6013337047.000000,-28403645001.000000,-21661815917.000000,,1640500000.000000,,,,,,,,,,,,,,99906500000.000000,-1442366888.000000,98464133112.000000,,,-100849946201.000000,,-1033903743.000000,,,,-4962612252.000000,-4962612252.000000,-28403645001.000000,-864760662.000000,3844646054.000000,2979885392.000000
12M 2020,30788406788.000000,346042170635.000000,,-219642666986.000000,-53043755520.000000,-272686422506.000000,-27177076027.000000,,98669725.000000,-9151747838.000000,-9053078113.000000,-6337187201.000000,30788406788.000000,-5385921725.000000,-5591205181.000000,352480000.000000,,,-147196544.000000,,,-5385921725.000000,-3993552535.000000,,,,-28660973648.000000,3178200657.000000,,,,,,,,,,,,10475946473.000000,,10475946473.000000,,,,,-1006842823.000000,-74363327.000000,,12094480133.000000,,12094480133.000000,-3993552535.000000,21408932528.000000,2979885392.000000,24388817920.000000
12M 2021,41942240191.000000,362593378494.000000,,-238974204852.000000,-55126846779.000000,-294101051631.000000,-735330893.000000,,69947319.000000,-12173760697.000000,-12103813378.000000,-13710942401.000000,41942240191.000000,-9253946723.000000,-26981776450.000000,17727829727.000000,,,,,,-9253946723.000000,-41173327315.000000,,,-3140600324.000000,-8537511731.000000,-4119995785.000000,,,,,,,,,,,,-11439034521.000000,,-11439034521.000000,,,,,,-13936184954.000000,,,,,-41173327315.000000,-8485033847.000000,24388817920.000000,15903784073.000000
12M 2022,1440523783.000000,412263419592.000000,,-331311870796.000000,-57812282709.000000,-389124153505.000000,3347537014.000000,,55186847.000000,-10661163788.000000,-10605976941.000000,-14440302377.000000,1440523783.000000,-3166524987.000000,-4217691653.000000,1051166666.000000,,,,,,-3166524987.000000,-12804019154.000000,,,-561703402.000000,,,,,,,,,,,,,,11419159119.000000,-21421451984.000000,-10002292865.000000,,,,,,-2240022887.000000,,,,,-12804019154.000000,-14530020358.000000,15903784073.000000,1373763715.000000
12M 2023,-2260306664.000000,301882867409.000000,,-218314441089.000000,-52549067350.000000,-270863508439.000000,-8301322012.000000,,18402471.000000,-11113138879.000000,-11094736408.000000,-13883607214.000000,-2260306664.000000,-1971760748.000000,-1971760748.000000,,,,,,,-1971760748.000000,10530187661.000000,,,3702303726.000000,,,,,,,,,,,,,,19990288470.000000,-13125382557.000000,6864905913.000000,,,,,,-37021978.000000,,,,,10530187661.000000,6298120249.000000,1373763715.000000,7671883964.000000
