Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2011,129525779348.000000,-107754729824.000000,21771049524.000000,-10598637030.000000,-5724574070.000000,-4874062960.000000,-10598637030.000000,11172412494.000000,-6786599116.000000,1910793.000000,27831853.000000,-7107087406.000000,41843750.000000,248901894.000000,-6786599116.000000,4385813378.000000,-1143386640.000000,-1202175155.000000,58788515.000000,-1143386640.000000,3242426738.000000,,3242426738.000000,,,,3242426738.000000,3242426738.000000,3242426738.000000,,3242426738.000000,3242426738.000000,3242426738.000000,,3242426738.000000
12M 2012,233675793803.000000,-186709508830.000000,46966284973.000000,-16289221794.000000,-8134365346.000000,-8154856448.000000,-16289221794.000000,30677063179.000000,-8721306587.000000,661517920.000000,11757719.000000,-9639677720.000000,44636252.000000,200459242.000000,-8721306587.000000,21955756592.000000,-5788439527.000000,-5891574578.000000,103135051.000000,-5788439527.000000,16167317065.000000,,16167317065.000000,,,,16167317065.000000,16167317065.000000,16167317065.000000,,16167317065.000000,16167317065.000000,16167317065.000000,,16167317065.000000
12M 2013,487200477334.000000,-347278786235.000000,139921691099.000000,-78657350776.000000,-32271566372.000000,-46385784404.000000,-78657350776.000000,61264340323.000000,-37375172415.000000,9424311823.000000,-1593318926.000000,-45522107753.000000,1115026667.000000,-799084226.000000,-37375172415.000000,23889167908.000000,-7051116190.000000,,,-7051116190.000000,16838051718.000000,-4779257664.000000,12058794054.000000,,,,12058794054.000000,12058794054.000000,12047511288.000000,11282766.000000,12058794054.000000,12058794054.000000,12058794054.000000,,12058794054.000000
12M 2014,332402373397.000000,-209569908889.000000,122832464508.000000,-89738923508.000000,-42899663198.000000,-46839260310.000000,-89738923508.000000,33093541000.000000,-43193263108.000000,15250476291.000000,162621573.000000,-43913605159.000000,46248190.000000,-14739004003.000000,-43193263108.000000,-10099722108.000000,-35576868.000000,,,-35576868.000000,-10135298976.000000,,-10135298976.000000,,,,-10135298976.000000,-10135298976.000000,-10088662490.000000,-46636486.000000,-10135298976.000000,-10135298976.000000,-10135298976.000000,,-10135298976.000000
12M 2015,301781831914.000000,-213327773588.000000,88454058326.000000,-78501064628.000000,-33356149072.000000,-45144915556.000000,-78501064628.000000,9952993698.000000,-49070368667.000000,62283331.000000,-159047300.000000,-48907380739.000000,2397571963.000000,-2463795922.000000,-49070368667.000000,-39117374969.000000,14771648172.000000,,14771648172.000000,14771648172.000000,-24345726797.000000,,-24345726797.000000,182295172.000000,182295172.000000,182295172.000000,-24163431625.000000,-24345726796.000000,-24301642773.000000,-44084023.000000,-24345726796.000000,-24163431625.000000,-24120698773.000000,-42732852.000000,-24163431625.000000
12M 2016,296471502365.000000,-208446575236.000000,88024927129.000000,-59963947829.000000,-24728935173.000000,-35235012656.000000,-59963947829.000000,28060979300.000000,-42680636098.000000,22356312.000000,-7155350.000000,-43062441922.000000,-7121075.000000,373725937.000000,-42680636098.000000,-14619656798.000000,-11880908965.000000,,-11880908965.000000,-11880908965.000000,-26500565763.000000,,-26500565763.000000,351405057.000000,351405057.000000,351405057.000000,-26149160706.000000,-26500565763.000000,-26431995093.000000,-68570670.000000,-26500565763.000000,-26149160706.000000,-26081798411.000000,-67362295.000000,-26149160706.000000
12M 2017,262143990839.000000,-220973146395.000000,41170844444.000000,-75168409306.000000,-23941275960.000000,-51227133346.000000,-75168409306.000000,-33997564862.000000,-35731139325.000000,21868524.000000,457304.000000,-36208246527.000000,502486619.000000,-47705245.000000,-35731139325.000000,-69728704187.000000,6879122522.000000,,6879122522.000000,6879122522.000000,-62849581665.000000,,-62849581665.000000,2422304.000000,2422304.000000,2422304.000000,-62847159361.000000,-62849581665.000000,-62415768242.000000,-433813423.000000,-62849581665.000000,-62847159361.000000,-62411606647.000000,-435552714.000000,-62847159361.000000
12M 2018,290274839317.000000,-261497951567.000000,28776887750.000000,-51717386683.000000,-24169544768.000000,-27547841915.000000,-51717386683.000000,-22940498933.000000,-22734694280.000000,25810662.000000,-8013414216.000000,-18767131696.000000,2591975854.000000,1428065116.000000,-22734694280.000000,-45675193213.000000,12653972351.000000,,12653972351.000000,12653972351.000000,-33021220862.000000,,-33021220862.000000,863109707.000000,863109707.000000,863109707.000000,-32158111155.000000,-33021220862.000000,-32871149269.000000,-150071593.000000,-33021220862.000000,-32158111155.000000,-32011335901.000000,-146775254.000000,-32158111155.000000
12M 2019,343971642312.000000,-302040144585.000000,41931497727.000000,-49851657372.000000,-19535607685.000000,-30316049687.000000,-49851657372.000000,-7920159645.000000,-3169402599.000000,24280052.000000,,-5534119082.000000,,2340436431.000000,-3169402599.000000,-11089562244.000000,3706273005.000000,,3706273005.000000,3706273005.000000,-7383289239.000000,,-7383289239.000000,987135308.000000,987135308.000000,987135308.000000,-6396153931.000000,-7383289239.000000,-7361733188.000000,-21556051.000000,-7383289239.000000,-6396153931.000000,-6379173111.000000,-16980820.000000,-6396153931.000000
12M 2020,321502485934.000000,-284121002771.000000,37381483163.000000,-35164294425.000000,-16106381016.000000,-19057913409.000000,-35164294425.000000,2217188738.000000,-11057770245.000000,98669725.000000,,-9151747838.000000,,-2004692132.000000,-11057770245.000000,-8840581507.000000,-1666357682.000000,,-1666357682.000000,-1666357682.000000,-10506939189.000000,,-10506939189.000000,2659495915.000000,2659495915.000000,2659495915.000000,-7847443274.000000,-10506939189.000000,-10480232395.000000,-26706794.000000,-10506939189.000000,-7847443274.000000,-7827103872.000000,-20339402.000000,-7847443274.000000
