Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,1.22 B,24.48,2.08,0.26,,6.82%,13.45%,15.47%,
12M 2009,1.22 B,40.36,2.38,0.46,,9.72%,18.10%,11.64%,
12M 2010,1.44 B,41.32,3.51,0.75,,9.07%,16.91%,11.68%,
12M 2011,2.87 B,33.23,4.42,1.15,,9.08%,15.00%,12.82%,
12M 2012,2.87 B,51.21,4.49,1.50,,10.90%,19.23%,14.37%,
12M 2013,2.90 B,52.66,3.76,1.16,,10.33%,17.72%,12.44%,
12M 2014,3.32 B,42.12,5.53,1.36,,8.47%,13.53%,9.50%,
12M 2015,5.00 B,38.74,9.81,2.51,,7.37%,12.84%,9.91%,
12M 2016,5.00 B,26.05,14.36,2.50,,3.79%,7.39%,4.58%,
12M 2017,5.00 B,24.63,15.43,2.47,,3.17%,6.64%,3.71%,
12M 2018,5.00 B,5.65,57.70,2.24,67.42 B,0.66%,1.55%,1.33%,
12M 2019,5.00 B,14.61,20.26,1.90,89.95 B,1.58%,3.74%,1.77%,
12M 2020,5.00 B,21.44,10.54,1.47,137.34 B,2.26%,5.35%,2.65%,
12M 2021,5.00 B,29.88,11.24,2.13,174.47 B,3.21%,8.04%,3.43%,
12M 2022,5.00 B,33.94,10.61,2.05,205.16 B,3.61%,9.98%,4.12%,
12M 2023,5.00 B,29.61,9.79,1.57,172.34 B,2.89%,8.68%,3.21%,
12M 2024,5.00 B,45.70,7.22,1.59,261.46 B,4.26%,12.58%,4.73%,
