Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Piutang Retensi,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Piutang Retensi,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Beban Akrual,Utang Pajak,Utang Bank Jangka Pendek,Utang Pihak Berelasi,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2013,,,1803062682.000000,26875086225.000000,,4679548.000000,44561824686.000000,44457996352.000000,117702649493.000000,,54491430860.000000,,1292687525.000000,255396000.000000,56039514385.000000,173742163878.000000,,,83158022987.000000,12245609193.000000,1983780360.000000,834318766.000000,45565314254.000000,,,,,22529000414.000000,83158022987.000000,8677031967.000000,1589380000.000000,,,,7087651967.000000,8677031967.000000,91835054954.000000,,2324000000.000000,78886890845.000000,696218079.000000,81907108924.000000,173742163878.000000,11200.000000
12M 2014,,,498895382.000000,22994495808.000000,,110030514.000000,45709745367.000000,29789894107.000000,99103061178.000000,,52019522073.000000,,984055580.000000,212765900.000000,53216343553.000000,152319404731.000000,,,54019869545.000000,3815619085.000000,1796023130.000000,1911102952.000000,33570523777.000000,,,,,12926600601.000000,54019869545.000000,8109512785.000000,,,,,8109512785.000000,8109512785.000000,62129382330.000000,,2324000000.000000,87772158404.000000,93863997.000000,90190022401.000000,152319404731.000000,11200.000000
12M 2015,,,1032111066.000000,24646786975.000000,3076995710.000000,42241494.000000,55209937425.000000,57669297518.000000,141677370188.000000,,54423409470.000000,882299143.000000,1098624225.000000,892878547.000000,57297211385.000000,198974581573.000000,,,61252922266.000000,14228730009.000000,2305315399.000000,3653250643.000000,29964510695.000000,,,,,11101115520.000000,61252922266.000000,10159271614.000000,,,,,10159271614.000000,10159271614.000000,71412193880.000000,,108000000000.000000,15789472961.000000,3772914732.000000,127562387693.000000,198974581573.000000,1080000000.000000
12M 2016,,,486852308.000000,52617834975.000000,1645824189.000000,96423604.000000,55773311410.000000,87480755364.000000,198101001850.000000,,51523257999.000000,851383471.000000,1170103801.000000,806560000.000000,54351305271.000000,252452307121.000000,,,89715515949.000000,14930512754.000000,2320127893.000000,6060728135.000000,45289639312.000000,,,,,21114507855.000000,89715515949.000000,11370613060.000000,,,,,11370613060.000000,11370613060.000000,101086129009.000000,,108000000000.000000,39401336000.000000,3964842112.000000,151366178112.000000,252452307121.000000,1080000000.000000
12M 2017,,,6734140032.000000,42158111792.000000,,48738963.000000,79310830423.000000,129413552598.000000,257665373808.000000,,99664970627.000000,1085850824.000000,1784573316.000000,705450000.000000,103240844767.000000,360906218575.000000,,,144509470711.000000,28690833703.000000,2577496272.000000,3994476505.000000,89632955871.000000,,,794612000.000000,794612000.000000,18819096360.000000,144509470711.000000,34258309053.000000,,,23043748000.000000,23043748000.000000,11214561053.000000,34258309053.000000,178767779764.000000,,108000000000.000000,69844209015.000000,4294229796.000000,182138438811.000000,360906218575.000000,1080000000.000000
12M 2018,,,5807838811.000000,72350909314.000000,,929094325.000000,99216496476.000000,114284528277.000000,292588867203.000000,,109149417993.000000,848948125.000000,1557893633.000000,576930000.000000,112133189751.000000,404722056954.000000,,,167420913753.000000,39489348055.000000,2338697301.000000,1417611907.000000,98269650411.000000,,,5334338691.000000,5334338691.000000,20571267388.000000,167420913753.000000,30077411946.000000,,,18748298194.000000,18748298194.000000,11329113752.000000,30077411946.000000,197498325699.000000,,108000000000.000000,93556368269.000000,5667362986.000000,207223731255.000000,404722056954.000000,1080000000.000000
12M 2019,,,3413356345.000000,54394360320.000000,,76317806.000000,143390406492.000000,106581718407.000000,307856159370.000000,,106723100880.000000,269330319.000000,1541830880.000000,4290501709.000000,112824763788.000000,420680923158.000000,,,180655241982.000000,49525945617.000000,1210112984.000000,1863055548.000000,94488259595.000000,,,6567672036.000000,6567672036.000000,27000196202.000000,180655241982.000000,30064035524.000000,,,17725070605.000000,17725070605.000000,12338964919.000000,30064035524.000000,210719277506.000000,,108000000000.000000,95147598198.000000,6814047454.000000,209961645652.000000,420680923158.000000,1080000000.000000
12M 2020,,,5598640231.000000,52743190087.000000,,16369865.000000,137229473359.000000,44791615058.000000,240379288600.000000,,104221027521.000000,,1818528489.000000,3956637709.000000,109996193719.000000,350375482319.000000,,,182669165262.000000,52320900058.000000,1355402046.000000,4139791986.000000,81926841611.000000,,,6167672028.000000,6167672028.000000,36758557533.000000,182669165262.000000,26390443837.000000,,,11957398585.000000,11957398585.000000,14433045252.000000,26390443837.000000,209059609099.000000,,108000000000.000000,28557017891.000000,4758855329.000000,141315873220.000000,350375482319.000000,1080000000.000000
12M 2021,,,6798481354.000000,47695347057.000000,,2700000.000000,136779394255.000000,14533966935.000000,205809889601.000000,,103151669729.000000,,1339677019.000000,1195544389.000000,105686891137.000000,311496780738.000000,,,147961497672.000000,66005509892.000000,1999690307.000000,1663371772.000000,44766108974.000000,2058281669.000000,,6167672028.000000,6167672028.000000,25300863030.000000,147961497672.000000,17067331603.000000,,,5789726558.000000,5789726558.000000,11277605045.000000,17067331603.000000,165028829275.000000,,108000000000.000000,32379473178.000000,6088478285.000000,146467951463.000000,311496780738.000000,1080000000.000000
12M 2022,,,11981286240.000000,55154186279.000000,,7072846.000000,141383770656.000000,11020182033.000000,219546498054.000000,,100699802793.000000,,1465292535.000000,1340931609.000000,103506026937.000000,323052524991.000000,,,156573698247.000000,45960508282.000000,1541243791.000000,735448267.000000,37595959127.000000,,,5627691202.000000,5627691202.000000,65112847578.000000,156573698247.000000,12306707726.000000,,,430706566.000000,430706566.000000,11876001160.000000,12306707726.000000,168880405973.000000,,108000000000.000000,40309701718.000000,5862417300.000000,154172119018.000000,323052524991.000000,1080000000.000000
