Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pengeluaran Kas Kepada Pemasok,Pengeluaran Kas Kepada Karyawan,Pembayaran Aktivitas Administrasi Dan Operasi,Pembayaran Pajak Penghasilan,Pembayaran Beban Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Pelepasan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Penawaran Umum Saham Perdana,Penerimaan (Pembayaran) Utang Pihak Berelasi,Pembayaran Dividen Tunai,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Penerimaan (Pengeluaran) Cerukan,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2013,-20898960733.000000,101628935971.000000,-98999843207.000000,-16058149183.000000,-4085336033.000000,-1685072343.000000,-1699495938.000000,-20898960733.000000,-8431670424.000000,-8431670424.000000,,-8431670424.000000,28902424644.000000,62393290912.000000,-25205803048.000000,,,,-8285063220.000000,,28902424644.000000,-428206513.000000,-2074649854.000000,4173873131.000000,132045918.000000,1803062682.000000
12M 2014,13605183179.000000,91883366454.000000,-59333243558.000000,-9217772182.000000,-4789966163.000000,-1079304646.000000,-3857896726.000000,13605183179.000000,-864601604.000000,-864601604.000000,,-864601604.000000,-43226304479.000000,132295411983.000000,-173932336462.000000,,,,-1589380000.000000,,-43226304479.000000,-30485722904.000000,-204354236.000000,29385909840.000000,1803062682.000000,498895382.000000
12M 2015,-9369929977.000000,115706724099.000000,-88352295249.000000,-13828937620.000000,-13779079304.000000,-3648296922.000000,-5468044981.000000,-9369929977.000000,-5604912395.000000,-5634608527.000000,29696132.000000,-5604912395.000000,19533488383.000000,182447319881.000000,-182027902637.000000,,,28189000000.000000,,-9074928861.000000,19533488383.000000,4558646011.000000,176389807.000000,-4201820134.000000,498895382.000000,1032111066.000000
12M 2016,-6128494910.000000,174188480779.000000,-121408527764.000000,-31855158946.000000,-10702778499.000000,-9634998241.000000,-6715512239.000000,-6128494910.000000,-991076000.000000,-1023076000.000000,32000000.000000,-991076000.000000,9908267768.000000,140797111741.000000,-122248843973.000000,,,,,-8640000000.000000,9908267768.000000,2788696858.000000,-110816465.000000,-3223139151.000000,1032111066.000000,486852308.000000
12M 2017,-644338529.000000,208857989858.000000,-167707093281.000000,-9316377747.000000,-10127421446.000000,-14991875380.000000,-7359560533.000000,-644338529.000000,-52126110440.000000,-52038357064.000000,-87753376.000000,-52126110440.000000,45768630029.000000,189751887431.000000,-135343257402.000000,,,,,-8640000000.000000,45768630029.000000,-7001818940.000000,-523939866.000000,13773046530.000000,486852308.000000,6734140032.000000
12M 2018,13472771574.000000,252198551498.000000,-186089006974.000000,-9738361232.000000,-13304460963.000000,-15315050546.000000,-14278900209.000000,13472771574.000000,-14071728217.000000,-14224328217.000000,152600000.000000,-14071728217.000000,192258839.000000,225405518342.000000,-216573259503.000000,,,,,-8640000000.000000,192258839.000000,-406697804.000000,-568316002.000000,48712585.000000,6734140032.000000,5807838811.000000
12M 2019,11977178491.000000,238175905576.000000,-180519192213.000000,-9785700324.000000,-14094712258.000000,-7904282688.000000,-13894839602.000000,11977178491.000000,-2187560067.000000,-2247560067.000000,60000000.000000,-2187560067.000000,-9569581073.000000,211077653826.000000,-212007234899.000000,,,,,-8640000000.000000,-9569581073.000000,220037351.000000,27184170.000000,-2641703987.000000,5807838811.000000,3413356345.000000
12M 2020,23511622589.000000,195052313322.000000,-130476150282.000000,-8257551246.000000,-12050571266.000000,-11568126804.000000,-9188291135.000000,23511622589.000000,-2061479248.000000,-2061479248.000000,,-2061479248.000000,-21443305601.000000,261473266254.000000,-276276677613.000000,,-6639894242.000000,,,,-21443305601.000000,6837740.000000,-535769441.000000,2714215587.000000,3413356345.000000,5598640231.000000
12M 2021,47103444358.000000,207948334109.000000,-134606009866.000000,-8734368487.000000,-11605931449.000000,-223289509.000000,-5675290440.000000,47103444358.000000,-2566394363.000000,-2809988363.000000,243594000.000000,-2566394363.000000,-43332393804.000000,173030247965.000000,-210190980602.000000,,-6171661167.000000,,,,-43332393804.000000,1204656191.000000,-8804208.000000,3989140.000000,5598640231.000000,6798481354.000000
12M 2022,19925105399.000000,251014446689.000000,-190781356845.000000,-25117099257.000000,-9238948407.000000,-1424266053.000000,-4527670728.000000,19925105399.000000,-800039094.000000,-1163424511.000000,363385417.000000,-800039094.000000,1894183990.000000,276870297497.000000,-269180237674.000000,,-5795875833.000000,,,,1894183990.000000,21019250295.000000,-873110755.000000,-14963334654.000000,6798481354.000000,11981286240.000000
12M 2023,-15838026797.000000,318814339506.000000,-290138408633.000000,-27116740916.000000,-10445824711.000000,-2619652571.000000,-4331739472.000000,-15838026797.000000,-15192200.000000,-15192200.000000,,-15192200.000000,12397198968.000000,128640525235.000000,-110615635065.000000,,-5627691202.000000,,,,12397198968.000000,-3456020029.000000,226226905.000000,,11981286240.000000,8751493116.000000
12M 2024,29417505150.000000,342365671536.000000,-258166606158.000000,-36531694113.000000,-12891041026.000000,-450212203.000000,-4908612886.000000,29417505150.000000,-1369817408.000000,-1369817408.000000,,-1369817408.000000,-32730128892.000000,131304285566.000000,-158203707940.000000,,-430706518.000000,,,-5400000000.000000,-32730128892.000000,-4682441150.000000,352956671.000000,,8751493116.000000,4422008637.000000
