Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2012,268 B,(373 B),(105 B),-31.44
12M 2013,(83 B),(476 B),(559 B),-167.78
12M 2014,577 B,(645 B),(68 B),-20.39
12M 2015,12 B,(814 B),(802 B),-240.39
12M 2016,282 B,(652 B),(370 B),-110.25
12M 2017,187 B,(539 B),(352 B),-105.03
12M 2018,(92 B),"(1,036 B)","(1,128 B)",-336.41
12M 2019,121 B,(979 B),(858 B),-255.81
12M 2020,494 B,(646 B),(152 B),-45.29
12M 2021,"1,225 B",(527 B),697 B,207.91
12M 2022,935 B,(528 B),408 B,121.60
12M 2023,566 B,(525 B),41 B,12.23
12M 2024,705 B,(361 B),345 B,102.73
