Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Piutang Pihak Berelasi,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Investasi Pada Entitas Asosiasi,Investasi Pada Entitas Pengendalian Bersama,Aset Tetap,Properti Pertambangan,Aset Eksplorasi Dan Evaluasi,Biaya Eksplorasi Dan Pengembangan Yang Ditangguhkan,Aset Tak Berwujud,Goodwill,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Beban Akrual,Utang Pajak,Others,Total Utang Pajak,Utang Obligasi,Liabilitas Derivatif,Pinjaman Investasi,Utang Sewa Pembiayaan,Utang Lain-Lain,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Obligasi,Pinjaman Investasi,Utang Jangka Panjang Dari Pihak Berelasi,Utang Sewa Pembiayaan,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,3284218532000.000000,594950328000.000000,594950328000.000000,,594950328000.000000,131186741000.000000,,1391471720000.000000,417704623000.000000,5819531944000.000000,,,,,,,,2890477780000.000000,,,622828357000.000000,,85360253000.000000,380271230000.000000,446571216000.000000,4425508836000.000000,10245040780000.000000,,,718198391000.000000,255500000000.000000,,128562808000.000000,1968830000.000000,130531638000.000000,204523461000.000000,20140415000.000000,,20140415000.000000,,,,,47600296000.000000,59902581000.000000,718198391000.000000,1412771903000.000000,,558450000000.000000,37114469000.000000,,,817207434000.000000,1412771903000.000000,2130970294000.000000,,953845975000.000000,2526309000.000000,7054793471000.000000,5686654306000.000000,1368139165000.000000,7054793471000.000000,50932665000.000000,51972066000.000000,8114070486000.000000,10245040780000.000000,9538459749.000000
12M 2009,,,2773582727000.000000,818097073000.000000,818097073000.000000,,818097073000.000000,212837602000.000000,,1170505411000.000000,461824204000.000000,5436847017000.000000,,,,,,,,2890601952000.000000,,,780712101000.000000,,80964126000.000000,348539106000.000000,402332136000.000000,4503149421000.000000,9939996438000.000000,,,747531096000.000000,239700000000.000000,,155577968000.000000,2932320000.000000,158510288000.000000,227432287000.000000,16425379000.000000,,16425379000.000000,,,,,70875303000.000000,34587839000.000000,747531096000.000000,1000596323000.000000,,239700000000.000000,34008915000.000000,,,726887408000.000000,1000596323000.000000,1748127419000.000000,,953845975000.000000,2526309000.000000,7091322806000.000000,6487015718000.000000,604307088000.000000,7091322806000.000000,42929529000.000000,101244400000.000000,8191869019000.000000,9939996438000.000000,9538459749.000000
12M 2010,,,4308242737000.000000,1579883859000.000000,1579883859000.000000,,1579883859000.000000,113433988000.000000,,1229283112000.000000,362786730000.000000,7593630426000.000000,,,,,,,,2952396841000.000000,,,913438233000.000000,,89766189000.000000,407752089000.000000,353748321000.000000,4717101673000.000000,12310732099000.000000,,,1989071312000.000000,768730500000.000000,,247912405000.000000,16744722000.000000,264657127000.000000,420448898000.000000,412061288000.000000,,412061288000.000000,,,,,36875899000.000000,86297600000.000000,1989071312000.000000,720825489000.000000,,,23934291000.000000,,,696891198000.000000,720825489000.000000,2709896801000.000000,,953845975000.000000,2526309000.000000,8508827679000.000000,6825427687000.000000,1683399992000.000000,8508827679000.000000,20737073000.000000,114898262000.000000,9600835298000.000000,12310732099000.000000,9538459749.000000
12M 2011,,,5639678574000.000000,1247342620000.000000,1247342620000.000000,,1247342620000.000000,100077874000.000000,,1687897283000.000000,433023423000.000000,9108019774000.000000,,,,,,173259737000.000000,1035900790000.000000,2980742742000.000000,,,1142208576000.000000,,185373972000.000000,371457104000.000000,204272382000.000000,6093215303000.000000,15201235077000.000000,,,855829583000.000000,8000000000.000000,,255244948000.000000,2349614000.000000,257594562000.000000,379582278000.000000,87685073000.000000,,87685073000.000000,,,,,32830173000.000000,90137497000.000000,855829583000.000000,3573361944000.000000,2992235852000.000000,,,,,581126092000.000000,3573361944000.000000,4429191527000.000000,,953845975000.000000,2526309000.000000,9700470953000.000000,7768131683000.000000,1932339270000.000000,9700470953000.000000,9411000.000000,115190902000.000000,10772043550000.000000,15201235077000.000000,9538459749.000000
12M 2012,,,3868574769000.000000,1722426366000.000000,1721967385000.000000,458981000.000000,1722426366000.000000,124491614000.000000,,1449967933000.000000,481390514000.000000,7646851196000.000000,,,,,,3956042901000.000000,1154405032000.000000,4663449270000.000000,666238614000.000000,754404102000.000000,,,185373972000.000000,36211700000.000000,645564159000.000000,12061689750000.000000,19708540946000.000000,,,3041406158000.000000,1663900000000.000000,,378228386000.000000,38725066000.000000,416953452000.000000,414007012000.000000,150007865000.000000,,150007865000.000000,,,,,37756594000.000000,358781235000.000000,3041406158000.000000,3834818732000.000000,2992843970000.000000,,,,296357929000.000000,545616833000.000000,3834818732000.000000,6876224890000.000000,,953845975000.000000,8370273000.000000,11748920056000.000000,8751355353000.000000,2997564703000.000000,11748920056000.000000,22360000.000000,121157392000.000000,12832316056000.000000,19708540946000.000000,9538459749.000000
12M 2013,,,2792737848000.000000,1152686688000.000000,1152368707000.000000,317981000.000000,1152686688000.000000,37004847000.000000,,2445933902000.000000,652073888000.000000,7080437173000.000000,,33732183000.000000,33732183000.000000,,33732183000.000000,3582548750000.000000,1350639204000.000000,6700155560000.000000,858785854000.000000,709712614000.000000,,,179941213000.000000,433034792000.000000,936130048000.000000,14784680218000.000000,21865117391000.000000,,,3855511633000.000000,2469800000000.000000,,471822225000.000000,75257785000.000000,547080010000.000000,331623859000.000000,180599828000.000000,,180599828000.000000,,,98426175000.000000,,71908862000.000000,156072899000.000000,3855511633000.000000,5216118226000.000000,2993510374000.000000,1223734214000.000000,,,568114116000.000000,430759522000.000000,5216118226000.000000,9071629859000.000000,,953845975000.000000,29704906000.000000,11758293770000.000000,11295503087000.000000,462790683000.000000,11758293770000.000000,25614000.000000,51617267000.000000,12793487532000.000000,21865117391000.000000,9538459749.000000
12M 2014,,,2618910283000.000000,1067620272000.000000,1046094840000.000000,21525432000.000000,1067620272000.000000,31318032000.000000,,1761888223000.000000,863373126000.000000,6343109936000.000000,,37027697000.000000,37027697000.000000,,37027697000.000000,2687171571000.000000,1438385425000.000000,8699660101000.000000,893941509000.000000,687064468000.000000,,,133651462000.000000,517099063000.000000,607090988000.000000,15701092284000.000000,22044202220000.000000,,,3862917319000.000000,2528041360000.000000,,448654416000.000000,238821839000.000000,687476255000.000000,161623654000.000000,120169672000.000000,,120169672000.000000,,,224231000000.000000,,55679758000.000000,85695620000.000000,3862917319000.000000,6251723634000.000000,2994237464000.000000,2268658242000.000000,,,579734448000.000000,409093480000.000000,6251723634000.000000,10114640953000.000000,,953845975000.000000,29817600000.000000,10890769511000.000000,11613209777000.000000,-722440266000.000000,10890769511000.000000,26158000.000000,55102023000.000000,11929561267000.000000,22044202220000.000000,9538459749.000000
12M 2015,,,8086634372000.000000,448012221000.000000,340924318000.000000,107087903000.000000,448012221000.000000,130132409000.000000,,1752584557000.000000,835463001000.000000,11252826560000.000000,,481963825000.000000,481963825000.000000,,481963825000.000000,1992516049000.000000,1481635779000.000000,12267804244000.000000,863973221000.000000,743551056000.000000,,,101759427000.000000,732082537000.000000,438738192000.000000,19104024330000.000000,30356850890000.000000,,,4339330380000.000000,2808100000000.000000,,547034314000.000000,177060544000.000000,724094858000.000000,251599629000.000000,,62779033000.000000,62779033000.000000,,,379707375000.000000,,42387538000.000000,70661947000.000000,4339330380000.000000,7700801548000.000000,2995030772000.000000,3927468734000.000000,,,,778302042000.000000,7700801548000.000000,12040131928000.000000,,2403076473000.000000,3934833124000.000000,9593047837000.000000,11613209777000.000000,-2020161940000.000000,9593047837000.000000,25057000.000000,2385736471000.000000,18316718962000.000000,30356850890000.000000,24030764725.000000
12M 2016,,,7623385438000.000000,834170879000.000000,640813916000.000000,193356963000.000000,834170879000.000000,156313947000.000000,,1388415530000.000000,627935774000.000000,10630221568000.000000,,514361416000.000000,514361416000.000000,,514361416000.000000,2080115940000.000000,1136694848000.000000,12958946013000.000000,853515777000.000000,799356725000.000000,,,101759427000.000000,560641159000.000000,345922939000.000000,19351314244000.000000,29981535812000.000000,,,4352313598000.000000,2687200000000.000000,,419910100000.000000,165815841000.000000,585725941000.000000,214649427000.000000,,61481631000.000000,61481631000.000000,,,568006900000.000000,,62465512000.000000,172784187000.000000,4352313598000.000000,7220426641000.000000,2995896341000.000000,3653536133000.000000,,,,570994167000.000000,7220426641000.000000,11572740239000.000000,,2403076473000.000000,3934833124000.000000,9685248716000.000000,11613209777000.000000,-1927961061000.000000,9685248716000.000000,20920000.000000,2385616340000.000000,18408795573000.000000,29981535812000.000000,24030764725.000000
12M 2017,,,5550677020000.000000,971168156000.000000,969035598000.000000,2132558000.000000,971168156000.000000,406181959000.000000,,1257785082000.000000,816126538000.000000,9001938755000.000000,,1810907131000.000000,1421481050000.000000,389426081000.000000,1810907131000.000000,1690633406000.000000,835350024000.000000,14092994799000.000000,933832021000.000000,665322451000.000000,,,101759427000.000000,306609010000.000000,574926428000.000000,21012334697000.000000,30014273452000.000000,,,5552461635000.000000,2715620000000.000000,,327219276000.000000,479165925000.000000,806385201000.000000,388295108000.000000,,36268950000.000000,36268950000.000000,899594174000.000000,,486103998000.000000,,59654341000.000000,160539863000.000000,5552461635000.000000,5971408300000.000000,2097246586000.000000,3200350554000.000000,,,,673811160000.000000,5971408300000.000000,11523869935000.000000,,2403076473000.000000,3934833124000.000000,9765721053000.000000,11613209777000.000000,-1847488724000.000000,9765721053000.000000,17407000.000000,2386755460000.000000,18490403517000.000000,30014273452000.000000,24030764725.000000
