Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Bunga,Penerimaan Kas Dari Restitusi Pajak,Pembayaran Kas Kepada Pemasok,Pembayaran Kepada Komisaris. Direksi Dan Karyawan,Pembayaran Pajak,Pembayaran Pajak Lain-Lain,Pembayaran Pajak Badan,Pembayaran Pajak Dan Retribusi,Pembayaran Bunga,(Pengembalian Atas)/Penerimaan Dari Denda Administratif,Penerimaan Dari Jaminan Kesungguhan,Pembayaran Premi Asuransi,Penerimaan Kas Dari Pajak Lain-Lain,Penerimaan Kas Dari Restitusi Pajak Lainnya,Penerimaan Kas Dari Penghasilan Denda Dan Klaim,Penerimaan Kas Dari Denda Keterlambatan Proyek,Penurunan (Kenaikan) Kas Yang Dibatasi Penggunaannya,Pembayaran Lain-Lain - Bersih,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penghasilan Dividen,Penempatan Deposito Berjangka,Penerimaan Deposito Berjangka,Penerimaan Dari Utang Lain-Lain,Perolehan Aset Tetap,Pengeluaran Aset Takberwujud,Perolehan Investasi Pada Entitas Asosiasi,Peningkatan Investasi Saham,Pembayaran Uang Muka Investasi Pada Entitas Asosiasi,Pelepasan Entitas Anak,Penerimaan Kas Dari Penjualan Investasi,Pengeluaran Beban Tangguhan,Pengeluaran Untuk Utang Lain-Lain,Pengeluaran Untuk Properti Pertambangan,Penerimaan Aset Keuangan Lancari Lainnya,Penerimaan Dividen Dari Entitas Asosiasi,Penambahan Aset Eksplorasi Dan Evaluasi,Penambahan Properti Pertambangan,Hasil Penjualan Aset Tetap,Pemberian Pinjaman Ke Perusahaan Asosiasi,Penerimaan Dari Disposal Aset,Penerimaan Atas Penjualan Dari Investasi Brm,Pemberian Pinjaman Ke Pengendalian Bersama Entitas,Investasi Saham,Penambahan Beban Ditangguhkan,Perolehan Investasi Pada Entitas Pengendalian Bersama,Biaya Transaksi Terkait Dengan Akuisisi Entitas Anak,Pengeluaran Untuk Aset Tidak Lancar Lain,Pembelian Surat Berharga,Investasi Dalam Saham,Uang Muka Pembelian Saham,Pinjaman Ke Entitas Asosiasi Dan Ventura Bersama,Akuisisi Entitas Anak Melalui Kepemilikan Tidak Langsung,Pembayaran Lain-Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Bank,Penerimaan Pinjaman Investasi,Pembayaran Pinjaman Investasi,Kontribusi Modal Dari Kepentingan Non-Pengendali,Pembayaran Dividen,Pembayaran Pinjaman Bank,Pembayaran Utang Obligasi,Pembayaran Liabilitas Sewa,Pembayaran Untuk Alokasi Program Dan Bina Lingkungan,Penerimaan Dari Utang Lain-Lain,Pembayaran Pembelian Kembali Saham,Penerimaan Atas Penerbitan Saham,Penerimaan Modal Dari Kepentingan Nonpengendali,Penerimaan Utang Obligasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,1137316193000.000000,10699250207000.000000,170334263000.000000,90734182000.000000,-7034467154000.000000,-756754778000.000000,-1990740752000.000000,,,,-49324454000.000000,,,,,,15845655000.000000,,-158549964000.000000,150988988000.000000,,1137316193000.000000,-359230649000.000000,165064391000.000000,,,,-302385936000.000000,,-26266981000.000000,,,,,,,,,,-187035485000.000000,,1855000000.000000,,,,,,-10461638000.000000,,,,,,,,,,-359230649000.000000,-2361531312000.000000,,,,,-2052984177000.000000,-243787387000.000000,,,-51324605000.000000,,-13435143000.000000,,,,-2361531312000.000000,-1583445768000.000000,4743875109000.000000,123789191000.000000,3284218532000.000000
12M 2009,1004174188000.000000,8338364981000.000000,155983781000.000000,70870227000.000000,-6746307851000.000000,-665717026000.000000,-242973768000.000000,,,,-48060861000.000000,,,,,,119126316000.000000,,34849181000.000000,-11960792000.000000,,1004174188000.000000,-464963515000.000000,138403686000.000000,,,,-449433519000.000000,,-18991109000.000000,,,,,,,,,,-126178079000.000000,,,,,,,,-8764494000.000000,,,,,,,,,,-464963515000.000000,-800459116000.000000,,,,,-547255666000.000000,-232681363000.000000,,,-20522087000.000000,,,,,,-800459116000.000000,-261248443000.000000,3284218532000.000000,-249387362000.000000,2773582727000.000000
12M 2010,2004573531000.000000,7919932022000.000000,60504874000.000000,366240287000.000000,-5308406714000.000000,-647017176000.000000,-379534789000.000000,,,,-12342513000.000000,,,,,,,,27989166000.000000,-22791626000.000000,,2004573531000.000000,-430014991000.000000,343388915000.000000,,,,-560340434000.000000,,-92103530000.000000,,,,,,,,,,-120959942000.000000,,,,,,,,,,,,,,,,,,-430014991000.000000,42875112000.000000,539460000000.000000,,,,-241722835000.000000,-230689769000.000000,,,-24172284000.000000,,,,,,42875112000.000000,1617433652000.000000,2773582727000.000000,-82773642000.000000,4308242737000.000000
12M 2011,1567957001000.000000,10762308459000.000000,66115082000.000000,132946544000.000000,-7437952568000.000000,-936878854000.000000,-1061311374000.000000,,,,-10897724000.000000,,,,,,,,13135272000.000000,40492164000.000000,,1567957001000.000000,-1609433549000.000000,325585041000.000000,,,,-675402832000.000000,,-47049362000.000000,,,,,,,,,,-223674915000.000000,,82797300000.000000,,,,,,,-962169891000.000000,,,,,,,-109518890000.000000,,-1609433549000.000000,1535129650000.000000,705889237000.000000,,,,-673359997000.000000,-1430063590000.000000,,,-67336000000.000000,,,,,3000000000000.000000,1535129650000.000000,1493653102000.000000,4229101514000.000000,-83076042000.000000,5639678574000.000000
12M 2012,890602351000.000000,10058244598000.000000,174170208000.000000,189578001000.000000,-5906479723000.000000,-2415277493000.000000,-904884217000.000000,,,,-273892532000.000000,,,,,,,,7698167000.000000,-38554658000.000000,,890602351000.000000,-3495941139000.000000,323221931000.000000,,,,-2249361358000.000000,,-1258300788000.000000,,,,,,,,,,-30201619000.000000,-281299305000.000000,,,,,,,,,,,,,,,,,-3495941139000.000000,694416788000.000000,1659070467000.000000,,,12200000.000000,-867550297000.000000,-20000000000.000000,,,-77115582000.000000,,,,,,694416788000.000000,-1910922000000.000000,5639678574000.000000,139818195000.000000,3868574769000.000000
12M 2013,157236346000.000000,12100310592000.000000,85768689000.000000,50603342000.000000,-10154298982000.000000,-1070706960000.000000,-467808240000.000000,,,,-317054555000.000000,,,,,,,,-26118857000.000000,-43458683000.000000,,157236346000.000000,-2647226091000.000000,69034671000.000000,,,,-2442914390000.000000,,-2500000000.000000,,,,,,,,,,-125085489000.000000,-112028707000.000000,,-33732176000.000000,,,,,,,,,,,,,,,-2647226091000.000000,887255635000.000000,4617337058000.000000,,,,-448967247000.000000,-3281114176000.000000,,,,,,,,,887255635000.000000,-1602734110000.000000,3868574769000.000000,526897189000.000000,2792737848000.000000
12M 2014,391684676000.000000,9372115558000.000000,69142290000.000000,628356897000.000000,-8126101763000.000000,-979300745000.000000,-202969401000.000000,,,,-375755378000.000000,,,,,,,,89568477000.000000,-83371259000.000000,,391684676000.000000,-1639021756000.000000,437105650000.000000,,,,-2029767918000.000000,,-27500000.000000,,,,,,,,,,-2397467000.000000,-35352736000.000000,,,,,,,-8581785000.000000,,,,,,,,,,-1639021756000.000000,956082001000.000000,4365424850000.000000,,,,-92237426000.000000,-3317105423000.000000,,,,,,,,,956082001000.000000,-291255079000.000000,2792737848000.000000,117427514000.000000,2618910283000.000000
12M 2015,488904984000.000000,11099298878000.000000,66926702000.000000,516280098000.000000,-9757388947000.000000,-914685014000.000000,-145946527000.000000,,,,-527461401000.000000,,,,,,,,,151881195000.000000,,488904984000.000000,-2103884552000.000000,226172252000.000000,,,,-1737740720000.000000,,-50000000.000000,,,,,,,,,,-55749476000.000000,-7335622000.000000,,,,,,,-20078851000.000000,-285447834000.000000,,,,,,-223654301000.000000,,,-2103884552000.000000,6887375528000.000000,7099305116000.000000,,,,,-5566175610000.000000,,,,,,5354246022000.000000,,,6887375528000.000000,5272395960000.000000,2618910283000.000000,195328129000.000000,8086634372000.000000
12M 2016,1015391750000.000000,8841691124000.000000,335506495000.000000,544028808000.000000,-7278447325000.000000,-860793576000.000000,-99862217000.000000,,,,-505710587000.000000,,,,,,,,,38979028000.000000,,1015391750000.000000,-1382046458000.000000,87317417000.000000,,,,-1176884041000.000000,,,,,,,,,,,,-40877130000.000000,-1581310000.000000,475225000.000000,,,,,,-11201793000.000000,,,,,,,-239294826000.000000,,,-1382046458000.000000,-26840072000.000000,5755180000000.000000,,,,,-5782020072000.000000,,,,,,,,,-26840072000.000000,-393494780000.000000,8086634372000.000000,-69754154000.000000,7623385438000.000000
12M 2017,1379176412000.000000,12239306888000.000000,262588507000.000000,142445749000.000000,-9772810344000.000000,-916259496000.000000,-195949984000.000000,-174112420000.000000,,,-484229818000.000000,,,,233963560000.000000,,,,,44233770000.000000,,1379176412000.000000,-2890561357000.000000,171944592000.000000,,,,-2321508104000.000000,,,-15000000000.000000,,,,,,,,,-3081983000.000000,-27697963000.000000,2277201000.000000,,,,,11250000000.000000,-12244137000.000000,,,,,,,-696500963000.000000,,,-2890561357000.000000,-568358413000.000000,4665000000000.000000,,,,,-5233358413000.000000,,,,,,,,,-568358413000.000000,-2079743358000.000000,7623385438000.000000,7034940000.000000,5550677020000.000000
