Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2013,1.97,1295.64,1.97,1295.64,637 B,"4,420 B","5,057 B","4,598 B",402 B
12M 2014,26.45,124.75,26.45,124.75,743 B,"6,102 B","6,845 B","6,074 B",112 B
12M 2015,13.95,238.68,13.95,238.68,"4,348 B","2,229 B","6,577 B","6,104 B","(3,669 B)"
12M 2016,13.06,136.25,13.06,136.25,17 B,"6,399 B","6,416 B","5,902 B",751 B
12M 2017,-7.44,-239.37,-7.44,-239.37,"4,099 B","2,591 B","6,690 B","6,554 B","(3,955 B)"
12M 2018,-2.05,-818.10,-2.05,-818.10,"4,574 B","2,787 B","7,362 B","7,177 B","(5,052 B)"
12M 2019,1.18,294.21,1.18,294.21,58 B,"2,795 B","2,854 B","2,588 B",691 B
12M 2020,0.61,671.91,0.61,671.91,9 B,16 B,25 B,(160 B),650 B
12M 2021,1.21,704.39,1.21,704.39,29 B,72 B,102 B,(91 B),686 B
12M 2022,0.46,370.17,0.46,370.17,48 B,34 B,82 B,(274 B),865 B
12M 2023,0.47,354.27,0.47,354.27,63 B,,63 B,(70 B),904 B
12M 2024,0.40,297.72,0.40,297.72,82 B,,82 B,(110 B),919 B
