Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Keuntungan Atas Penjualan Entitas Anak,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Keuntungan (Rugi) Atas Transaksi Derivatif,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2013,259595002.000000,-195331051.000000,64263951.000000,-16852933.000000,-16852933.000000,,,-16852933.000000,47411018.000000,-45841118.000000,8821083.000000,103827.000000,,-3773.000000,-39049486.000000,,-5188536.000000,-10524233.000000,-45841118.000000,1569900.000000,-11526380.000000,-9956480.000000,,-9956480.000000,-137915.000000,-10094395.000000,-9956480.000000,-9956480.000000,,-9956480.000000,-10094395.000000,-10094395.000000,,-10094395.000000
12M 2014,249325833.000000,-153076784.000000,96249049.000000,-22558152.000000,-22558152.000000,,,-22558152.000000,73690897.000000,-85532991.000000,-1007873.000000,180649.000000,,-19662.000000,-33524089.000000,,2076832.000000,-53238848.000000,-85532991.000000,-11842094.000000,-4077482.000000,-15919576.000000,,-15919576.000000,-12301.000000,-15931877.000000,-15919576.000000,-15919576.000000,,-15919576.000000,-15931877.000000,-15931877.000000,,-15931877.000000
12M 2015,246286442.000000,-174602578.000000,71683864.000000,-20326121.000000,-20326121.000000,,,-20326121.000000,51357743.000000,-22966878.000000,1610124.000000,124612.000000,,-79377.000000,-41409969.000000,,,16787732.000000,-22966878.000000,28390865.000000,-8641719.000000,19749146.000000,,19749146.000000,410672.000000,20159818.000000,19749146.000000,19749146.000000,,19749146.000000,20159818.000000,20159818.000000,,20159818.000000
12M 2016,105176356.000000,-80450240.000000,24726116.000000,-15686932.000000,-15686932.000000,,,-15686932.000000,9039184.000000,-34517515.000000,676274.000000,114858.000000,,-1018760.000000,-40476519.000000,,,6186632.000000,-34517515.000000,-25478331.000000,5901520.000000,-19576811.000000,,-19576811.000000,528835.000000,-19047976.000000,-19576811.000000,-19576811.000000,,-19576811.000000,-19047976.000000,-19047976.000000,,-19047976.000000
12M 2017,74475065.000000,-61533274.000000,12941791.000000,-12480368.000000,-12480368.000000,,,-12480368.000000,461423.000000,-107787080.000000,-2150.000000,118720.000000,,-132654.000000,-39215418.000000,,,-68555578.000000,-107787080.000000,-107325657.000000,4802788.000000,-102522869.000000,,-102522869.000000,-106860.000000,-102629729.000000,-102522869.000000,-102522869.000000,,-102522869.000000,-102629729.000000,-102629729.000000,,-102629729.000000
12M 2018,91610151.000000,-98880829.000000,-7270678.000000,-14520707.000000,-14520707.000000,,,-14520707.000000,-21791385.000000,-88060789.000000,135026.000000,68446.000000,,-58199.000000,-43006211.000000,,,-45199851.000000,-88060789.000000,-109852174.000000,6048239.000000,-103803935.000000,,-103803935.000000,531853.000000,-103272082.000000,-103803935.000000,-103803935.000000,,-103803935.000000,-103272082.000000,-103272082.000000,,-103272082.000000
12M 2019,93918906.000000,-74963972.000000,18954934.000000,-15247646.000000,-15247646.000000,,,-15247646.000000,3707288.000000,24042031.000000,431450.000000,,24319.000000,720004.000000,-17028324.000000,,,39894582.000000,24042031.000000,27749319.000000,-7545725.000000,20203594.000000,,20203594.000000,,20203594.000000,20203594.000000,20203594.000000,,20203594.000000,20203594.000000,20203594.000000,,20203594.000000
12M 2020,54767506.000000,-49461541.000000,5305965.000000,-11570986.000000,-11570986.000000,,,-11570986.000000,-6265021.000000,50180375.000000,129059.000000,296342.000000,,-19006.000000,-15448344.000000,,,65222324.000000,50180375.000000,43915354.000000,594148.000000,44509502.000000,,44509502.000000,-105769.000000,44403733.000000,44509502.000000,44509502.000000,,44509502.000000,44403733.000000,44403733.000000,,44403733.000000
12M 2021,65155633.000000,-41737876.000000,23417757.000000,-12218709.000000,-12218709.000000,,,-12218709.000000,11199048.000000,-4116427.000000,-556843.000000,112415.000000,,34519.000000,-3649713.000000,,,-56805.000000,-4116427.000000,7082621.000000,-3426134.000000,3656487.000000,,3656487.000000,857465.000000,4513952.000000,3656487.000000,3656487.000000,,3656487.000000,4513952.000000,4513952.000000,,4513952.000000
12M 2022,80976771.000000,-60844071.000000,20132700.000000,-12957808.000000,-12957808.000000,,,-12957808.000000,7174892.000000,-89160810.000000,-1085212.000000,152286.000000,,-84335635.000000,-4128600.000000,,,236351.000000,-89160810.000000,-81985918.000000,17245604.000000,-64740314.000000,,-64740314.000000,-81702.000000,-64822016.000000,-64740314.000000,-64740314.000000,,-64740314.000000,-64822016.000000,-64822016.000000,,-64822016.000000
