Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2012,2.13,0.84,1.13,2.61,0.0,0.0,1.05,0.43,1.61
12M 2013,2.81,1.19,0.47,1.63,0.0,0.0,0.37,0.29,0.63
12M 2014,1.38,0.75,0.91,2.07,0.0,0.0,0.64,0.44,1.07
12M 2015,1.45,0.55,0.73,1.91,0.0,0.0,0.68,0.38,0.91
12M 2016,1.51,0.53,0.58,1.71,0.0,0.0,0.5,0.34,0.71
12M 2017,1.5,0.52,0.55,1.71,0.0,0.0,0.49,0.32,0.71
12M 2018,1.65,0.64,0.45,1.63,0.0,0.0,0.42,0.28,0.63
12M 2019,1.61,0.56,0.41,1.63,0.0,0.0,0.38,0.25,0.63
12M 2020,1.79,0.64,0.37,1.55,0.0,0.0,0.33,0.24,0.54
12M 2021,1.85,0.71,0.35,1.54,0.0,0.0,0.29,0.23,0.51
12M 2022,1.79,0.6,0.34,1.55,0.0,0.0,0.29,0.22,0.51
12M 2023,1.75,0.62,0.32,1.53,0.0,0.0,0.27,0.21,0.48
12M 2024,1.6,0.49,0.37,1.58,0.0,0.0,0.35,0.23,0.53
