Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Aset Real Estat,Others,Total Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Persediaan,Aset Real Estat,Others,Total Persediaan,Properti Investasi,Aset Tetap,Aset Pajak Tangguhan,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Surat Berharga Jangka Menengah,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Bank Jangka Panjang,Utang Obligasi,Utang Lembaga Keuangan Lain,Utang Pembelian Aset Tetap,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Surat Berharga Jangka Menengah,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Bank Jangka Panjang,Utang Lembaga Keuangan Lain,Beban Akrual,Utang Pembelian Aset Tetap,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Obligasi,Liabilitas Derivatif,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,341056118000.000000,154126282000.000000,154126282000.000000,154126282000.000000,24534529000.000000,22471226000.000000,2063303000.000000,24534529000.000000,672582420000.000000,672582420000.000000,,672582420000.000000,130450608000.000000,1322749957000.000000,,156690685000.000000,156690685000.000000,,156690685000.000000,,1229374683000.000000,2313834000.000000,,49980851000.000000,1438360053000.000000,2761110010000.000000,,,1060858539000.000000,,,154180591000.000000,154180591000.000000,,28963666000.000000,8616918000.000000,37580584000.000000,5471153000.000000,,27902305000.000000,,,,,75000000000.000000,,,23055000.000000,,75023055000.000000,760700851000.000000,1060858539000.000000,971673876000.000000,,,,,,966429818000.000000,,,,966429818000.000000,,,,,,,,5244058000.000000,971673876000.000000,2032532415000.000000,,150000000000.000000,,1020410000.000000,,1020410000.000000,1020410000.000000,110338859000.000000,467218326000.000000,728577595000.000000,2761110010000.000000,150000000.000000
12M 2009,,,388519496182.000000,157569014275.000000,157569014275.000000,157569014275.000000,65106626142.000000,29689693778.000000,35416932364.000000,65106626142.000000,1865448395886.000000,1865448395886.000000,,1865448395886.000000,140716359843.000000,2617359892328.000000,,,,,,,1752056811382.000000,,,31481824119.000000,1783538635501.000000,4400898527829.000000,,,2991614014337.000000,1674191117221.000000,,162935600013.000000,162935600013.000000,,5813470022.000000,6715254658.000000,12528724680.000000,67617129164.000000,,24345481697.000000,,,,,,,,,,,1049995961562.000000,2991614014337.000000,15725971772.000000,,,,,,,,,463389600.000000,463389600.000000,,,,,,,,15262582172.000000,15725971772.000000,3007339986109.000000,,150000000000.000000,,34659245582.000000,,34659245582.000000,34659245582.000000,108987043870.000000,1099912252268.000000,1393558541720.000000,4400898527829.000000,150000000.000000
12M 2010,,,1869837911826.000000,416239349169.000000,416239349169.000000,416239349169.000000,17685391181.000000,1108757681.000000,16576633500.000000,17685391181.000000,2239695832246.000000,2239695832246.000000,,2239695832246.000000,222675320345.000000,4766133804767.000000,,,,,,1917739133901.000000,681208501647.000000,,,199538227742.000000,2798485863290.000000,7564619668057.000000,,,3402024761642.000000,1944336108792.000000,,219229577078.000000,219229577078.000000,,21208708840.000000,4566213558.000000,25774922398.000000,79147444475.000000,,29086725043.000000,,,,,,,,,,,1104449983856.000000,3402024761642.000000,27691408602.000000,,,,,,,,,1340566350.000000,1340566350.000000,,,,,,,,26350842252.000000,27691408602.000000,3429716170244.000000,,2050000000000.000000,1572526043451.000000,280442403346.000000,,280442403346.000000,280442403346.000000,283759157470.000000,-51824106454.000000,4134903497813.000000,7564619668057.000000,20500000000.000000
12M 2011,,,1834227199000.000000,1112689593000.000000,1112689593000.000000,1112689593000.000000,36921975000.000000,2099435000.000000,34822540000.000000,36921975000.000000,2061065488000.000000,2054727049000.000000,6338439000.000000,2061065488000.000000,387266954000.000000,5432171209000.000000,,,,,,2900048945000.000000,2169127979000.000000,2019389000.000000,,283898020000.000000,5355094333000.000000,10787265542000.000000,,,4500259628000.000000,2237695734000.000000,,479553595000.000000,479553595000.000000,,3740625000.000000,175462862000.000000,179203487000.000000,122644313000.000000,,61397895000.000000,,,,,,,,2012053000.000000,,2012053000.000000,1417752551000.000000,4500259628000.000000,1258275047000.000000,,,,,,,,,,,,,,,1189229180000.000000,,,69045867000.000000,1258275047000.000000,5758534675000.000000,,2050000000000.000000,1572526043000.000000,863001038000.000000,10000000000.000000,853001038000.000000,863001038000.000000,713180474000.000000,-169976688000.000000,5028730867000.000000,10787265542000.000000,20500000000.000000
12M 2012,,,2225099936000.000000,1660329310000.000000,1660329310000.000000,1660329310000.000000,102667335000.000000,23951545000.000000,78715790000.000000,102667335000.000000,1738403612000.000000,1735774759000.000000,2628853000.000000,1738403612000.000000,1000559085000.000000,6727059278000.000000,,1008666808000.000000,985398587000.000000,23268221000.000000,1008666808000.000000,4982292298000.000000,1853091719000.000000,5873750000.000000,,618658499000.000000,8468583074000.000000,15195642352000.000000,,,4298842662000.000000,11487057000.000000,,761161682000.000000,761161682000.000000,,4065625000.000000,277149508000.000000,281215133000.000000,264438272000.000000,,115816524000.000000,,,9518297000.000000,9518297000.000000,843442928000.000000,,7941180000.000000,1397343000.000000,,862299748000.000000,2002424246000.000000,4298842662000.000000,4547895920000.000000,,,,824391000.000000,824391000.000000,1222945234000.000000,17091789000.000000,,616994000.000000,1241478408000.000000,,,,,2380394227000.000000,,83071000.000000,925940214000.000000,4547895920000.000000,8846738582000.000000,,2050090000000.000000,1572819779000.000000,1552096888000.000000,25000000000.000000,1527096888000.000000,1552096888000.000000,1323326557000.000000,-149429454000.000000,6348903770000.000000,15195642352000.000000,20500900000.000000
12M 2013,,,3177138834000.000000,1406226765000.000000,1406226765000.000000,1406226765000.000000,216704265000.000000,31730984000.000000,184973281000.000000,216704265000.000000,2978498405000.000000,2967297090000.000000,11201315000.000000,2978498405000.000000,968478537000.000000,8747046806000.000000,,2066007750000.000000,2009889095000.000000,56118655000.000000,2066007750000.000000,5533185618000.000000,2756004948000.000000,29277608000.000000,30334910000.000000,518051350000.000000,10932862184000.000000,19679908990000.000000,,,5208638817000.000000,9747552000.000000,,1141400648000.000000,1141400648000.000000,,15279870000.000000,910322169000.000000,925602039000.000000,238393956000.000000,,115546431000.000000,,,824391000.000000,824391000.000000,477928494000.000000,325000000000.000000,9309213000.000000,1301678000.000000,,814363776000.000000,1963584415000.000000,5208638817000.000000,7258586782000.000000,,,,,,1377501702000.000000,7782852000.000000,,351281000.000000,1385635835000.000000,,,11803327000.000000,11803327000.000000,3249505065000.000000,,170219000.000000,2611472336000.000000,7258586782000.000000,12467225599000.000000,,2050090000000.000000,1389679134000.000000,2280526025000.000000,40000000000.000000,2240526025000.000000,2280526025000.000000,1456972965000.000000,35415267000.000000,7212683391000.000000,19679908990000.000000,20500900000.000000
12M 2014,,,4336362908000.000000,1239584470000.000000,1239584470000.000000,1239584470000.000000,284296707000.000000,27695038000.000000,256601669000.000000,284296707000.000000,4105172116000.000000,4095255157000.000000,9916959000.000000,4105172116000.000000,953135065000.000000,10918551266000.000000,,3375201137000.000000,3313262987000.000000,61938150000.000000,3375201137000.000000,5660662996000.000000,3169106064000.000000,76882488000.000000,30334910000.000000,455419350000.000000,12767606945000.000000,23686158211000.000000,,,5958969206000.000000,12788352000.000000,,1241790549000.000000,1241790549000.000000,,11850342000.000000,648092172000.000000,659942514000.000000,190246609000.000000,,176664901000.000000,,,,,420875094000.000000,,7782852000.000000,663333000.000000,,429321279000.000000,3248215002000.000000,5958969206000.000000,9264304640000.000000,,,,,,1595713130000.000000,,,952380000.000000,1596665510000.000000,,,,,4447566418000.000000,,264846000.000000,3219807866000.000000,9264304640000.000000,15223273846000.000000,,2050090000000.000000,1389679134000.000000,3012456235000.000000,55000000000.000000,2957456235000.000000,3012456235000.000000,2019955179000.000000,-9296183000.000000,8462884365000.000000,23686158211000.000000,20500900000.000000
12M 2015,,,2894283235000.000000,940878189000.000000,940878189000.000000,940878189000.000000,182079261000.000000,18773279000.000000,163305982000.000000,182079261000.000000,4449538657000.000000,4437290957000.000000,12247700000.000000,4449538657000.000000,1314937058000.000000,9781716400000.000000,,3883232586000.000000,3821417447000.000000,61815139000.000000,3883232586000.000000,6706537828000.000000,3616464103000.000000,82725896000.000000,30334910000.000000,458163265000.000000,14777458588000.000000,24559174988000.000000,,,7041359652000.000000,8058139000.000000,,909343705000.000000,909343705000.000000,,19613799000.000000,573736360000.000000,593350159000.000000,147362925000.000000,,229756445000.000000,,,,,357319287000.000000,875000000000.000000,,711030000.000000,,1233030317000.000000,3920457962000.000000,7041359652000.000000,8445146408000.000000,,,,,,1395563255000.000000,,,184795000.000000,1395748050000.000000,,,,,3679020470000.000000,,359472000.000000,3370018416000.000000,8445146408000.000000,15486506060000.000000,,2050090000000.000000,1389679134000.000000,3819691468000.000000,70000000000.000000,3749691468000.000000,3819691468000.000000,2263009303000.000000,-449800977000.000000,9072668928000.000000,24559174988000.000000,20500900000.000000
12M 2016,,,1172966926000.000000,988678996000.000000,988678996000.000000,988678996000.000000,222082699000.000000,17659062000.000000,204423637000.000000,222082699000.000000,4621904548000.000000,4610405233000.000000,11499315000.000000,4621904548000.000000,1168325701000.000000,8173958870000.000000,,5321402224000.000000,5259089687000.000000,62312537000.000000,5321402224000.000000,7520413571000.000000,4048794446000.000000,67279782000.000000,30334910000.000000,549769579000.000000,17537994512000.000000,25711953382000.000000,,,7654752699000.000000,44420294000.000000,,1174672223000.000000,1174672223000.000000,,166202979000.000000,714000284000.000000,880203263000.000000,81012267000.000000,,233980781000.000000,,,,,463016539000.000000,1200000000000.000000,,217668000.000000,,1663234207000.000000,3577229664000.000000,7654752699000.000000,8086437974000.000000,,,,,,2318292513000.000000,,,,2318292513000.000000,,,,,2487505641000.000000,,454098000.000000,3280185722000.000000,8086437974000.000000,15741190673000.000000,,2050090000000.000000,1389679134000.000000,4451549106000.000000,85000000000.000000,4366549106000.000000,4451549106000.000000,2462156788000.000000,-382712319000.000000,9970762709000.000000,25711953382000.000000,20500900000.000000
12M 2017,,,2297047219000.000000,1315395092000.000000,1315395092000.000000,1315395092000.000000,234448038000.000000,16152698000.000000,218295340000.000000,234448038000.000000,3717002861000.000000,3709353855000.000000,7649006000.000000,3717002861000.000000,1869080491000.000000,9432973701000.000000,,5963559355000.000000,5810746465000.000000,152812890000.000000,5963559355000.000000,7725980758000.000000,4019617009000.000000,74654125000.000000,30334910000.000000,1542996156000.000000,19357142313000.000000,28790116014000.000000,,,7220222779000.000000,383000000000.000000,,710852975000.000000,710852975000.000000,,313925319000.000000,870886212000.000000,1184811531000.000000,148914761000.000000,,182763473000.000000,,,,,453538726000.000000,1200000000000.000000,,890653000.000000,,1654429379000.000000,2955450660000.000000,7220222779000.000000,10072915686000.000000,,,,,,1912277772000.000000,,,,1912277772000.000000,763048000.000000,,,763048000.000000,5283775869000.000000,,548724000.000000,2875550273000.000000,10072915686000.000000,17293138465000.000000,,1936456170000.000000,1030476588000.000000,5784458536000.000000,95000000000.000000,5689458536000.000000,5784458536000.000000,2713735138000.000000,31851117000.000000,11496977549000.000000,28790116014000.000000,19364561700.000000
