Period,Total Pendapatan,Komisi Dari Transaksi Perantara Pedagang Efek,Pendapatan Bunga,Adjustment,Others,Total Pendapatan,Total Beban Pokok Penjualan,Beban Karyawan,Others,Total
12M 2008,18870348361.000000,12171832139.000000,6707397880.000000,,-8881658.000000,18870348361.000000,-11233864241.000000,-11233864241.000000,,
12M 2009,20660857212.000000,17631340379.000000,2748463627.000000,,281053206.000000,20660857212.000000,-12913730982.000000,-12913730982.000000,,
12M 2010,15892423953.000000,13485370957.000000,2414511027.000000,,-7458031.000000,15892423953.000000,-12890114211.000000,-12890114211.000000,,
12M 2011,36119507617.000000,,,,36119507617.000000,36119507617.000000,-10280214165.000000,-3938698354.000000,-6341515811.000000,
12M 2012,93302364048.000000,,,,93302364048.000000,93302364048.000000,-26538690088.000000,-9248897047.000000,-17289793041.000000,
12M 2013,101268533266.000000,,,,101268533266.000000,101268533266.000000,-30799858873.000000,-10840466727.000000,-19959392146.000000,
12M 2014,92352590367.000000,,,,92352590367.000000,92352590367.000000,-30181301673.000000,-12698055709.000000,-17483245964.000000,
12M 2015,79788570190.000000,,,,79788570190.000000,79788570190.000000,-30227265744.000000,-13310473040.000000,-16916792704.000000,
12M 2016,82683432717.000000,,,,82683432717.000000,82683432717.000000,-30478080322.000000,-13565996408.000000,-16912083914.000000,
12M 2017,88286723081.000000,,,,88286723081.000000,88286723081.000000,-27609993504.000000,-13461423544.000000,-14148569960.000000,
12M 2018,87440977373.000000,,,,87440977373.000000,87440977373.000000,-27307815715.000000,-13119038961.000000,-14188776754.000000,
12M 2019,85726802073.000000,,,,85726802073.000000,85726802073.000000,-26800834114.000000,-12769148840.000000,-14031685274.000000,
12M 2020,32934176030.000000,,,,32934176030.000000,32934176030.000000,-12471168816.000000,-7838962756.000000,-4632206060.000000,
12M 2021,40480469347.000000,,,,,40480469347.000000,-7582111066.000000,-2311465856.000000,-5270645210.000000,
12M 2022,57846064984.000000,,,,,57846064984.000000,-13273373183.000000,-61297895.000000,-13212075288.000000,
12M 2023,77749462830.000000,,,,,77749462830.000000,-26001555785.000000,-353106542.000000,-25648449243.000000,
12M 2024,105155474541.000000,,,,,105155474541.000000,-39825261716.000000,-503477600.000000,-39321784116.000000,
