Period,Total Pendapatan,Pendapatan Bunga,Pendapatan Syariah,Total Pendapatan,Total Beban Pokok Penjualan,Beban Bunga,Beban Syariah,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Pendapatan Operasional Lainnya,Provisi Dan Komisi Lainnya,Pendapatan Operasional Lainnya,Others,Total Pendapatan Operasional Lainnya,Beban Operasional Lainnya,Provisi Dan Komisi Lainnya,Beban Kerugian Atas Aset Produktif,Beban Umum Dan Administrasi,Beban Tenaga Kerja,Pembentukan Cadangan Kerugian Penurunan Nilai,Others,Total Beban Operasional Lainnya,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Non-Operasional,Beban Non-Operasional,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2014,85993092490.000000,85993092490.000000,,85993092490.000000,-56717580029.000000,-56717580029.000000,,-56717580029.000000,29275512461.000000,-27761343062.000000,,101633049.000000,5104594305.000000,,5206227354.000000,,-51674750.000000,,-11026510889.000000,-21811081282.000000,,-78303495.000000,-32967570416.000000,-27761343062.000000,1514169399.000000,562481967.000000,673249865.000000,-110767898.000000,562481967.000000,2076651366.000000,-945061668.000000,-877896000.000000,-67165668.000000,-945061668.000000,1131589698.000000,,-163222767.000000,1131589698.000000,1131589698.000000,,1131589698.000000,-163222767.000000,-163222767.000000,,-163222767.000000
12M 2015,94668951803.000000,94668951803.000000,,94668951803.000000,-60284750873.000000,-60284750873.000000,,-60284750873.000000,34384200930.000000,-34833354699.000000,,123306898.000000,3731449720.000000,,3854756618.000000,,-3037336698.000000,,-13195316879.000000,-22358572520.000000,,-96885220.000000,-38688111317.000000,-34833354699.000000,-449153769.000000,527099439.000000,615086039.000000,-87986600.000000,527099439.000000,77945670.000000,-387642605.000000,-373375250.000000,-14267355.000000,-387642605.000000,-309696935.000000,,2383690317.000000,-309696935.000000,-309696935.000000,,-309696935.000000,2383690317.000000,2383690317.000000,,2383690317.000000
12M 2016,77160007562.000000,77160007562.000000,,77160007562.000000,-43897793206.000000,-43897793206.000000,,-43897793206.000000,33262214356.000000,-69769038900.000000,,170804482.000000,7301895333.000000,,7472699815.000000,,-224252475.000000,,-50429415952.000000,-26403289312.000000,,-184780976.000000,-77241738715.000000,-69769038900.000000,-36506824544.000000,-1372938942.000000,151847054.000000,-1524785996.000000,-1372938942.000000,-37879763486.000000,4549198329.000000,,4549198329.000000,4549198329.000000,-33330565157.000000,,-34714750684.000000,-33330565157.000000,-33330565157.000000,,-33330565157.000000,-34714750684.000000,-34714750684.000000,,-34714750684.000000
12M 2017,77455394931.000000,77455394931.000000,,77455394931.000000,-47837784279.000000,-47837784279.000000,,-47837784279.000000,29617610652.000000,-41923031594.000000,,136734428.000000,12226230134.000000,,12362964562.000000,,-53712945.000000,,-27074726521.000000,-26873319995.000000,,-284236695.000000,-54285996156.000000,-41923031594.000000,-12305420942.000000,-126682384.000000,238298348.000000,-364980732.000000,-126682384.000000,-12432103326.000000,3694743344.000000,,3694743344.000000,3694743344.000000,-8737359982.000000,,-8218216830.000000,-8737359982.000000,-8737359982.000000,,-8737359982.000000,-8218216830.000000,-8218216830.000000,,-8218216830.000000
12M 2018,67456229050.000000,67456229050.000000,,67456229050.000000,-39954509397.000000,-39954509397.000000,,-39954509397.000000,27501719653.000000,-45842880682.000000,,230338588.000000,3738170415.000000,,3968509003.000000,,-46532500.000000,,-17181622212.000000,-26662003379.000000,-5635560532.000000,-285671062.000000,-49811389685.000000,-45842880682.000000,-18341161029.000000,-10951501.000000,110499999.000000,-121451500.000000,-10951501.000000,-18352112530.000000,-4936316261.000000,,-4936316261.000000,-4936316261.000000,-23288428791.000000,,-23491080397.000000,-23288428791.000000,-23288428791.000000,,-23288428791.000000,-23491080397.000000,-23491080397.000000,,-23491080397.000000
12M 2019,52608987407.000000,52608987407.000000,,52608987407.000000,-41108531472.000000,-41108531472.000000,,-41108531472.000000,11500455935.000000,-103223214121.000000,,1120752198.000000,4289068254.000000,,5409820452.000000,,-54606300.000000,,-15137570861.000000,-26869691119.000000,-66092728704.000000,-478437589.000000,-108633034573.000000,-103223214121.000000,-91722758186.000000,-27072098925.000000,745031848.000000,-27817130773.000000,-27072098925.000000,-118794857111.000000,-3170958688.000000,,-3170958688.000000,-3170958688.000000,-121965815799.000000,,-117238357001.000000,-121965815799.000000,-121965815799.000000,,-121965815799.000000,-117238357001.000000,-117238357001.000000,,-117238357001.000000
12M 2020,90071000000.000000,90071000000.000000,,90071000000.000000,-25427000000.000000,-25427000000.000000,,-25427000000.000000,64644000000.000000,-250375000000.000000,,,25126000000.000000,,25126000000.000000,,,,-74932000000.000000,-157791000000.000000,-38132000000.000000,-4646000000.000000,-275501000000.000000,-250375000000.000000,-185731000000.000000,-3836000000.000000,,-3836000000.000000,-3836000000.000000,-189567000000.000000,,,,,-189567000000.000000,,-189671000000.000000,-189567000000.000000,-189567000000.000000,,-189567000000.000000,-189671000000.000000,-189671000000.000000,,-189671000000.000000
12M 2021,652419000000.000000,525540000000.000000,126879000000.000000,652419000000.000000,-62681000000.000000,-62476000000.000000,-205000000.000000,-62681000000.000000,589738000000.000000,-579235000000.000000,,,44129000000.000000,,44129000000.000000,,,,-342336000000.000000,-181651000000.000000,-92346000000.000000,-7031000000.000000,-623364000000.000000,-579235000000.000000,10503000000.000000,-1369000000.000000,,-1369000000.000000,-1369000000.000000,9134000000.000000,76890000000.000000,,76890000000.000000,76890000000.000000,86024000000.000000,,83761000000.000000,86024000000.000000,86024000000.000000,,86024000000.000000,83761000000.000000,83761000000.000000,,83761000000.000000
12M 2022,1500465000000.000000,962668000000.000000,537797000000.000000,1500465000000.000000,-147469000000.000000,-138844000000.000000,-8625000000.000000,-147469000000.000000,1352996000000.000000,-1340277000000.000000,,,78023000000.000000,,78023000000.000000,,,,-693375000000.000000,-322909000000.000000,-392669000000.000000,-9347000000.000000,-1418300000000.000000,-1340277000000.000000,12719000000.000000,7709000000.000000,7709000000.000000,,7709000000.000000,20428000000.000000,-4515000000.000000,,-4515000000.000000,-4515000000.000000,15913000000.000000,,14302000000.000000,15913000000.000000,15913000000.000000,,15913000000.000000,14302000000.000000,14302000000.000000,,14302000000.000000
12M 2023,1874936000000.000000,1618811000000.000000,256125000000.000000,1874936000000.000000,-309493000000.000000,-289923000000.000000,-19570000000.000000,-309493000000.000000,1565443000000.000000,-1478649000000.000000,,,197021000000.000000,,197021000000.000000,,,,-824803000000.000000,-439268000000.000000,-401309000000.000000,-10290000000.000000,-1675670000000.000000,-1478649000000.000000,86794000000.000000,6769000000.000000,6769000000.000000,,6769000000.000000,93563000000.000000,-21201000000.000000,-558000000.000000,-20643000000.000000,-21201000000.000000,72362000000.000000,,71042000000.000000,72362000000.000000,72362000000.000000,,72362000000.000000,71042000000.000000,71042000000.000000,,71042000000.000000
12M 2024,2052751000000.000000,1944067000000.000000,108684000000.000000,2052751000000.000000,-499326000000.000000,-490246000000.000000,-9080000000.000000,-499326000000.000000,1553425000000.000000,-1372815000000.000000,,,290951000000.000000,,290951000000.000000,,,,-838443000000.000000,-506047000000.000000,-304032000000.000000,-15244000000.000000,-1663766000000.000000,-1372815000000.000000,180610000000.000000,-1251000000.000000,-1251000000.000000,,-1251000000.000000,179359000000.000000,-50841000000.000000,,-50841000000.000000,-50841000000.000000,128518000000.000000,,126853000000.000000,128518000000.000000,128518000000.000000,,128518000000.000000,126853000000.000000,126853000000.000000,,126853000000.000000
