Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Premi,Penerimaan Klaim Reasuransi,Pembayaran Premi Reasuransi,Pembayaran Klaim,Pembayaran Beban Umum Dan Administrasi,Pembayaran Komisi Dan Potongan Premi,Penerimaan Bunga Rekening Giro,Pembayaran Pajak,"Pembayaran Lain-Lain, Neto",Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pencairan Deposito Berjangka Jatuh Tempo,Penerimaan Bunga Deposito,Penerimaan Hasil Penjualan Efek,Penerimaan Bunga Obligasi,Penerimaan Hasil Penjualan Aktiva Tetap,Penerimaan Bunga Rekening Giro,Penerimaan Dividen,Penempatan Deposito Berjangka,Penempatan Investasi Dalam Obligasi,Penempatan Investasi Dalam Efek,Penempatan Investasi Dalam Penyertaan Saham,Perolehan Aset Tetap,Penambahan Properti Investasi,Lain-Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Dividen Kas,Pembayaran Liabilitas Sewa,Penerimaan Hasil Penjualan Saham Yang Diperoleh Kembali,Total Arus Kas Dari Aktivitas Pendanaan,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2011,22743149000.000000,432426971000.000000,4339788000.000000,-279475797000.000000,-50130504000.000000,-47094539000.000000,-29012459000.000000,,-1829813000.000000,-6480498000.000000,22743149000.000000,-27118510000.000000,132485524000.000000,,132495467000.000000,735743000.000000,2215932000.000000,171007000.000000,1274472000.000000,-172557957000.000000,,-118003196000.000000,,-5843855000.000000,,-91647000.000000,-27118510000.000000,-6689900000.000000,-6689900000.000000,,,-6689900000.000000,2849847000.000000,-8215414000.000000,21088049000.000000,12872635000.000000
12M 2012,67776647000.000000,484165073000.000000,7129256000.000000,-269492125000.000000,-64311217000.000000,-49779691000.000000,-31618304000.000000,,-4499798000.000000,-3816547000.000000,67776647000.000000,-4240414000.000000,286948168000.000000,,177015101000.000000,390150000.000000,1181770000.000000,394636000.000000,2337640000.000000,-280800040000.000000,,-186000000000.000000,,-4359135000.000000,,-1348704000.000000,-4240414000.000000,-10034850000.000000,-10034850000.000000,,,-10034850000.000000,538851000.000000,54040234000.000000,12872635000.000000,66912869000.000000
12M 2013,-19356903000.000000,564427079000.000000,47605011000.000000,-431673551000.000000,-92512923000.000000,-65630632000.000000,-35463885000.000000,,-5962076000.000000,-145926000.000000,-19356903000.000000,-25218870000.000000,241108319000.000000,,29732046000.000000,1365979000.000000,1596840000.000000,223009000.000000,2317884000.000000,-276440337000.000000,,-15500000000.000000,-1879000000.000000,-8394310000.000000,,650700000.000000,-25218870000.000000,-9661522000.000000,-10368000000.000000,,706478000.000000,-9661522000.000000,655405000.000000,-53581890000.000000,66912869000.000000,13330979000.000000
12M 2014,46597304000.000000,711454410000.000000,82681839000.000000,-487301609000.000000,-134626035000.000000,-72098500000.000000,-47826706000.000000,,-6938321000.000000,1252226000.000000,46597304000.000000,-24981111000.000000,253169993000.000000,7688250000.000000,7622483000.000000,2834528000.000000,888330000.000000,241882000.000000,1997212000.000000,-290156073000.000000,,-4000000000.000000,-900000000.000000,-4477716000.000000,,110000000.000000,-24981111000.000000,-10944000000.000000,-10944000000.000000,,,-10944000000.000000,37792000.000000,10709985000.000000,13330979000.000000,24040964000.000000
12M 2015,-29680118000.000000,703948439000.000000,259360856000.000000,-518286657000.000000,-328432210000.000000,-85206934000.000000,-50774158000.000000,,-10790322000.000000,500868000.000000,-29680118000.000000,29829577000.000000,495790556000.000000,8125771000.000000,14583177000.000000,2924035000.000000,669195000.000000,290394000.000000,4705131000.000000,-471913137000.000000,,-16000000000.000000,-2585000000.000000,-8197039000.000000,,1436494000.000000,29829577000.000000,-12480000000.000000,-12480000000.000000,,,-12480000000.000000,751333000.000000,-11579208000.000000,24040964000.000000,12461756000.000000
12M 2016,55815637000.000000,801221269000.000000,235962787000.000000,-580385325000.000000,-264538743000.000000,-94895206000.000000,-33875111000.000000,,-7011472000.000000,-662562000.000000,55815637000.000000,-27010478000.000000,334636198000.000000,7832952000.000000,7635834000.000000,3171352000.000000,1236250000.000000,233686000.000000,1162316000.000000,-336382436000.000000,,-35321153000.000000,-4250000000.000000,-7466968000.000000,,501491000.000000,-27010478000.000000,-13056000000.000000,-13056000000.000000,,,-13056000000.000000,-32741000.000000,15716418000.000000,12461756000.000000,28178174000.000000
12M 2017,-30992186000.000000,862015015000.000000,74751218000.000000,-710049372000.000000,-120146837000.000000,-100878673000.000000,-30410713000.000000,,-5491754000.000000,-781070000.000000,-30992186000.000000,29094192000.000000,319864516000.000000,5899081000.000000,18535436000.000000,2873662000.000000,1540660000.000000,227228000.000000,1576284000.000000,-277719469000.000000,,-30678600000.000000,-3450000000.000000,-10219671000.000000,,645065000.000000,29094192000.000000,-13248000000.000000,-13248000000.000000,,,-13248000000.000000,769546000.000000,-14376448000.000000,28178174000.000000,13801726000.000000
12M 2018,24483546000.000000,903580667000.000000,90382769000.000000,-688614973000.000000,-123574541000.000000,-116445327000.000000,-34224228000.000000,,-8683225000.000000,2062404000.000000,24483546000.000000,-11399011000.000000,134475440000.000000,5426447000.000000,13898489000.000000,3859661000.000000,958450000.000000,444469000.000000,1334514000.000000,-144480850000.000000,,-22000000000.000000,-2800000000.000000,-2990302000.000000,,474671000.000000,-11399011000.000000,-13248000000.000000,-13248000000.000000,,,-13248000000.000000,2109107000.000000,1945642000.000000,13801726000.000000,15747368000.000000
12M 2019,63855184000.000000,962395632000.000000,158558015000.000000,-704300614000.000000,-194872111000.000000,-125061985000.000000,-30057027000.000000,,-4449315000.000000,1642589000.000000,63855184000.000000,-23147735000.000000,354505879000.000000,5804621000.000000,12973889000.000000,4454840000.000000,661750000.000000,499578000.000000,2115657000.000000,-369009020000.000000,,-27202400000.000000,,-8536740000.000000,,584211000.000000,-23147735000.000000,-14016000000.000000,-14016000000.000000,,,-14016000000.000000,-258666000.000000,26432783000.000000,15747368000.000000,42180151000.000000
12M 2020,-58712953000.000000,1043966701000.000000,117083266000.000000,-909418590000.000000,-158305527000.000000,-122174100000.000000,-26302517000.000000,,-2464317000.000000,-1097869000.000000,-58712953000.000000,50937250000.000000,482301373000.000000,3895784000.000000,104270678000.000000,5311874000.000000,460750000.000000,287077000.000000,9740885000.000000,-457100862000.000000,,-93585706000.000000,,-1592586000.000000,-3620000000.000000,567983000.000000,50937250000.000000,-18523705000.000000,-14976000000.000000,-3547705000.000000,,-18523705000.000000,-1611166000.000000,-27910574000.000000,42180151000.000000,14269577000.000000
