Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,1.25,0.77,0.59,2.53,0.0,0.0,0.2,0.24,1.53
12M 2009,1.45,1.04,0.25,2.03,0.0,0.0,-0.21,0.12,1.03
12M 2010,1.51,1.2,0.0,2.1,0.0,0.0,-0.45,0.0,1.1
12M 2011,1.59,1.18,0.0,2.02,0.0,0.0,-0.35,0.0,1.02
12M 2012,1.59,1.11,0.11,1.96,0.0,0.0,-0.13,0.06,0.96
12M 2013,1.58,1.16,0.05,1.97,0.0,0.0,-0.35,0.02,0.97
12M 2014,1.87,1.43,0.04,1.81,0.0,0.0,-0.36,0.02,0.81
12M 2015,2.09,1.4,0.01,1.71,0.0,0.0,-0.43,0.01,0.71
12M 2016,2.45,1.69,0.01,1.48,0.0,0.0,-0.23,0.01,0.48
12M 2017,1.85,1.43,0.0,1.83,0.0,0.0,-0.51,0.0,0.83
12M 2018,2.43,1.91,0.0,1.53,0.0,0.0,-0.18,0.0,0.53
12M 2019,1.96,1.58,0.0,1.78,0.0,0.0,-0.3,0.0,0.78
12M 2020,2.84,2.16,0.0,1.46,0.0,0.0,-0.31,0.0,0.46
12M 2021,2.36,2.1,0.0,1.63,0.0,0.0,-0.65,0.0,0.63
12M 2022,2.43,2.17,0.0,1.58,0.0,0.0,-0.74,0.0,0.58
12M 2023,2.64,2.37,0.0,1.5,0.0,0.0,-0.71,0.0,0.5
12M 2024,2.57,2.32,0.0,1.53,0.0,0.0,-0.84,0.0,0.53
