Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,1.35 B,46.33,4.32,0.26,,7.43%,18.77%,57.30%,5.88
12M 2009,1.35 B,49.64,6.35,0.32,,8.64%,17.57%,28.86%,6.69
12M 2010,1.35 B,87.79,7.86,0.59,,12.05%,25.36%,35.19%,46.85
12M 2011,1.35 B,103.41,11.02,0.89,,12.39%,25.06%,31.57%,311.63
12M 2012,1.35 B,126.92,10.64,0.88,,13.81%,27.04%,35.47%,68.33
12M 2013,1.35 B,154.96,10.78,1.00,,14.40%,28.38%,38.49%,204.35
12M 2014,1.35 B,192.93,9.82,1.12,,15.93%,28.84%,32.81%,51.76
12M 2015,1.35 B,196.56,9.16,0.91,,14.65%,25.01%,33.47%,34.78
12M 2016,1.35 B,189.14,10.05,0.94,,14.80%,21.87%,28.52%,39.62
12M 2017,1.35 B,190.71,6.87,0.45,,10.66%,19.47%,26.48%,38.74
12M 2018,1.35 B,200.48,6.63,0.44,557.06 B,11.91%,18.22%,25.02%,41.30
12M 2019,1.35 B,186.09,5.11,0.27,546.52 B,8.66%,15.44%,21.39%,22.00
12M 2020,1.35 B,35.43,22.58,0.32,312.88 B,0.00%,3.06%,4.55%,4.72
12M 2021,1.35 B,64.73,12.75,0.34,328.98 B,3.29%,5.36%,6.41%,17.18
12M 2022,1.35 B,71.97,13.20,0.44,300.88 B,3.63%,5.73%,6.93%,19.23
12M 2023,1.35 B,104.59,8.56,0.41,375.85 B,5.26%,7.87%,9.98%,23.00
12M 2024,1.35 B,151.73,5.70,0.41,402.14 B,6.94%,10.63%,10.64%,39.20
