Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2011,93 B,(12 B),81 B,483.00
12M 2012,25 B,(15 B),10 B,46.58
12M 2013,32 B,(17 B),14 B,67.47
12M 2014,(3 B),(51 B),(54 B),-253.23
12M 2015,37 B,(50 B),(13 B),-61.09
12M 2016,35 B,(4 B),30 B,141.56
12M 2017,18 B,(3 B),14 B,66.01
12M 2018,3 B,(6 B),(3 B),-13.04
12M 2019,(16 B),(13 B),(29 B),-122.86
12M 2020,15 B,(4 B),11 B,35.32
12M 2021,(68 B),(32 B),(100 B),-328.23
12M 2022,99 B,(7 B),92 B,300.80
12M 2023,(50 B),(5 B),(55 B),-180.06
12M 2024,(218 B),(8 B),(227 B),-186.10
