Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2011,0.00,859594.54,0.00,859594.54,219 B,609 B,828 B,820 B,(215 B)
12M 2012,1.97,215.74,1.97,215.74,282 B,927 B,"1,209 B",893 B,39 B
12M 2013,1.15,242.83,1.16,240.75,294 B,867 B,"1,161 B","1,135 B",(209 B)
12M 2014,0.63,246.47,0.63,244.24,410 B,"1,046 B","1,456 B","1,434 B",(322 B)
12M 2015,0.40,251.50,0.40,249.82,485 B,"1,300 B","1,784 B","1,757 B",(359 B)
12M 2016,0.73,265.94,0.74,264.30,442 B,"1,387 B","1,828 B","1,788 B",(305 B)
12M 2017,0.70,290.09,0.70,288.43,637 B,"1,365 B","2,002 B","1,917 B",(459 B)
12M 2018,1.14,319.72,1.15,317.14,747 B,"1,604 B","2,350 B","2,123 B",(613 B)
12M 2019,2.11,350.79,2.38,311.29,847 B,"2,064 B","2,910 B","2,656 B",(588 B)
12M 2020,1.68,377.80,1.88,337.90,873 B,"2,077 B","2,950 B","2,758 B",(809 B)
12M 2021,7.42,447.45,8.22,404.03,698 B,"2,768 B","3,467 B","3,020 B",(121 B)
12M 2022,1.71,453.57,1.93,401.88,"1,259 B","2,707 B","3,966 B","3,034 B",(247 B)
12M 2023,1.57,503.31,1.74,453.60,"1,110 B","2,754 B","3,864 B","3,104 B",(197 B)
12M 2024,1.30,529.34,1.42,484.36,"1,139 B","2,881 B","4,021 B","3,427 B",(280 B)
