Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2013,0.00,138.35,0.00,119.15,767 B,36 B,803 B,533 B,78 B
12M 2014,0.00,178.71,0.00,154.00,759 B,79 B,837 B,556 B,104 B
12M 2015,469.98,365.64,499.67,343.92,783 B,99 B,882 B,651 B,192 B
12M 2016,547.11,318.49,580.65,300.09,882 B,187 B,"1,070 B",795 B,291 B
12M 2017,672.68,317.99,721.02,296.67,"1,237 B",187 B,"1,424 B","1,092 B",322 B
12M 2018,2.72,331.13,2.97,303.41,"1,257 B",815 B,"2,072 B","1,471 B",888 B
12M 2019,1.87,342.79,4.97,128.71,"1,452 B",851 B,"2,304 B","1,890 B",468 B
12M 2020,9.38,61.30,-12.63,-45.51,"1,237 B",748 B,"1,985 B","1,492 B",(195 B)
12M 2021,-12.92,-61.94,-6.82,-117.37,865 B,695 B,"1,560 B","1,067 B",(416 B)
12M 2022,-18.20,-21.54,-8.99,-43.60,705 B,638 B,"1,343 B",868 B,(352 B)
12M 2023,5.63,88.87,6.42,77.90,"1,546 B",703 B,"2,249 B","1,534 B",271 B
12M 2024,2.17,172.61,2.35,159.32,726 B,702 B,"1,429 B",711 B,484 B
