Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi Dan Entitas Pengendalian Bersama,Investasi Pada Entitas Asosiasi,Investasi Pada Entitas Pengendalian Bersama,Total Investasi Pada Entitas Asosiasi Dan Entitas Pengendalian Bersama,Aset Tetap,Properti Investasi,Goodwill,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Pinjaman Jangka Pendek,Surat Berharga Jangka Menengah,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Others,Total Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Surat Berharga Jangka Menengah,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Liabilitas Derivatif,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Utang Lain-Lain,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Derivatif,Pinjaman Jangka Panjang Lainnya,Surat Berharga Jangka Menengah,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,525658000000.000000,564838000000.000000,362669000000.000000,202169000000.000000,564838000000.000000,32221000000.000000,32221000000.000000,,32221000000.000000,670008000000.000000,70088000000.000000,1862813000000.000000,,3355000000.000000,,3355000000.000000,3355000000.000000,67354000000.000000,1181186000000.000000,,,1181186000000.000000,702097000000.000000,52167000000.000000,12146000000.000000,,100198000000.000000,2118503000000.000000,3981316000000.000000,,,873185000000.000000,,53108000000.000000,,,334878000000.000000,152393000000.000000,487271000000.000000,,42021000000.000000,,42021000000.000000,103107000000.000000,,103107000000.000000,71893000000.000000,81487000000.000000,,,,81487000000.000000,,34298000000.000000,873185000000.000000,317701000000.000000,242000000.000000,,,197282000000.000000,,,197282000000.000000,,5222000000.000000,,114955000000.000000,317701000000.000000,1190886000000.000000,,385579000000.000000,55943000000.000000,2222370000000.000000,45000000000.000000,2177370000000.000000,2222370000000.000000,137461000000.000000,-10923000000.000000,2790430000000.000000,3981316000000.000000,771157280.000000
12M 2009,,,773936000000.000000,704331000000.000000,496375000000.000000,207956000000.000000,704331000000.000000,42427000000.000000,42427000000.000000,,42427000000.000000,514620000000.000000,96022000000.000000,2131336000000.000000,,1922000000.000000,,1922000000.000000,1922000000.000000,88628000000.000000,1615947000000.000000,,,1615947000000.000000,696716000000.000000,49450000000.000000,6715000000.000000,,54225000000.000000,2513603000000.000000,4644939000000.000000,,,980428000000.000000,,30000000000.000000,,,319397000000.000000,248050000000.000000,567447000000.000000,,30488000000.000000,,30488000000.000000,98276000000.000000,,98276000000.000000,152492000000.000000,60752000000.000000,,,,60752000000.000000,,40973000000.000000,980428000000.000000,281864000000.000000,222000000.000000,,,142751000000.000000,,,142751000000.000000,8107000000.000000,,,130784000000.000000,281864000000.000000,1262292000000.000000,,385579000000.000000,55943000000.000000,2760059000000.000000,52500000000.000000,2707559000000.000000,2760059000000.000000,173869000000.000000,7197000000.000000,3382647000000.000000,4644939000000.000000,771157280.000000
12M 2010,,,485564000000.000000,791967000000.000000,533066000000.000000,258901000000.000000,791967000000.000000,57120000000.000000,57120000000.000000,,57120000000.000000,708322000000.000000,156752000000.000000,2199725000000.000000,,,,,,117267000000.000000,2154640000000.000000,,,2154640000000.000000,985029000000.000000,47983000000.000000,6096000000.000000,,75112000000.000000,3386127000000.000000,5585852000000.000000,,,1251731000000.000000,,145000000000.000000,,,346878000000.000000,261216000000.000000,608094000000.000000,,74467000000.000000,,74467000000.000000,85199000000.000000,,85199000000.000000,229725000000.000000,60235000000.000000,,,,60235000000.000000,,49011000000.000000,1251731000000.000000,230974000000.000000,,,,77207000000.000000,,,77207000000.000000,11811000000.000000,,,141956000000.000000,230974000000.000000,1482705000000.000000,,385579000000.000000,55943000000.000000,3410782000000.000000,60000000000.000000,3350782000000.000000,3410782000000.000000,242320000000.000000,8523000000.000000,4103147000000.000000,5585852000000.000000,771157280.000000
12M 2011,,,365399000000.000000,921741000000.000000,627717000000.000000,294024000000.000000,921741000000.000000,95753000000.000000,95753000000.000000,,95753000000.000000,955369000000.000000,226193000000.000000,2564455000000.000000,,,,,,158880000000.000000,2475031000000.000000,,,2475031000000.000000,1547831000000.000000,55470000000.000000,6096000000.000000,,156464000000.000000,4399772000000.000000,6964227000000.000000,,,1892818000000.000000,,620215000000.000000,,,472027000000.000000,221143000000.000000,693170000000.000000,,80214000000.000000,4189000000.000000,84403000000.000000,61288000000.000000,,61288000000.000000,305750000000.000000,93033000000.000000,,,,93033000000.000000,2976000000.000000,31983000000.000000,1892818000000.000000,348515000000.000000,421000000.000000,,,179865000000.000000,,,179865000000.000000,,,,168229000000.000000,348515000000.000000,2241333000000.000000,,385579000000.000000,55943000000.000000,3969443000000.000000,67500000000.000000,3901943000000.000000,3969443000000.000000,299340000000.000000,12589000000.000000,4722894000000.000000,6964227000000.000000,3855786400.000000
12M 2012,,,651750000000.000000,1060509000000.000000,691694000000.000000,368815000000.000000,1060509000000.000000,127458000000.000000,52491000000.000000,74967000000.000000,127458000000.000000,1155235000000.000000,210679000000.000000,3205631000000.000000,,,,,,230421000000.000000,3072986000000.000000,608734000000.000000,2464252000000.000000,3072986000000.000000,2084184000000.000000,32794000000.000000,6096000000.000000,72681000000.000000,176849000000.000000,5676011000000.000000,8881642000000.000000,,,2751766000000.000000,,1094754000000.000000,,,539786000000.000000,272691000000.000000,812477000000.000000,,60561000000.000000,5851000000.000000,66412000000.000000,81827000000.000000,,81827000000.000000,459929000000.000000,150383000000.000000,,,,150383000000.000000,,85984000000.000000,2751766000000.000000,644777000000.000000,9083000000.000000,,,401507000000.000000,,,401507000000.000000,,,,234187000000.000000,644777000000.000000,3396543000000.000000,,385579000000.000000,45020000000.000000,4682768000000.000000,72500000000.000000,4610268000000.000000,4682768000000.000000,352986000000.000000,18746000000.000000,5485099000000.000000,8881642000000.000000,3855786400.000000
12M 2013,,,1473625000000.000000,1527868000000.000000,951235000000.000000,576633000000.000000,1527868000000.000000,122767000000.000000,73205000000.000000,49562000000.000000,122767000000.000000,1605263000000.000000,299994000000.000000,5029517000000.000000,,19000000000.000000,,19000000000.000000,19000000000.000000,254334000000.000000,3657656000000.000000,745701000000.000000,2911955000000.000000,3657656000000.000000,3182962000000.000000,45743000000.000000,130000000000.000000,64208000000.000000,234258000000.000000,7588161000000.000000,12617678000000.000000,,,2661312000000.000000,,62053000000.000000,,,1101051000000.000000,410206000000.000000,1511257000000.000000,,102346000000.000000,16865000000.000000,119211000000.000000,,109689000000.000000,109689000000.000000,534248000000.000000,,155788000000.000000,3100000000.000000,,158888000000.000000,,165966000000.000000,2661312000000.000000,397612000000.000000,95000000.000000,,,,108122000000.000000,264000000.000000,108386000000.000000,,,,289131000000.000000,397612000000.000000,3058924000000.000000,,481973000000.000000,2914054000000.000000,5180235000000.000000,77500000000.000000,5102735000000.000000,5180235000000.000000,940058000000.000000,42434000000.000000,9558754000000.000000,12617678000000.000000,4819733000.000000
12M 2014,,,1275050000000.000000,1678455000000.000000,1093768000000.000000,584687000000.000000,1678455000000.000000,105897000000.000000,70752000000.000000,35145000000.000000,105897000000.000000,1718663000000.000000,360015000000.000000,5138080000000.000000,,99944000000.000000,25499000000.000000,74445000000.000000,99944000000.000000,305581000000.000000,4373833000000.000000,782250000000.000000,3591583000000.000000,4373833000000.000000,3305968000000.000000,402612000000.000000,130000000000.000000,69014000000.000000,555894000000.000000,9242846000000.000000,14380926000000.000000,,,3857809000000.000000,,1367488000000.000000,,,1089221000000.000000,387433000000.000000,1476654000000.000000,,172346000000.000000,5710000000.000000,178056000000.000000,,87242000000.000000,87242000000.000000,534841000000.000000,,73742000000.000000,270000000.000000,,74012000000.000000,,139516000000.000000,3857809000000.000000,386560000000.000000,,,,,34379000000.000000,,34379000000.000000,,,,352181000000.000000,386560000000.000000,4244369000000.000000,,481973000000.000000,2914054000000.000000,5479455000000.000000,82500000000.000000,5396955000000.000000,5479455000000.000000,995303000000.000000,265772000000.000000,10136557000000.000000,14380926000000.000000,4819733000.000000
12M 2015,,,977854000000.000000,1551614000000.000000,1036530000000.000000,515084000000.000000,1551614000000.000000,135131000000.000000,61268000000.000000,73863000000.000000,135131000000.000000,1749263000000.000000,382908000000.000000,4796770000000.000000,,63969000000.000000,17045000000.000000,46924000000.000000,63969000000.000000,328612000000.000000,4340881000000.000000,759348000000.000000,3581533000000.000000,4340881000000.000000,3507217000000.000000,611406000000.000000,130000000000.000000,86232000000.000000,474023000000.000000,9542340000000.000000,14339110000000.000000,,,3625907000000.000000,,1244137000000.000000,,,1020626000000.000000,430360000000.000000,1450986000000.000000,,144827000000.000000,2795000000.000000,147622000000.000000,,64779000000.000000,64779000000.000000,402492000000.000000,,99444000000.000000,,,99444000000.000000,,216447000000.000000,3625907000000.000000,569777000000.000000,,,,,94932000000.000000,,94932000000.000000,,,,474845000000.000000,569777000000.000000,4195684000000.000000,,481973000000.000000,2914054000000.000000,5504997000000.000000,87500000000.000000,5417497000000.000000,5504997000000.000000,977537000000.000000,264865000000.000000,10143426000000.000000,14339110000000.000000,4819733000.000000
12M 2016,,,914635000000.000000,1638291000000.000000,1073767000000.000000,564524000000.000000,1638291000000.000000,174938000000.000000,88611000000.000000,86327000000.000000,174938000000.000000,1823884000000.000000,352154000000.000000,4903902000000.000000,,53962000000.000000,17427000000.000000,36535000000.000000,53962000000.000000,367467000000.000000,4515999000000.000000,1044126000000.000000,3471873000000.000000,4515999000000.000000,3599815000000.000000,615921000000.000000,130000000000.000000,89751000000.000000,335457000000.000000,9708372000000.000000,14612274000000.000000,,,3258146000000.000000,,126375000000.000000,449037000000.000000,,1088954000000.000000,473399000000.000000,1562353000000.000000,,151090000000.000000,4515000000.000000,155605000000.000000,,115883000000.000000,115883000000.000000,535455000000.000000,,80000000000.000000,,,80000000000.000000,,233438000000.000000,3258146000000.000000,817570000000.000000,,,,,,,,,,349490000000.000000,468080000000.000000,817570000000.000000,4075716000000.000000,,481973000000.000000,2914054000000.000000,5837234000000.000000,92500000000.000000,5744734000000.000000,5837234000000.000000,1040906000000.000000,262391000000.000000,10536558000000.000000,14612274000000.000000,4819733000.000000
12M 2017,,,679916000000.000000,1824919000000.000000,1258363000000.000000,566556000000.000000,1824919000000.000000,179222000000.000000,80183000000.000000,99039000000.000000,179222000000.000000,2168781000000.000000,375703000000.000000,5228541000000.000000,,150365000000.000000,3221000000.000000,147144000000.000000,150365000000.000000,411752000000.000000,4347640000000.000000,1177348000000.000000,3170292000000.000000,4347640000000.000000,3526867000000.000000,628823000000.000000,130000000000.000000,79138000000.000000,259183000000.000000,9533768000000.000000,14762309000000.000000,,,3041502000000.000000,,377359000000.000000,,,1317815000000.000000,379715000000.000000,1697530000000.000000,,143934000000.000000,7375000000.000000,151309000000.000000,,75311000000.000000,75311000000.000000,518261000000.000000,,,,,,,221732000000.000000,3041502000000.000000,961731000000.000000,,,,,,,,,834000000.000000,349614000000.000000,611283000000.000000,961731000000.000000,4003233000000.000000,,481973000000.000000,2914054000000.000000,6114854000000.000000,96395000000.000000,6018459000000.000000,6114854000000.000000,986667000000.000000,261528000000.000000,10759076000000.000000,14762309000000.000000,4819733000.000000
