Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,468 B,(187 B),281 B,364.03
12M 2009,566 B,(120 B),446 B,578.15
12M 2010,375 B,(430 B),(55 B),-71.30
12M 2011,259 B,(842 B),(583 B),-151.32
12M 2012,538 B,(756 B),(219 B),-56.71
12M 2013,552 B,(665 B),(114 B),-23.55
12M 2014,265 B,"(1,005 B)",(740 B),-153.53
12M 2015,867 B,(792 B),75 B,15.55
12M 2016,"1,059 B",(481 B),578 B,119.98
12M 2017,394 B,(413 B),(18 B),-3.79
12M 2018,678 B,(536 B),142 B,29.52
12M 2019,"1,072 B",(483 B),589 B,122.25
12M 2020,"1,148 B",(321 B),827 B,171.67
12M 2021,912 B,(271 B),641 B,132.90
12M 2022,708 B,(390 B),319 B,66.12
12M 2023,"1,836 B",(571 B),"1,265 B",262.45
12M 2024,"1,533 B",(573 B),959 B,199.05
