Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,,,,,2.79,,0.1,,,0.0
12M 2009,,,,,,,,,2.97,3.01,0.09,0.08,,,0.0
12M 2010,,,,,,,,,3.65,3.38,0.09,0.08,,,0.0
12M 2011,,,,,,,,,3.21,3.33,0.08,0.09,,,0.0
12M 2012,,,,,,,,,2.99,2.95,0.08,0.08,,,0.0
12M 2013,,,,,,,,,3.5,3.41,0.09,0.08,,,0.0
12M 2014,,,,,,,,,4.57,4.59,0.1,0.09,,,0.0
12M 2015,,,,,,,,,5.45,4.95,0.1,0.1,,,0.0
12M 2016,,,,,,,,,4.49,3.93,0.09,0.09,,,0.0
12M 2017,,,,,,,,,3.98,4.06,0.08,0.08,,,0.0
12M 2018,,,,,,,,,3.09,3.11,0.08,0.08,,,0.0
12M 2019,,,,,,,,,2.69,2.67,0.08,0.08,,,0.0
12M 2020,,,,,,,,,1.94,1.86,0.06,0.06,,,0.0
12M 2021,,,,,,,,,1.27,1.3,0.04,0.04,,,0.0
12M 2022,,,,,,,,,0.89,0.9,0.03,0.03,,,0.0
12M 2023,,,,,,,,,1.25,1.27,0.04,0.04,,,0.0
12M 2024,,,,,,,,,1.38,1.37,0.05,0.04,,,0.0
