Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Penerimaan (Pembayaran) Operasi Lainnya,Penerimaan Pajak,Pembayaran Pajak,Pembayaran Liabilitas Imbalan Pasca Kerja,Penerimaan Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Penerimaan (Pembayaran) Piutang Pihak Berelasi,Pencairan (Penempatan) Dana Yang Dibatasi Penggunaannya,Penerimaan Bunga,Uang Muka Untuk Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penerbitan Saham,Penerimaan Bersih Dari Penawaran Umum Pendana,Pengembalian (Pembayaran) Deviden,Penerimaan (Pembayaran) Utang Pihak Berelasi,Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Bunga,Pembayaran Dividen,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Utang Bank Jangka Panjang,Pembayaran Liabilitas Sewa,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2010,-100581433888.000000,765943114584.000000,-823671565655.000000,-11005360818.000000,-10374231847.000000,4532889672.000000,-26324718701.000000,,318438877.000000,-100581433888.000000,15498443321.000000,-4526346760.000000,24790081.000000,20000000000.000000,,,,15498443321.000000,75214077889.000000,,,,,130396928889.000000,-49260541969.000000,-5922309031.000000,,,,,75214077889.000000,-9868912678.000000,11163174553.000000,,1294261875.000000
12M 2011,-25552240121.000000,954219594944.000000,-855410041958.000000,-10800891197.000000,-84348094705.000000,,-29666915353.000000,,454108148.000000,-25552240121.000000,-6082040772.000000,-6517268045.000000,435227273.000000,,,,,-6082040772.000000,143894698450.000000,62328000000.000000,87667431667.000000,-57031111200.000000,176804760000.000000,318571796130.000000,-438135503755.000000,-6310674392.000000,,,,,143894698450.000000,112260417557.000000,1294261875.000000,,113554679432.000000
12M 2012,-52200340966.000000,1138411361307.000000,-1153035470334.000000,-11468713600.000000,733441093.000000,6157132538.000000,-37132577679.000000,,4134485709.000000,-52200340966.000000,-46615735166.000000,-47135735166.000000,520000000.000000,,,,,-46615735166.000000,51967581586.000000,,,3134655648.000000,1718556678.000000,516060382922.000000,-454776859333.000000,-14169154329.000000,,,,,51967581586.000000,-46848494546.000000,113554679432.000000,14221405.000000,66720406291.000000
12M 2013,108138926072.000000,1091555423249.000000,-958337470140.000000,-18170571956.000000,-2194523230.000000,6157132538.000000,-11921791223.000000,,1050726834.000000,108138926072.000000,-52738389798.000000,-54429788105.000000,168858151.000000,,1986695457.000000,,-464155301.000000,-52738389798.000000,-117406941981.000000,,,,-3695015667.000000,682841489746.000000,-781368364175.000000,-8410781333.000000,,,-6774270552.000000,,-117406941981.000000,-62006405707.000000,66720406291.000000,106656979.000000,4820657563.000000
12M 2014,-74385983999.000000,1175960368592.000000,-1223982634660.000000,-21543518207.000000,-7558887312.000000,11268870573.000000,-9288746465.000000,,758563480.000000,-74385983999.000000,-71556366569.000000,-56051045457.000000,166707500.000000,,-15204431376.000000,,-467597236.000000,-71556366569.000000,164000937718.000000,,,,-4042429553.000000,1353380471231.000000,-1157018210507.000000,-19983106331.000000,-1701000000.000000,,-6634787122.000000,,164000937718.000000,18058587150.000000,4820657563.000000,26152147.000000,22905396860.000000
12M 2015,27344372141.000000,1188218845150.000000,-1136127758971.000000,-26559702578.000000,-3928233204.000000,11921791223.000000,-7621532763.000000,,1440963284.000000,27344372141.000000,-811813803.000000,-6577443422.000000,456363636.000000,,5359690869.000000,,-50424886.000000,-811813803.000000,-45886595518.000000,,,,-315705291.000000,1211618941216.000000,-1238617800489.000000,-18572030954.000000,,,,,-45886595518.000000,-19354037180.000000,22905396860.000000,-70236262.000000,3481123418.000000
12M 2016,34234428082.000000,1034808549381.000000,-976786011230.000000,-26304563309.000000,-1396307461.000000,9288746465.000000,-6630341619.000000,,1254355855.000000,34234428082.000000,-2585966202.000000,-4769557847.000000,147727273.000000,,2174193441.000000,,-138329069.000000,-2585966202.000000,-31275090391.000000,,,,-9215072.000000,873621123572.000000,-886954756494.000000,-17932242397.000000,,,,,-31275090391.000000,373371489.000000,3481123418.000000,12626597.000000,3867121504.000000
12M 2017,52474094986.000000,1293690882451.000000,-1234126772476.000000,,-1360571814.000000,7621532763.000000,-13350975938.000000,,,52474094986.000000,-15455346299.000000,-11808519603.000000,133000000.000000,,-3287759601.000000,665622634.000000,-1157689729.000000,-15455346299.000000,-28787269720.000000,,,,,1122710706755.000000,-1132410604220.000000,-19087372255.000000,,,,,-28787269720.000000,8231478967.000000,3867121504.000000,1705075.000000,12100305546.000000
12M 2018,10125713239.000000,1272373369779.000000,-1251307939262.000000,,-3785300329.000000,6630341619.000000,-13784758568.000000,,,10125713239.000000,-25640026234.000000,-13680622542.000000,70000000.000000,,-12220594023.000000,574148751.000000,-382958420.000000,-25640026234.000000,13675617215.000000,,,,,958390125692.000000,-917238967320.000000,-22624249490.000000,-3969000000.000000,-882291667.000000,,,13675617215.000000,-1838695780.000000,12100305546.000000,49435975.000000,10311045741.000000
12M 2019,79605539441.000000,1104457506174.000000,-1021875381123.000000,,-2061344125.000000,13350975938.000000,-14266217423.000000,,,79605539441.000000,-1938495434.000000,-17452390142.000000,673136364.000000,,14583908840.000000,256849504.000000,,-1938495434.000000,-70725985420.000000,,,,,749737319907.000000,-804404318522.000000,-16058986805.000000,,,,,-70725985420.000000,6941058587.000000,10311045741.000000,-10459574.000000,17241644754.000000
