Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Aset Real Estat,Aset Pajak Tangguhan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Properti Investasi,Aset Tak Berwujud,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Kontraktor,Utang Lain-Lain,Utang Bank,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Beban Akrual,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Dari Pihak Berelasi,Utang Bank Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Adjustment,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,1120892892.000000,2724214873.000000,,,2724214873.000000,23800000.000000,105854325796.000000,,8719785918.000000,118443019479.000000,,7647048136.000000,,,1122912901.000000,,8769961037.000000,127212980516.000000,,,25807816006.000000,,7156354488.000000,,,7156354488.000000,,570975659.000000,,425341062.000000,,,,,,,17655144797.000000,25807816006.000000,43418755338.000000,867179271.000000,42142174946.000000,,,,,409401121.000000,43418755338.000000,69226571344.000000,,65000000000.000000,6203483934.000000,1979378860.000000,,1979378860.000000,1979378860.000000,1170045.000000,-15197623663.000000,57986409176.000000,,127212980520.000000,650000000.000000
12M 2009,,,4721848772.000000,5202807402.000000,,,5202807402.000000,2950000.000000,91040701050.000000,,9378209313.000000,110346516537.000000,,23808227107.000000,,,729227069.000000,,24537454176.000000,134883970713.000000,,,29342611329.000000,,4056194793.000000,,,4056194793.000000,,562797934.000000,,643438923.000000,,,,,,,24080179679.000000,29342611329.000000,38571235006.000000,123480466.000000,37859508059.000000,,,,,588246481.000000,38571235006.000000,67913846335.000000,,65000002000.000000,6203485634.000000,10961521752.000000,,10961521752.000000,10961521752.000000,2738655.000000,-15197623663.000000,66970124378.000000,,134883970713.000000,650000020.000000
12M 2010,,,2840311588.000000,5942063832.000000,,,5942063832.000000,3850000.000000,84769510753.000000,,10886832202.000000,104442568375.000000,,31560396757.000000,,,355862657.000000,,31916259414.000000,136358827789.000000,,,32323669871.000000,,4459066522.000000,,,4459066522.000000,,562797934.000000,,522164389.000000,,,,,,64317488.000000,26715323538.000000,32323669871.000000,29130545567.000000,850738073.000000,27516348125.000000,,,,,763459369.000000,29130545567.000000,61454215438.000000,,65000002000.000000,6203485634.000000,18892490640.000000,,18892490640.000000,18892490640.000000,6257740.000000,-15197623663.000000,74904612351.000000,,136358827789.000000,650000020.000000
12M 2011,,,7427938501.000000,6662412257.000000,,,6662412257.000000,7127636.000000,93089609637.000000,,8873009211.000000,116060097242.000000,,31353489640.000000,,,671037841.000000,,32024527481.000000,148084624723.000000,,,37192675849.000000,,4535948318.000000,,,4535948318.000000,,2731469168.000000,,1452407540.000000,,,,375960522.000000,375960522.000000,62901874.000000,28033988427.000000,37192675849.000000,30086084438.000000,5811218852.000000,23259487896.000000,,,,,1015377690.000000,30086084438.000000,67278760287.000000,,65000002000.000000,6203485634.000000,24793493753.000000,,24793493753.000000,24793493753.000000,6506712.000000,-15197623663.000000,80805864436.000000,,148084624723.000000,650000020.000000
12M 2012,,,5007007723.000000,10433848380.000000,10433848380.000000,,10433848380.000000,10839000.000000,105350580868.000000,,8793845534.000000,129596121505.000000,,28802596237.000000,,,694434131.000000,,29497030368.000000,159093151873.000000,,,50928277247.000000,,,2314139909.000000,,2314139909.000000,,481469168.000000,,412938389.000000,,,,269447054.000000,269447054.000000,957763525.000000,46492519202.000000,50928277247.000000,20690748915.000000,9100613800.000000,10163309407.000000,,,,,1426825708.000000,20690748915.000000,71619026162.000000,,66178452000.000000,7205168134.000000,29280485387.000000,,29280485387.000000,29280485387.000000,7643853.000000,-15197623663.000000,87474125711.000000,,159093151873.000000,661784520.000000
12M 2013,,,6477111295.000000,9233754383.000000,9233754383.000000,,9233754383.000000,47519000.000000,117977630949.000000,,6845338455.000000,140581354082.000000,,30177917165.000000,,,1043524819.000000,3832437906.000000,35053879890.000000,175635233972.000000,,,52205931545.000000,468184236.000000,,2351750855.000000,,2351750855.000000,,45512900.000000,,7805136753.000000,,,,280009166.000000,280009166.000000,365300520.000000,40890037115.000000,52205931545.000000,30930030754.000000,100613800.000000,29050498297.000000,,20766667.000000,,20766667.000000,1758151990.000000,30930030754.000000,83135962299.000000,,66178452000.000000,-7992455529.000000,34305367989.000000,,34305367989.000000,34305367989.000000,7907213.000000,,92499271673.000000,,175635233972.000000,661784520.000000
12M 2014,,,4649226830.000000,,,,,610825332.000000,123242912996.000000,,1915406827.000000,130418371985.000000,,30177917165.000000,,,621918000.000000,14953413513.000000,45753248678.000000,176171620663.000000,,,44507450711.000000,2992689295.000000,,1320826546.000000,,1320826546.000000,,,,3441050911.000000,,,3333333330.000000,20766667.000000,3354099997.000000,277179766.000000,33121604196.000000,44507450711.000000,32118392483.000000,100613800.000000,29955775447.000000,,,,,2062003236.000000,32118392483.000000,76625843194.000000,,66178452000.000000,-7992455529.000000,41350526488.000000,,41350526488.000000,41350526488.000000,9254510.000000,,99545777469.000000,,176171620663.000000,661784520.000000
12M 2015,,,1631170664.000000,,,,,7300000.000000,125104948610.000000,,1599984866.000000,128343404140.000000,,30177917165.000000,,,298659120.000000,16923621242.000000,47400197527.000000,175743601667.000000,,,61733471306.000000,2939918934.000000,,454425152.000000,,454425152.000000,,,24000000000.000000,1359856281.000000,,,,7460000.000000,7460000.000000,65698593.000000,32906112346.000000,61733471306.000000,13078979444.000000,100613800.000000,10666666668.000000,,,,,2311698976.000000,13078979444.000000,74812450750.000000,,66178452000.000000,-7992455529.000000,42554269493.000000,,42554269493.000000,42554269493.000000,10154479.000000,180730474.000000,100931150917.000000,,175743601667.000000,661784520.000000
12M 2016,,,3600527491.000000,315000000.000000,,,315000000.000000,1250000.000000,126855492715.000000,,1968256713.000000,132740526919.000000,,32592150537.000000,,,88974946.000000,13839225714.000000,46520351197.000000,179260878116.000000,,,60816048518.000000,2775095833.000000,,447743386.000000,,447743386.000000,,,22602666668.000000,1405702652.000000,,,,,,187721734.000000,33397118245.000000,60816048518.000000,11224554932.000000,100613800.000000,8400000000.000000,,,,,2723941132.000000,11224554932.000000,72040603450.000000,,66178452000.000000,-3502098555.000000,44371049038.000000,,,44371049038.000000,11886088.000000,160986095.000000,107220274666.000000,,179260878116.000000,661784520.000000
12M 2017,,,2893180312.000000,,,,,3800000.000000,124326715172.000000,,2143123350.000000,129366818834.000000,,33195708880.000000,,,43196422.000000,16430249916.000000,49669155218.000000,179035974052.000000,,,55374100817.000000,855830188.000000,,753492705.000000,,753492705.000000,,,19285000000.000000,1405598838.000000,,,,,,106583417.000000,32967595669.000000,55374100817.000000,3511327910.000000,100613800.000000,,,,,,3410714110.000000,3511327910.000000,58885428727.000000,,66178452000.000000,-3502098555.000000,57579944057.000000,,,57579944057.000000,15266113.000000,-121018290.000000,120150545325.000000,,179035974052.000000,661784520.000000
