Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2006,"7,003 B",(83 B),"6,920 B",1230.21
12M 2007,"(2,197 B)",(101 B),"(2,298 B)",-402.37
12M 2008,"(2,595 B)",(136 B),"(2,730 B)",-477.84
12M 2009,"(2,119 B)",(143 B),"(2,262 B)",-376.51
12M 2010,"5,186 B",(77 B),"5,109 B",830.10
12M 2011,"(3,205 B)",(97 B),"(3,303 B)",-415.18
12M 2012,"2,878 B",(55 B),"2,823 B",354.22
12M 2013,(940 B),(288 B),"(1,227 B)",-144.37
12M 2014,"3,435 B",(221 B),"3,214 B",353.75
12M 2015,477 B,(383 B),93 B,10.27
12M 2016,"2,712 B",(349 B),"2,362 B",259.98
12M 2017,"(1,573 B)",(242 B),"(1,814 B)",-199.68
12M 2018,"(6,168 B)",(279 B),"(6,447 B)",-553.26
12M 2019,"(2,143 B)",(151 B),"(2,294 B)",-196.90
12M 2020,"(13,476 B)",(504 B),"(13,979 B)",-427.86
12M 2021,"13,497 B",(119 B),"13,378 B",197.06
12M 2022,(259 B),(66 B),(325 B),-4.79
12M 2023,"(10,166 B)",(212 B),"(10,377 B)",-55.23
12M 2024,"(7,445 B)",(52 B),"(7,497 B)",-39.90
