Period,Aset,Kas Dan Setara Kas,Giro Pada Bank Indonesia,Penempatan Pada Bank Indonesia Dan Bank Lain,Pihak Berelasi,Pihak Ketiga,Others,Total Penempatan Pada Bank Indonesia Dan Bank Lain,Portofolio Efek,Pihak Berelasi,Pihak Ketiga,Others,Total Portofolio Efek,Pinjaman Yang Diberikan,Pihak Berelasi,Pihak Ketiga,Others,Total Pinjaman Yang Diberikan,Obligasi Pemerintah,Investasi Pada Entitas Asosiasi,Aset Tetap,Others,Total Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Nasabah,Pihak Berelasi,Pihak Ketiga,Total Simpanan Nasabah,Simpanan Dari Bank Lain,Pihak Berelasi,Pihak Ketiga,Total Simpanan Dari Bank Lain,Liabilitas Derivatif,Pihak Berelasi,Pihak Ketiga,Total Liabilitas Derivatif,Liabilitas Akseptasi,Pihak Berelasi,Pihak Ketiga,Total Liabilitas Akseptasi,Utang Pajak,Others,Total Utang Pajak,Beban Akrual,Liabilitas Pajak Tangguhan,Efek-Efek Yang Diterbitkan,Pinjaman Yang Diterima,Obligasi Subordinasi,Dana Syirkah Temporer,Others,Total Dana Syirkah Temporer,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Others,Total Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2007,,3259229000000.000000,17573082000000.000000,,,14808515000000.000000,,14808515000000.000000,,,16200561000000.000000,,16200561000000.000000,,84680000000.000000,83130305000000.000000,,83214985000000.000000,36700770000000.000000,,,3871229000000.000000,3871229000000.000000,710755000000.000000,7002485000000.000000,183341611000000.000000,,,1118333000000.000000,146188546000000.000000,419417000000.000000,145769129000000.000000,146188546000000.000000,3803936000000.000000,,3803936000000.000000,3803936000000.000000,29190000000.000000,,,29190000000.000000,1594270000000.000000,,,1594270000000.000000,151379000000.000000,,151379000000.000000,,,1269135000000.000000,6309151000000.000000,933704000000.000000,,,,4696772000000.000000,166094416000000.000000,,7789288000000.000000,5812879000000.000000,3760586000000.000000,,1721093000000.000000,1721093000000.000000,2039493000000.000000,3760586000000.000000,27610000000.000000,-143168000000.000000,17247195000000.000000,183341611000000.000000,15273940510.000000
12M 2008,,4428192000000.000000,9350792000000.000000,,,22641940000000.000000,,22641940000000.000000,,,9874051000000.000000,,9874051000000.000000,,465254000000.000000,105877097000000.000000,,106342351000000.000000,34655313000000.000000,,,3732893000000.000000,3732893000000.000000,1989131000000.000000,8726406000000.000000,201741069000000.000000,,,1059663000000.000000,163164358000000.000000,866953000000.000000,162297405000000.000000,163164358000000.000000,4100032000000.000000,,4100032000000.000000,4100032000000.000000,82666000000.000000,,,82666000000.000000,1969306000000.000000,,,1969306000000.000000,599246000000.000000,,599246000000.000000,,,1269242000000.000000,8616869000000.000000,,,,,5417961000000.000000,186279343000000.000000,,7789288000000.000000,5812879000000.000000,4510038000000.000000,,1912618000000.000000,1912618000000.000000,2597420000000.000000,4510038000000.000000,30578000000.000000,-2681057000000.000000,15461726000000.000000,201741069000000.000000,15273940510.000000
12M 2009,,4903316000000.000000,8531044000000.000000,,,29622162000000.000000,,29622162000000.000000,,,19197927000000.000000,,19197927000000.000000,,525829000000.000000,113396856000000.000000,,113922685000000.000000,31039523000000.000000,,,3707940000000.000000,3707940000000.000000,1358911000000.000000,15213459000000.000000,227496967000000.000000,,,1109216000000.000000,188468987000000.000000,1017255000000.000000,187451732000000.000000,188468987000000.000000,3819149000000.000000,,3819149000000.000000,3819149000000.000000,152423000000.000000,,,152423000000.000000,2558681000000.000000,,,2558681000000.000000,94036000000.000000,,94036000000.000000,,,1260750000000.000000,5569805000000.000000,,,,,5289398000000.000000,208322445000000.000000,,7789288000000.000000,5617599000000.000000,6802568000000.000000,,2140119000000.000000,2140119000000.000000,4662449000000.000000,6802568000000.000000,30940000000.000000,-1065873000000.000000,19174522000000.000000,227496967000000.000000,15273940510.000000
12M 2010,,5480703000000.000000,13563799000000.000000,,,38385316000000.000000,,38385316000000.000000,,,13181480000000.000000,,13181480000000.000000,,513049000000.000000,135843910000000.000000,-6957392000000.000000,129399567000000.000000,32556138000000.000000,,,3838079000000.000000,3838079000000.000000,990943000000.000000,11184504000000.000000,248580529000000.000000,,,1336316000000.000000,194374685000000.000000,75005000000.000000,194299680000000.000000,194374685000000.000000,3325751000000.000000,,3325751000000.000000,3325751000000.000000,221033000000.000000,,,221033000000.000000,2497356000000.000000,,,2497356000000.000000,182128000000.000000,,182128000000.000000,,,1277197000000.000000,5623480000000.000000,,,,,6593058000000.000000,215431004000000.000000,,9054807000000.000000,14568468000000.000000,9990436000000.000000,,2624634000000.000000,2624634000000.000000,7365802000000.000000,9990436000000.000000,29899000000.000000,-494085000000.000000,33149525000000.000000,248580529000000.000000,18648656458.000000
12M 2011,,6197731000000.000000,18895328000000.000000,,,49328028000000.000000,,49328028000000.000000,,,7627768000000.000000,,7627768000000.000000,,30162573000000.000000,133370850000000.000000,-7028915000000.000000,156504508000000.000000,36957800000000.000000,,,4052708000000.000000,4052708000000.000000,695602000000.000000,18798688000000.000000,299058161000000.000000,,,2161199000000.000000,231295740000000.000000,40949215000000.000000,190346525000000.000000,231295740000000.000000,7018529000000.000000,483896000000.000000,6534633000000.000000,7018529000000.000000,374257000000.000000,,,374257000000.000000,4479042000000.000000,,,4479042000000.000000,145021000000.000000,,145021000000.000000,,,264622000000.000000,8725796000000.000000,,,,,6750931000000.000000,261215137000000.000000,,9054807000000.000000,14568468000000.000000,14422051000000.000000,,3422953000000.000000,3422953000000.000000,10999098000000.000000,14422051000000.000000,109870000000.000000,-312172000000.000000,37843024000000.000000,299058161000000.000000,18648656458.000000
12M 2012,,7969378000000.000000,22422083000000.000000,,,32621101000000.000000,-4439000000.000000,32616662000000.000000,,,9816541000000.000000,-15571000000.000000,9800970000000.000000,,,200742305000000.000000,-6907635000000.000000,193834670000000.000000,38561005000000.000000,,,4591588000000.000000,4591588000000.000000,319675000000.000000,23187475000000.000000,333303506000000.000000,,,2725597000000.000000,257660841000000.000000,,,257660841000000.000000,3245243000000.000000,,,3245243000000.000000,454647000000.000000,,,454647000000.000000,4624501000000.000000,,,4624501000000.000000,242383000000.000000,242383000000.000000,242383000000.000000,527362000000.000000,,4768810000000.000000,8749762000000.000000,,,,,6779069000000.000000,289778215000000.000000,,9054807000000.000000,14568468000000.000000,20070536000000.000000,,4589273000000.000000,4589273000000.000000,15481263000000.000000,20070536000000.000000,52268000000.000000,-220788000000.000000,43525291000000.000000,333303506000000.000000,18648656458.000000
12M 2013,,10089927000000.000000,23130059000000.000000,,,23474807000000.000000,-2105000000.000000,23472702000000.000000,,,11980133000000.000000,-14435000000.000000,11965698000000.000000,,,250637843000000.000000,-6880036000000.000000,243757807000000.000000,41431956000000.000000,,,5513569000000.000000,5513569000000.000000,986462000000.000000,26306635000000.000000,386654815000000.000000,,,1759870000000.000000,291890195000000.000000,,,291890195000000.000000,3184983000000.000000,,,3184983000000.000000,1181732000000.000000,,,1181732000000.000000,6198972000000.000000,,,6198972000000.000000,323957000000.000000,323957000000.000000,323957000000.000000,482905000000.000000,,6036533000000.000000,18950523000000.000000,,,,,8961640000000.000000,338971310000000.000000,,9054807000000.000000,14568468000000.000000,27011835000000.000000,,5646886000000.000000,5646886000000.000000,21364949000000.000000,27011835000000.000000,83270000000.000000,-3034875000000.000000,47683505000000.000000,386654815000000.000000,18648656458.000000
12M 2014,,11435686000000.000000,24597538000000.000000,,,14529531000000.000000,-2109000000.000000,14527422000000.000000,,,12743298000000.000000,-5002000000.000000,12738296000000.000000,,36821492000000.000000,240800789000000.000000,-6970295000000.000000,270651986000000.000000,43829797000000.000000,,,6222050000000.000000,6222050000000.000000,668314000000.000000,31902619000000.000000,416573708000000.000000,,,1813065000000.000000,300264809000000.000000,39005406000000.000000,261259403000000.000000,300264809000000.000000,2401871000000.000000,366655000000.000000,2035216000000.000000,2401871000000.000000,661609000000.000000,,,661609000000.000000,6468603000000.000000,,,6468603000000.000000,317563000000.000000,317563000000.000000,317563000000.000000,659592000000.000000,,6158031000000.000000,11212265000000.000000,,14403746000000.000000,14403746000000.000000,14403746000000.000000,11191246000000.000000,355552400000000.000000,,9054807000000.000000,14568468000000.000000,35078159000000.000000,,6688138000000.000000,6688138000000.000000,28390021000000.000000,35078159000000.000000,1949535000000.000000,370339000000.000000,61021308000000.000000,416573708000000.000000,18648656458.000000
12M 2015,,12890427000000.000000,30932177000000.000000,,,33416808000000.000000,,33416808000000.000000,,,9963803000000.000000,-36309000000.000000,9927494000000.000000,,48417362000000.000000,277687787000000.000000,-12038618000000.000000,314066531000000.000000,47222319000000.000000,,,20756594000000.000000,20756594000000.000000,1465453000000.000000,37917485000000.000000,508595288000000.000000,,,1805494000000.000000,353936880000000.000000,51376197000000.000000,302560683000000.000000,353936880000000.000000,4248058000000.000000,179887000000.000000,4068171000000.000000,4248058000000.000000,1161557000000.000000,,,1161557000000.000000,6188258000000.000000,,,6188258000000.000000,749396000000.000000,749396000000.000000,749396000000.000000,917129000000.000000,,6870667000000.000000,22523581000000.000000,,17429389000000.000000,17429389000000.000000,17429389000000.000000,14326657000000.000000,430157066000000.000000,,9054807000000.000000,14568468000000.000000,41537950000000.000000,,8483788000000.000000,8483788000000.000000,33054162000000.000000,41537950000000.000000,2023486000000.000000,11253511000000.000000,78438222000000.000000,508595288000000.000000,18648656458.000000
12M 2016,,11167643000000.000000,30146853000000.000000,,,33662168000000.000000,-500000000.000000,33661668000000.000000,,,23855857000000.000000,-91107000000.000000,23764750000000.000000,,78193582000000.000000,315081810000000.000000,-16680865000000.000000,376594527000000.000000,63006339000000.000000,,,21972223000000.000000,21972223000000.000000,1331508000000.000000,41386369000000.000000,603031880000000.000000,,,3275668000000.000000,415453084000000.000000,71981896000000.000000,343471188000000.000000,415453084000000.000000,9735182000000.000000,695722000000.000000,9039460000000.000000,9735182000000.000000,410870000000.000000,,,410870000000.000000,4358537000000.000000,,,4358537000000.000000,150770000000.000000,150770000000.000000,150770000000.000000,1047239000000.000000,,6731115000000.000000,32965422000000.000000,,21076755000000.000000,21076755000000.000000,21076755000000.000000,18573238000000.000000,513777880000000.000000,,9054807000000.000000,14568468000000.000000,50798322000000.000000,,2778412000000.000000,2778412000000.000000,48019910000000.000000,50798322000000.000000,2096666000000.000000,12735737000000.000000,89254000000000.000000,603031880000000.000000,18648656458.000000
