Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2007,15.27 B,59.04,31.64,1.83,,0.49%,5.24%,1.38%,
12M 2008,15.27 B,80.26,8.04,0.57,,0.61%,7.94%,0.97%,
12M 2009,15.27 B,162.81,11.53,1.40,,1.09%,12.99%,1.58%,
12M 2010,18.65 B,220.03,17.61,3.58,,1.65%,12.39%,2.31%,
12M 2011,18.65 B,312.40,12.16,3.26,,1.95%,15.44%,2.65%,
12M 2012,18.65 B,377.84,9.79,2.89,,2.11%,16.21%,2.73%,
12M 2013,18.65 B,485.52,8.14,2.63,,2.34%,19.02%,3.12%,
12M 2014,18.65 B,578.20,10.55,3.27,,2.59%,18.25%,3.32%,
12M 2015,18.65 B,486.18,10.26,2.31,,1.78%,11.86%,2.47%,
12M 2016,18.65 B,608.02,9.09,2.09,,1.88%,13.01%,2.56%,
12M 2017,18.65 B,730.16,13.56,3.35,,1.92%,13.81%,2.62%,
12M 2018,18.65 B,805.16,10.93,2.73,"20,800.69 B",1.86%,13.89%,2.58%,
12M 2019,18.65 B,824.96,9.52,2.26,"20,873.12 B",1.82%,12.56%,2.36%,
12M 2020,18.65 B,175.91,35.10,1.87,"7,808.16 B",0.37%,2.98%,0.60%,
12M 2021,18.65 B,584.41,11.55,2.25,"14,774.20 B",1.13%,8.81%,1.38%,
12M 2022,18.65 B,981.95,9.39,2.83,"25,761.99 B",1.78%,13.48%,2.30%,
12M 2023,37.30 B,560.62,9.59,2.93,"28,077.86 B",1.92%,13.93%,2.44%,
12M 2024,37.30 B,575.47,7.56,2.21,"29,032.71 B",1.90%,13.21%,2.40%,
