Period,Total Pendapatan,Pendapatan Bunga,Provisi Dan Komisi Kredit,Pendapatan Premi,Pendapatan Syariah,Total Pendapatan,Total Beban Pokok Penjualan,Beban Bunga,Beban Klaim,Beban Syariah,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Pendapatan Operasional Lainnya,Penerimaan Kembali Aset Yang Telah Dihapusbukukan,Keuntungan Transaksi Mata Uang Asing,Kenaikan Nilai Wajar Aset Keuangan,Provisi Dan Komisi Lainnya,Keuntungan Dari Perubahan Nilai Wajar Efek-Efek,Others,Total Pendapatan Operasional Lainnya,Beban Operasional Lainnya,Beban Penyisihan Kerugian Penurunan Nilai Atas Aset Keuangan,Pemulihan Estimasi Kerugian Komitmen Dan Kontinjensi,Beban Penyisihan Kerugian Penurunan Nilai Atas Aset Non-Keuangan,Beban Tenaga Kerja,Beban Umum Dan Administrasi,Kerugian Transaksi Mata Uang Asing,Beban Premi Program Penjaminan Simpanan,Others,Total Beban Operasional Lainnya,Total Beban Usaha,Adjustment,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Hak Minoritas,Proforma Laba Bersih Dari Transaksi Restrukturisasi Entitas Sepengendali,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,28096633000000.000000,27009627000000.000000,898025000000.000000,,188981000000.000000,28096633000000.000000,-8445579000000.000000,-8407912000000.000000,,-37667000000.000000,-8445579000000.000000,19651054000000.000000,-11304941000000.000000,,,613641000000.000000,,57829000000.000000,-150277000000.000000,1863766000000.000000,2384959000000.000000,,-2889630000000.000000,-13141000000.000000,59140000000.000000,-6329075000000.000000,-3087606000000.000000,,-349065000000.000000,-1080523000000.000000,-13689900000000.000000,-11304941000000.000000,,8346113000000.000000,475899000000.000000,8822012000000.000000,-2863644000000.000000,-3382854000000.000000,519210000000.000000,-2863644000000.000000,,,5958368000000.000000,,,,5958368000000.000000,5958368000000.000000,5958368000000.000000,,5958368000000.000000,,,,
12M 2009,35334131000000.000000,33946341000000.000000,1126315000000.000000,,261475000000.000000,35334131000000.000000,-12284636000000.000000,-12179932000000.000000,,-104704000000.000000,-12284636000000.000000,23049495000000.000000,-14488836000000.000000,,,713431000000.000000,,75203000000.000000,127305000000.000000,2353655000000.000000,3269594000000.000000,,-5421499000000.000000,-14767000000.000000,-362649000000.000000,-6675793000000.000000,-3717931000000.000000,,-424003000000.000000,-1141788000000.000000,-17758430000000.000000,-14488836000000.000000,,8560659000000.000000,1330569000000.000000,9891228000000.000000,-2582936000000.000000,-2633880000000.000000,50944000000.000000,-2582936000000.000000,,,7308292000000.000000,,,,7308292000000.000000,7308292000000.000000,7308292000000.000000,,7308292000000.000000,,,,
12M 2010,44615162000000.000000,43971493000000.000000,643669000000.000000,,,44615162000000.000000,-11726559000000.000000,-11448953000000.000000,,-277606000000.000000,-11726559000000.000000,32888603000000.000000,-18486602000000.000000,,1525143000000.000000,773019000000.000000,,80253000000.000000,3321000000.000000,3162797000000.000000,5544533000000.000000,,-7880536000000.000000,8315000000.000000,-45222000000.000000,-8675721000000.000000,-4711444000000.000000,,-523991000000.000000,-2202536000000.000000,-24031135000000.000000,-18486602000000.000000,,14402001000000.000000,506229000000.000000,14908230000000.000000,-3435845000000.000000,-3922049000000.000000,486204000000.000000,-3435845000000.000000,,,11472385000000.000000,,,,11472385000000.000000,11472385000000.000000,11472385000000.000000,,11472385000000.000000,,,,
12M 2011,48164348000000.000000,47296178000000.000000,,,868170000000.000000,48164348000000.000000,-13737272000000.000000,-13275304000000.000000,,-461968000000.000000,-13737272000000.000000,34427076000000.000000,-16842846000000.000000,,1797048000000.000000,35521000000.000000,,151155000000.000000,13651000000.000000,3778600000000.000000,5775975000000.000000,,-5791658000000.000000,93623000000.000000,164841000000.000000,-8700847000000.000000,-5678786000000.000000,,-624057000000.000000,-2081937000000.000000,-22618821000000.000000,-16842846000000.000000,,17584230000000.000000,1171650000000.000000,18755880000000.000000,-3667884000000.000000,-4075204000000.000000,407320000000.000000,-3667884000000.000000,,,15087996000000.000000,208505000000.000000,208505000000.000000,208505000000.000000,15296501000000.000000,15087996000000.000000,15082939000000.000000,5057000000.000000,15087996000000.000000,15296501000000.000000,15288295000000.000000,8206000000.000000,15296501000000.000000
12M 2012,49610421000000.000000,48272021000000.000000,,,1338400000000.000000,49610421000000.000000,-13126655000000.000000,-12599060000000.000000,,-527595000000.000000,-13126655000000.000000,36483766000000.000000,-13801228000000.000000,,2258387000000.000000,428800000000.000000,,230961000000.000000,13371000000.000000,5458213000000.000000,8389732000000.000000,,-2668177000000.000000,-262000000.000000,-31489000000.000000,-9605547000000.000000,-6343661000000.000000,,-749297000000.000000,-2792527000000.000000,-22190960000000.000000,-13801228000000.000000,,22682538000000.000000,1177034000000.000000,23859572000000.000000,-5172192000000.000000,,,-5172192000000.000000,,,18687380000000.000000,-6030000000.000000,-6030000000.000000,-6030000000.000000,18681350000000.000000,18687380000000.000000,18680884000000.000000,6496000000.000000,18687380000000.000000,18681350000000.000000,18652098000000.000000,29252000000.000000,18681350000000.000000
12M 2013,59461084000000.000000,57720831000000.000000,,,1740253000000.000000,59461084000000.000000,-15354813000000.000000,-14590223000000.000000,,-764590000000.000000,-15354813000000.000000,44106271000000.000000,-17978694000000.000000,,1948158000000.000000,477524000000.000000,,4862438000000.000000,-13208000000.000000,1060339000000.000000,8335251000000.000000,,-3947875000000.000000,191000000.000000,1309000000.000000,-12231994000000.000000,-7518886000000.000000,,-911957000000.000000,-1704733000000.000000,-26313945000000.000000,-17978694000000.000000,,26127577000000.000000,1782489000000.000000,27910066000000.000000,-6555736000000.000000,,,-6555736000000.000000,,,21354330000000.000000,-1437676000000.000000,-1437676000000.000000,-1437676000000.000000,19916654000000.000000,21354330000000.000000,21344130000000.000000,10200000000.000000,21354330000000.000000,19916654000000.000000,19913198000000.000000,3456000000.000000,19916654000000.000000
12M 2014,75122213000000.000000,73065777000000.000000,,,2056436000000.000000,75122213000000.000000,-23679803000000.000000,-22684979000000.000000,,-994824000000.000000,-23679803000000.000000,51442410000000.000000,-23080533000000.000000,,2100676000000.000000,237304000000.000000,,6072460000000.000000,,882300000000.000000,9292740000000.000000,,-5721905000000.000000,-175000000.000000,2721000000.000000,-14111461000000.000000,-9184155000000.000000,,-1030657000000.000000,-2327641000000.000000,-32373273000000.000000,-23080533000000.000000,,28361877000000.000000,2497196000000.000000,30859073000000.000000,-6605228000000.000000,,,-6605228000000.000000,,,24253845000000.000000,506154000000.000000,506154000000.000000,506154000000.000000,24759999000000.000000,24253845000000.000000,24241650000000.000000,12195000000.000000,24253845000000.000000,24759999000000.000000,24744791000000.000000,15208000000.000000,24759999000000.000000
12M 2015,85434037000000.000000,83007745000000.000000,,,2426292000000.000000,85434037000000.000000,-27154270000000.000000,-26141100000000.000000,,-1013170000000.000000,-27154270000000.000000,58279767000000.000000,-27766860000000.000000,,2341945000000.000000,467167000000.000000,,7355973000000.000000,,2243956000000.000000,12409041000000.000000,,-8891305000000.000000,-844000000.000000,-8056000000.000000,-16599158000000.000000,-10380547000000.000000,,-1296475000000.000000,-2999516000000.000000,-40175901000000.000000,-27766860000000.000000,,30512907000000.000000,1981111000000.000000,32494018000000.000000,-7083230000000.000000,,,-7083230000000.000000,,,25410788000000.000000,-538658000000.000000,-538658000000.000000,-538658000000.000000,24872130000000.000000,25410788000000.000000,25397742000000.000000,13046000000.000000,25410788000000.000000,24872130000000.000000,24861081000000.000000,11049000000.000000,24872130000000.000000
12M 2016,97262568000000.000000,92151312000000.000000,,2474579000000.000000,2636677000000.000000,97262568000000.000000,-29622167000000.000000,-26176473000000.000000,-2410192000000.000000,-1035502000000.000000,-29622167000000.000000,67640401000000.000000,-33675859000000.000000,,4496825000000.000000,,,9222558000000.000000,,3493729000000.000000,17213112000000.000000,,-13700241000000.000000,347000000.000000,-90757000000.000000,-18485014000000.000000,-11975745000000.000000,-273832000000.000000,-1364741000000.000000,-4998988000000.000000,-50888971000000.000000,-33675859000000.000000,,33964542000000.000000,9228000000.000000,33973770000000.000000,-7745779000000.000000,,,-7745779000000.000000,,,26227991000000.000000,15152016000000.000000,15152016000000.000000,15152016000000.000000,41380007000000.000000,26227991000000.000000,26195772000000.000000,32219000000.000000,26227991000000.000000,41380007000000.000000,41340376000000.000000,39631000000.000000,41380007000000.000000
12M 2017,106688257000000.000000,100080250000000.000000,,3788965000000.000000,2819042000000.000000,106688257000000.000000,-33297356000000.000000,-28652214000000.000000,-3403551000000.000000,-1241591000000.000000,-33297356000000.000000,73390901000000.000000,-36585067000000.000000,,5050713000000.000000,183974000000.000000,,10442240000000.000000,,3414140000000.000000,19091067000000.000000,,-16994115000000.000000,-1239000000.000000,-239132000000.000000,-20352004000000.000000,-13146944000000.000000,,,-4942700000000.000000,-55676134000000.000000,-36585067000000.000000,,36805834000000.000000,216323000000.000000,37022157000000.000000,-7977823000000.000000,,,-7977823000000.000000,,,29044334000000.000000,1832681000000.000000,1832681000000.000000,1832681000000.000000,30877015000000.000000,29044334000000.000000,28996535000000.000000,47799000000.000000,29044334000000.000000,30877015000000.000000,30805784000000.000000,71231000000.000000,30877015000000.000000
