Period,Total Pendapatan,Pendapatan Bunga,Beban Bunga,Total Pendapatan,Laba Kotor,Total Beban Usaha,Pendapatan Operasional Lainnya,Provisi Dan Komisi Lainnya,Keuntungan Dari Penjualan Aset-Aset Keuangan,Pemulihan Cadangan Kerugian Penurunan Nilai Aset Keuangan Dan Non- Keuangan,Pendapatan Premi,Penerimaan Kembali Aset Yang Telah Dihapusbukukan,Others,Total Pendapatan Operasional Lainnya,Beban Operasional Lainnya,Beban Tenaga Kerja,Beban Umum Dan Administrasi,Beban Pemasaran,Beban Penyisihan Kerugian Penurunan Nilai Atas Aset Keuangan,Others,Total Beban Operasional Lainnya,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Non-Operasional,Beban Non-Operasional,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2014,124923316717.000000,297725132449.000000,-172801815732.000000,124923316717.000000,124923316717.000000,-109772569897.000000,,2527191434.000000,10756662.000000,,,,11362641668.000000,13900589764.000000,,-54699626501.000000,-48156623765.000000,-14421633102.000000,-6228356648.000000,-166919645.000000,-123673159661.000000,-109772569897.000000,15150746820.000000,719695356.000000,1874133932.000000,-1154438576.000000,719695356.000000,15870442176.000000,-3986118477.000000,-4499833500.000000,513715023.000000,-3986118477.000000,11884323699.000000,1657548855.000000,13541872554.000000,11884323699.000000,11884323699.000000,,11884323699.000000,13541872554.000000,13541872554.000000,,13541872554.000000
12M 2015,172032656295.000000,403980089484.000000,-231947433189.000000,172032656295.000000,172032656295.000000,-138455466308.000000,,3688056511.000000,371560000.000000,,,,2644529591.000000,6704146102.000000,,-63181238601.000000,-54712783881.000000,-21958155229.000000,-5307434699.000000,,-145159612410.000000,-138455466308.000000,33577189987.000000,902724995.000000,1141514921.000000,-238789926.000000,902724995.000000,34479914982.000000,-9608965158.000000,-9797098500.000000,188133342.000000,-9608965158.000000,24870949824.000000,35088661624.000000,59959611448.000000,24870949824.000000,24870949824.000000,,24870949824.000000,59959611448.000000,59959611448.000000,,59959611448.000000
12M 2016,247388133666.000000,508785259204.000000,-261397125538.000000,247388133666.000000,247388133666.000000,-153678315097.000000,,5310002181.000000,503127154.000000,,904804723.000000,,2601967143.000000,9319901201.000000,,-66309445976.000000,-64234710574.000000,-20134843710.000000,-12319216038.000000,,-162998216298.000000,-153678315097.000000,93709818569.000000,-1422268161.000000,1024408753.000000,-2446676914.000000,-1422268161.000000,92287550408.000000,-24300401576.000000,-24138045750.000000,-162355826.000000,-24300401576.000000,67987148832.000000,2042108396.000000,70029257228.000000,67987148832.000000,67987148832.000000,,67987148832.000000,70029257228.000000,70029257228.000000,,70029257228.000000
12M 2017,309479263652.000000,614872915093.000000,-305393651441.000000,309479263652.000000,309479263652.000000,-290171194049.000000,,6338502304.000000,,,,,8484064074.000000,14822566378.000000,,-85838982298.000000,-84135624913.000000,-17751855840.000000,-117267297376.000000,,-304993760427.000000,-290171194049.000000,19308069603.000000,745595786.000000,945895877.000000,-200300091.000000,745595786.000000,20053665389.000000,-5633252750.000000,-5372379250.000000,-260873500.000000,-5633252750.000000,14420412639.000000,8205198846.000000,22625611485.000000,14420412639.000000,14420412639.000000,,14420412639.000000,22625611485.000000,22625611485.000000,,22625611485.000000
12M 2018,286341086643.000000,589663115314.000000,-303322028671.000000,286341086643.000000,286341086643.000000,-424869969847.000000,,9299796923.000000,,,,,4137188765.000000,13436985688.000000,,-93391520940.000000,-96474782979.000000,-8818286340.000000,-239622365276.000000,,-438306955535.000000,-424869969847.000000,-138528883204.000000,203922356.000000,2081763970.000000,-1877841614.000000,203922356.000000,-138324960848.000000,1336509919.000000,,1336509919.000000,1336509919.000000,-136988450929.000000,-6501029383.000000,-143489480312.000000,-136988450929.000000,-136988450929.000000,,-136988450929.000000,-143489480312.000000,-143489480312.000000,,-143489480312.000000
12M 2019,216098626449.000000,532495206620.000000,-316396580171.000000,216098626449.000000,216098626449.000000,-196365945537.000000,,15006045671.000000,,164894325000.000000,,,2725749707.000000,182626120378.000000,,-100953522466.000000,-100645470162.000000,-11608898381.000000,-165784174906.000000,,-378992065915.000000,-196365945537.000000,19732680912.000000,-1874272153.000000,22923860767.000000,-24798132920.000000,-1874272153.000000,17858408759.000000,-1855611288.000000,,-1855611288.000000,-1855611288.000000,16002797471.000000,3083366524.000000,19086163995.000000,16002797471.000000,16002797471.000000,,16002797471.000000,19086163995.000000,19086163995.000000,,19086163995.000000
12M 2020,158230923413.000000,435200503846.000000,-276969580433.000000,158230923413.000000,158230923413.000000,-141099202532.000000,,22009283501.000000,,60438368990.000000,,,4334455456.000000,86782107947.000000,,-96480482699.000000,-96328568023.000000,-9703855947.000000,-25368403810.000000,,-227881310479.000000,-141099202532.000000,17131720881.000000,-1304362236.000000,368886624.000000,-1673248860.000000,-1304362236.000000,15827358645.000000,44144050.000000,,44144050.000000,44144050.000000,15871502695.000000,13307193034.000000,29178695729.000000,15871502695.000000,15871502695.000000,,15871502695.000000,29178695729.000000,29178695729.000000,,29178695729.000000
12M 2021,315089543350.000000,665650879623.000000,-350561336273.000000,315089543350.000000,315089543350.000000,-1300375635230.000000,,21896088033.000000,,,,1505222256.000000,105500683313.000000,128901993602.000000,,-172288663305.000000,-526104363791.000000,-535972607805.000000,-194911993931.000000,,-1429277628832.000000,-1300375635230.000000,-985286091880.000000,-5134430379.000000,352872192.000000,-5487302571.000000,-5134430379.000000,-990420522259.000000,4131059786.000000,,4131059786.000000,4131059786.000000,-986289462473.000000,4050291836.000000,-982239170637.000000,-986289462473.000000,-986289462473.000000,,-986289462473.000000,-982239170637.000000,-982239170637.000000,,-982239170637.000000
12M 2022,1448657000000.000000,2161809000000.000000,-713152000000.000000,1448657000000.000000,1448657000000.000000,-2233659000000.000000,,33952000000.000000,,,,131238000000.000000,290047000000.000000,455237000000.000000,,-242496000000.000000,-943328000000.000000,-284208000000.000000,-1072924000000.000000,-145940000000.000000,-2688896000000.000000,-2233659000000.000000,-785002000000.000000,-940000000.000000,436000000.000000,-1376000000.000000,-940000000.000000,-785942000000.000000,-3117000000.000000,,-3117000000.000000,-3117000000.000000,-789059000000.000000,-55851000000.000000,-844910000000.000000,-789059000000.000000,-789059000000.000000,,-789059000000.000000,-844910000000.000000,-844910000000.000000,,-844910000000.000000
12M 2023,2902481000000.000000,3847049000000.000000,-944568000000.000000,2902481000000.000000,2902481000000.000000,-3477395000000.000000,,39896000000.000000,,,,304748000000.000000,292642000000.000000,637286000000.000000,,-316167000000.000000,-547873000000.000000,-88513000000.000000,-2762107000000.000000,-400021000000.000000,-4114681000000.000000,-3477395000000.000000,-574914000000.000000,1042000000.000000,2628000000.000000,-1586000000.000000,1042000000.000000,-573872000000.000000,692000000.000000,,692000000.000000,692000000.000000,-573180000000.000000,57285000000.000000,-515895000000.000000,-573180000000.000000,-573180000000.000000,,-573180000000.000000,-515895000000.000000,-515895000000.000000,,-515895000000.000000
