Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,1.25 B,12.89,38.56,2.90,,1.15%,4.33%,11.48%,1.43
12M 2009,1.25 B,5.52,90.04,3.21,,0.65%,1.82%,6.97%,1.05
12M 2010,1.25 B,72.22,8.34,2.59,,7.51%,19.34%,12.35%,2.39
12M 2011,1.25 B,40.37,13.70,2.03,,3.37%,9.78%,6.92%,1.92
12M 2012,1.34 B,120.26,13.39,3.24,,4.73%,20.85%,9.49%,3.15
12M 2013,1.36 B,4.13,320.34,2.52,,0.16%,0.50%,4.37%,1.06
12M 2014,4.00 B,6.29,155.80,3.78,,0.17%,0.81%,2.84%,
12M 2015,4.69 B,-9.22,-182.97,6.16,,-0.22%,-1.04%,1.08%,
12M 2016,5.47 B,-8.35,-176.89,3.53,,-0.21%,-0.87%,4.38%,
12M 2017,5.47 B,-61.15,-25.53,3.58,,-1.68%,-6.85%,0.31%,
12M 2018,38.53 B,3.11,48.55,2.19,"1,130.38 B",0.64%,2.38%,5.51%,
12M 2019,38.91 B,1.20,125.00,2.13,"1,098.31 B",0.25%,0.95%,5.56%,
12M 2020,39.76 B,1.56,86.54,2.02,"1,132.90 B",0.32%,1.35%,5.71%,
12M 2021,42.62 B,3.34,18.56,0.97,"1,208.38 B",0.66%,2.76%,5.71%,
12M 2022,42.62 B,3.20,24.69,1.18,"1,149.89 B",0.56%,2.55%,4.83%,
12M 2023,42.62 B,1.31,38.17,0.72,"1,282.41 B",0.22%,0.90%,4.90%,
12M 2024,42.62 B,2.17,25.35,0.70,"1,663.60 B",0.31%,1.57%,5.76%,
