Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Bunga Serta Provisi Dan Komisi,Pembayaran Bunga Dan Provisi,Pembayaran Beban Tenaga Kerja,"Pembayaran Beban Umum, Administrasi, Pemeliharaan Dan Perbaikan",Pembayaran Untuk Beban Non-Operasional - Neto,Penerimaan Dari Pendapatan Non-Operasional - Bersih,Pendapatan (Beban) Operasional Lainnya,Penerimaan Dukungan Operasional,Penerimaan Dari Klaim Pajak,Penerimaan Dari Penjualan Agunan Yang Diambil Alih,Penurunan (Kenaikan) Aktiva Operasi :,Penempatan Pada Bank Lain,Surat-Surat Berharga,Tagihan Akseptasi - Neto,Efek-Efek Yang Dijual Dengan Janji Dibeli Kembaii,Efek-Efek Yang Dibeli Dengan Janji Dijual Kembaii,Tagihan Lainnya - Transaksi Perdagangan,Kredit Yang Diberikan,Biaya Dibayar Dimuka Dan Uang Muka,Aset Lain-Lain,Total Penurunan (Kenaikan) Aktiva Operasi :,Kenaikan (Penurunan) Kewajiban Operasi :,Simpanan Dan Simpanan Dari Bank Lain,Liabilitas Akseptasi,Liabilitas Segera Lainnya,Liabilitas Atas Efek-Efek Yang Dijual Dengan Janji Dibeli Kembali,Liabilitas Lain-Lain,Total Kenaikan (Penurunan) Kewajiban Operasi :,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penjualan Aset Tetap,Hasil Penjualan Dari Efek-Efek Yang Diukur Pada Nilai Wajar Melalui Penghasilan Komprehensif Lain,Hasil Penjualan Dari Efek-Efek Yang Diukur Pada Nilai Wajar Melalui Laba Rugi,Pembelian Efek-Efek Yang Diukur Pada Nilai Wajar Melalui Laba Rugi,Pembelian Efek-Efek Yang Diukur Pada Nilai Wajar Melalui Penghasilan Komprehensif Lain,Hasil Penjualan Surat Berharga Tersedia Untuk Dijual,Perolehan Surat Berharga Dimiliki Hingga Jatuh Tempo Dan Tersedia Untuk Dijual,Perolehan Aset Takberwujud,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penerbitan Saham - Bersih,Penerimaan Dana Setoran Modal,Penerimaan Penawaran Umum Terbatas Dari Masyarakat,Pembayaran Biaya Emisi Saham,Penyertaan Modal Sementara,Uang Muka Setoran Modal,Pembayaran Liabilitas Sewa,Penerimaan Pinjaman Subordinasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2008,-5962802000000.000000,646246000000.000000,-751184000000.000000,-137529000000.000000,-278588000000.000000,,-235044000000.000000,-1017204000000.000000,,,,,1659693000000.000000,1155883000000.000000,,,,-2339329000000.000000,-934418000000.000000,,930127000000.000000,471956000000.000000,,-5383334000000.000000,,54860000000.000000,,667019000000.000000,-4661455000000.000000,-5962802000000.000000,-31669000000.000000,1435000000.000000,,,,,,,,-33104000000.000000,-31669000000.000000,4977142000000.000000,2000000.000000,,,,4977140000000.000000,,,,4977142000000.000000,-1017329000000.000000,1189154000000.000000,153829000000.000000,,325654000000.000000
12M 2009,-1411502000000.000000,574368000000.000000,-475717000000.000000,-115521000000.000000,-139424000000.000000,,3441000000.000000,-412404000000.000000,,,,,-72692000000.000000,-1130215000000.000000,,,,485046000000.000000,-98124000000.000000,,-173990000000.000000,-989975000000.000000,,864047000000.000000,,-61169000000.000000,,-659148000000.000000,143730000000.000000,-1411502000000.000000,-6742000000.000000,7734000000.000000,,,,,,,,-14476000000.000000,-6742000000.000000,1785221000000.000000,,,,,1785221000000.000000,,,,1785221000000.000000,366977000000.000000,325654000000.000000,146719000000.000000,,839350000000.000000
12M 2010,617169000000.000000,719422000000.000000,-573757000000.000000,-150121000000.000000,-129608000000.000000,,-4419000000.000000,-118940000000.000000,,,,,-1285472000000.000000,361616000000.000000,,,,211479000000.000000,-1438167000000.000000,,-35828000000.000000,-2186372000000.000000,,2999097000000.000000,,-10183000000.000000,,72050000000.000000,3060964000000.000000,617169000000.000000,-2848000000.000000,33000000.000000,,,,,,,,-2881000000.000000,-2848000000.000000,,,,,,,,,,,614321000000.000000,2574850000000.000000,2379000000.000000,,3191550000000.000000
12M 2011,-300150000000.000000,1065835000000.000000,-828832000000.000000,-159783000000.000000,-177037000000.000000,,7575000000.000000,-2451165000000.000000,,,,,651880000000.000000,1634518000000.000000,,,,408677000000.000000,-3094830000000.000000,,542732000000.000000,142977000000.000000,,2361779000000.000000,,2523000000.000000,,-264022000000.000000,2100280000000.000000,-300150000000.000000,-21173000000.000000,4487000000.000000,,,,,,,,-25660000000.000000,-21173000000.000000,,,,,,,,,,,-321323000000.000000,3191550000000.000000,10411000000.000000,,2880638000000.000000
12M 2012,81376000000.000000,1333254000000.000000,-864840000000.000000,-202243000000.000000,-125903000000.000000,,9775000000.000000,-207081000000.000000,,,,,,-3369000000.000000,,,,-99140000000.000000,-1750956000000.000000,,178829000000.000000,-1674636000000.000000,,1850114000000.000000,,1874000000.000000,,-38938000000.000000,1813050000000.000000,81376000000.000000,-1171000000.000000,2202000000.000000,,,,,,,,-3373000000.000000,-1171000000.000000,,,,,,,,,,,80205000000.000000,2880638000000.000000,22423000000.000000,,2983266000000.000000
12M 2013,-756921000000.000000,1353399000000.000000,-1014463000000.000000,-234891000000.000000,-167945000000.000000,,56781000000.000000,136306000000.000000,,,,,-7000000000.000000,152094000000.000000,,,,-98770000000.000000,16243000000.000000,,-106494000000.000000,-43927000000.000000,,-854335000000.000000,,-1059000000.000000,,13213000000.000000,-842181000000.000000,-756921000000.000000,-485695000000.000000,8000000.000000,,,,,,-472013000000.000000,-10436000000.000000,-3254000000.000000,-485695000000.000000,1249480000000.000000,,,,,,1249480000000.000000,,,1249480000000.000000,6864000000.000000,2983268000000.000000,83535000000.000000,,3073667000000.000000
12M 2014,798825000000.000000,1215878000000.000000,-1123879000000.000000,-252479000000.000000,-190082000000.000000,,-170125000000.000000,-620848000000.000000,,,,,7000000000.000000,-2454000000.000000,,,,11643000000.000000,3287505000000.000000,,181963000000.000000,3485657000000.000000,,-1545966000000.000000,,-3672000000.000000,,4341000000.000000,-1545297000000.000000,798825000000.000000,-1044502000000.000000,1000000.000000,,,,,,-1028986000000.000000,-9406000000.000000,-6111000000.000000,-1044502000000.000000,300000000000.000000,,,,,,300000000000.000000,,,300000000000.000000,54323000000.000000,3073667000000.000000,2535000000.000000,,3130525000000.000000
12M 2015,-2827747000000.000000,1069361000000.000000,-937111000000.000000,-328339000000.000000,-191661000000.000000,,-31679000000.000000,-39762000000.000000,,,,,,-108348000000.000000,,,,-76983000000.000000,-2273867000000.000000,,-46300000000.000000,-2505498000000.000000,,323789000000.000000,,2767000000.000000,,-189614000000.000000,136942000000.000000,-2827747000000.000000,610432000000.000000,66467000000.000000,,,,,,552431000000.000000,-4938000000.000000,-3528000000.000000,610432000000.000000,1044625000000.000000,,,,,,700000000000.000000,,344625000000.000000,1044625000000.000000,-1172690000000.000000,3126265000000.000000,26919000000.000000,,1980494000000.000000
12M 2016,-253532000000.000000,1355863000000.000000,-957105000000.000000,-302449000000.000000,-177501000000.000000,,-190242000000.000000,6708000000.000000,,,,,,-294436000000.000000,,178596000000.000000,,12979000000.000000,-2297521000000.000000,,5547000000.000000,-2394835000000.000000,,2023631000000.000000,,51171000000.000000,,331227000000.000000,2406029000000.000000,-253532000000.000000,-899220000000.000000,1795000000.000000,,,,,,-885238000000.000000,-6586000000.000000,-9191000000.000000,-899220000000.000000,1000000000000.000000,,,,,,1000000000000.000000,,,1000000000000.000000,-152752000000.000000,1980494000000.000000,64637000000.000000,,1892379000000.000000
12M 2017,-135070000000.000000,1475357000000.000000,-1005217000000.000000,-236078000000.000000,-144153000000.000000,-1429000000.000000,,59332000000.000000,,,224298000000.000000,,,-618562000000.000000,-69509000000.000000,,,,-678338000000.000000,-73188000000.000000,31902000000.000000,-1407695000000.000000,,967277000000.000000,,6073000000.000000,85444000000.000000,-158279000000.000000,900515000000.000000,-135070000000.000000,62758000000.000000,7110000000.000000,,,,,76063000000.000000,,-4321000000.000000,-16094000000.000000,62758000000.000000,,,,,,,,,,,-72312000000.000000,1892379000000.000000,27078000000.000000,,1847145000000.000000
