Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2007,,,,,,,,,,,,,,,0.0
12M 2008,,,,,,,,,10.19,9.1,0.17,0.16,,,0.0
12M 2009,,,,,,,,,9.87,10.1,0.18,0.18,,,0.0
12M 2010,,,,,,,,,8.5,8.93,0.14,0.14,,,0.0
12M 2011,,,,,,,,,9.74,9.64,0.14,0.13,,,0.0
12M 2012,,,,,,,,,10.02,9.84,0.13,0.13,,,0.0
12M 2013,,,,,,,,,9.96,9.88,0.13,0.12,,,0.0
12M 2014,,,,,,,,,10.44,10.02,0.13,0.13,,,0.0
12M 2015,,,,,,,,,9.58,9.46,0.13,0.13,,,0.0
12M 2016,,,,,,,,,8.88,8.85,0.12,0.13,,,0.0
12M 2017,,,,,,,,,9.11,9.45,0.12,0.12,,,0.0
12M 2018,,,,,,,,,9.63,10.63,0.11,0.11,,,0.0
12M 2019,,,,,,,,,11.91,12.3,0.12,0.11,,,0.0
12M 2020,,,,,,,,,10.32,10.7,0.1,0.1,,,0.0
12M 2021,,,,,,,,,8.87,9.21,0.09,0.09,,,0.0
12M 2022,,,,,,,,,9.1,9.43,0.09,0.09,,,0.0
12M 2023,,,,,,,,,9.89,9.89,0.1,0.09,,,0.0
12M 2024,,,,,,,,,9.82,9.58,0.1,0.09,,,0.0
