Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.05,103.28,0.05,103.28,,,,,
12M 2009,-0.18,-54.69,-0.18,-54.69,,,,,
12M 2010,0.56,42.93,0.56,42.93,,,,,
12M 2011,0.38,50.03,0.38,50.03,,,,,
12M 2012,0.35,60.83,0.35,60.83,,,,,
12M 2013,0.22,66.75,0.22,66.75,,,,,
12M 2014,0.24,59.15,0.24,59.15,,,,,
12M 2015,0.31,28.89,0.31,28.89,,,,,
12M 2016,0.96,13.49,0.96,13.49,,,,,
12M 2017,0.98,12.30,0.98,12.30,,,,,
12M 2018,1.11,10.82,1.11,10.82,,,,,
12M 2019,1.40,8.57,1.40,8.57,,,,,
12M 2020,0.46,212.38,0.46,212.38,,,,,
12M 2021,1.48,36.46,1.48,36.46,,,,,
12M 2022,1.58,31.65,1.58,31.65,,,,,
12M 2023,1.55,32.18,1.55,32.18,,,,,
12M 2024,0.91,32.85,0.91,32.85,,,,,
