Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2012,,,,,,,,,,,,,,,0.0
12M 2013,,,,,,,,,10.31,,0.09,,,,0.0
12M 2014,,,,,,,,,9.64,,0.09,,,,0.0
12M 2015,,,,,,,,,10.75,,0.1,,,,0.0
12M 2016,,,,,,,,,7.4,5.07,0.09,0.07,,,0.0
12M 2017,,,,,,,,,6.42,6.38,0.09,0.08,,,0.0
12M 2018,,,,,,,,,6.4,6.88,0.09,0.09,,,0.0
12M 2019,,,,,,,,,7.08,7.31,0.09,0.09,,,0.0
12M 2020,,,,,,,,,6.65,6.85,0.07,0.07,,,0.0
12M 2021,,,,,,,,,5.99,5.96,0.05,0.04,,,0.0
12M 2022,,,,,,,,,7.62,7.29,0.05,0.05,,,0.0
12M 2023,,,,,,,,,9.72,9.56,0.06,0.07,,,0.0
12M 2024,,,,,,,,,11.6,11.67,0.07,0.07,,,0.0
