Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.08,669.53,0.16,323.24,708 B,"4,359 B","5,067 B","3,602 B","4,778 B"
12M 2009,0.08,667.75,0.15,353.29,"2,146 B","2,444 B","4,590 B","2,972 B","3,159 B"
12M 2010,0.87,186.75,1.45,112.29,"3,104 B","1,540 B","4,644 B","3,358 B","2,449 B"
12M 2011,1.56,189.02,4.36,67.69,"1,546 B","2,597 B","4,143 B","3,022 B","4,570 B"
12M 2012,2.08,259.51,3.37,160.24,"1,128 B","3,539 B","4,668 B","3,329 B","9,660 B"
12M 2013,1.48,229.27,2.56,132.62,670 B,"9,885 B","10,555 B","8,607 B","8,519 B"
12M 2014,1.03,281.77,1.85,156.17,420 B,"13,059 B","13,479 B","9,819 B","7,131 B"
12M 2015,0.65,265.79,1.26,137.82,"4,671 B","10,461 B","15,132 B","10,991 B","2,176 B"
12M 2016,0.54,251.85,0.89,151.72,"6,334 B","9,543 B","15,877 B","12,268 B","1,536 B"
12M 2017,0.36,250.70,0.64,141.23,"8,166 B","10,720 B","18,886 B","16,185 B","1,298 B"
12M 2018,0.24,237.47,0.42,137.94,"5,706 B","13,685 B","19,391 B","17,118 B","2,013 B"
12M 2019,0.32,201.78,0.52,122.32,"5,152 B","10,306 B","15,458 B","14,016 B","1,516 B"
12M 2020,0.33,197.73,0.57,114.87,"7,880 B","6,598 B","14,478 B","12,521 B",939 B
12M 2021,0.31,180.70,0.55,101.97,"9,134 B","3,452 B","12,586 B","9,092 B","2,210 B"
12M 2022,0.29,197.97,0.53,106.86,"6,035 B","6,757 B","12,791 B","8,320 B","3,227 B"
12M 2023,0.24,207.95,0.44,114.24,"6,597 B","5,891 B","12,488 B","7,597 B","5,031 B"
12M 2024,0.17,204.27,0.32,106.98,"5,602 B","6,063 B","11,664 B","7,633 B","5,044 B"
