Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Utang Lain-Lain,Utang Pajak,Beban Akrual,Utang Bank Jangka Pendek,Others,Total Utang Bank Jangka Pendek,Utang Pihak Berelasi,Utang Dari Pihak Ketiga,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Others,Total Utang Bank Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Jangka Panjang Dari Pihak Berelasi,Utang Lain Jangka Panjang,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,1424008656.000000,9420675539.000000,606680395.000000,37664962398.000000,8508321968.000000,57624648956.000000,,27933667024.000000,21808543262.000000,,102277580.000000,49844487866.000000,107469136822.000000,,,108480759504.000000,32485801873.000000,42390447550.000000,8874524362.000000,6881485719.000000,,17848500000.000000,17848500000.000000,,,,,,,108480759504.000000,213358316175.000000,,122902426060.000000,122902426060.000000,,,,87235143266.000000,,,3220746849.000000,213358316175.000000,321839075679.000000,,43000000000.000000,-257369938857.000000,,-214369938857.000000,107469136822.000000,86000000.000000
12M 2009,,,2878781765.000000,11089618827.000000,603150989.000000,47683882513.000000,4791923381.000000,67047357475.000000,,8935847452.000000,18727586472.000000,,170059990.000000,27833493914.000000,94880851389.000000,,,114702311140.000000,37818730255.000000,47982061830.000000,7543926190.000000,7257592865.000000,,14100000000.000000,14100000000.000000,,,,,,,114702311140.000000,182209899835.000000,,91405279083.000000,91405279083.000000,,,,87235143266.000000,,,3569477486.000000,182209899835.000000,296912210975.000000,,43000000000.000000,-245031359586.000000,,-202031359586.000000,94880851389.000000,86000000.000000
12M 2010,,,2181787223.000000,8621050565.000000,320572201.000000,49663454666.000000,4157717763.000000,64944582418.000000,,5583878300.000000,16397854900.000000,,348901990.000000,22330635190.000000,87275217608.000000,,,116597310998.000000,34217418824.000000,50671354158.000000,4424164282.000000,6155523734.000000,,21128850000.000000,21128850000.000000,,,,,,,116597310998.000000,163556078088.000000,,72143485948.000000,72143485948.000000,,,,87235143266.000000,,,4177448874.000000,163556078088.000000,280153389086.000000,,43000000000.000000,-235878171478.000000,,-192878171478.000000,87275217608.000000,86000000.000000
12M 2011,,,3465773105.000000,10323506292.000000,202481980.000000,53553428638.000000,4997194910.000000,72542384925.000000,,3307343720.000000,15192349983.000000,,483824107.000000,18983517810.000000,91525902735.000000,,,138191717230.000000,26898772223.000000,55361048346.000000,7432316522.000000,6167532061.000000,,42166200000.000000,42166200000.000000,,,,,,165848078.000000,138191717230.000000,143775565218.000000,,51904922327.000000,51904922327.000000,,,,87235143266.000000,,,4635499625.000000,143775565218.000000,281967282448.000000,,43000000000.000000,-233441379713.000000,,-190441379713.000000,91525902735.000000,86000000.000000
12M 2012,,,6533179764.000000,12780463206.000000,273919729.000000,61645598104.000000,3270954456.000000,84504115259.000000,,,15034310325.000000,,562394947.000000,15596705272.000000,100100820531.000000,,,154172355110.000000,35771064304.000000,72559403638.000000,5114600530.000000,9597108869.000000,,30944000000.000000,30944000000.000000,,,,111360000.000000,111360000.000000,74817769.000000,154172355110.000000,133746671322.000000,,39630961434.000000,39630961434.000000,,352640000.000000,352640000.000000,87235143266.000000,,296115255.000000,6231811367.000000,133746671322.000000,287919026432.000000,,43000000000.000000,-230818205901.000000,,-187818205901.000000,100100820531.000000,86000000.000000
12M 2013,,,12474697372.000000,17533513326.000000,237089346.000000,59234716981.000000,8206013370.000000,97686030395.000000,,5067479391.000000,14250928919.000000,,1002620393.000000,20321028703.000000,118007059098.000000,,,182739919441.000000,37543339368.000000,86013320076.000000,4210936589.000000,14553491408.000000,,40223700000.000000,40223700000.000000,,,,195132000.000000,195132000.000000,,182739919441.000000,139235105702.000000,,45073697370.000000,45073697370.000000,,492596000.000000,492596000.000000,87235143266.000000,,,6433669066.000000,139235105702.000000,321975025143.000000,,43000000000.000000,-246967966045.000000,,-203967966045.000000,118007059098.000000,86000000.000000
12M 2014,,,9428650648.000000,13956009069.000000,222323080.000000,56268118693.000000,7004399005.000000,86879500495.000000,,1864269616.000000,14028659400.000000,,1286148837.000000,17179077853.000000,104058578348.000000,,,94025048182.000000,26232558328.000000,,3256909403.000000,14937160118.000000,,40430000000.000000,40430000000.000000,7513291470.000000,1459996863.000000,,195132000.000000,195132000.000000,,94025048182.000000,203952499423.000000,,37836065314.000000,37836065314.000000,,297464000.000000,297464000.000000,87235143266.000000,71459802573.000000,,7124024270.000000,203952499423.000000,297977547605.000000,,43000000000.000000,-236918969257.000000,,-193918969257.000000,104058578348.000000,86000000.000000
12M 2015,,,27641567527.000000,15825508503.000000,274890113.000000,34651722560.000000,5008162181.000000,83401850884.000000,,1799553708.000000,12942798526.000000,,1414191643.000000,16156543877.000000,99558394761.000000,,,89655828325.000000,23079518013.000000,,3537330940.000000,19997781055.000000,,41385000000.000000,41385000000.000000,964872321.000000,496193996.000000,,195132000.000000,195132000.000000,,89655828325.000000,211915081361.000000,,28573758006.000000,28573758006.000000,,102332000.000000,102332000.000000,87235143266.000000,79243406470.000000,,16760441619.000000,211915081361.000000,301570909686.000000,,43000000000.000000,-241849184426.000000,-3163330501.000000,-202012514927.000000,99558394759.000000,86000000.000000
12M 2016,,,17601506142.000000,15142829214.000000,4561197187.000000,38275037492.000000,3719586131.000000,79300156166.000000,,,11365108955.000000,,1376009440.000000,12741118395.000000,92041274561.000000,,,89438951168.000000,19324511990.000000,,8310567531.000000,27840297570.000000,,33581760642.000000,33581760642.000000,150000000.000000,148041435.000000,,83772000.000000,83772000.000000,,89438951168.000000,99777795015.000000,,,,,,,,77181182265.000000,5000775907.000000,17595836843.000000,99777795015.000000,189216746183.000000,,130235143200.000000,-224439063684.000000,-2971551138.000000,-97175471622.000000,92041274561.000000,608175716.000000
12M 2017,,,17757501843.000000,13744954448.000000,959232042.000000,34873724745.000000,5049744319.000000,72385157397.000000,,4394099566.000000,10990004495.000000,,1558067395.000000,16942171456.000000,89327328853.000000,,,84180581813.000000,17729836051.000000,,5800565180.000000,27655492748.000000,,32845874707.000000,32845874707.000000,,40069127.000000,,108744000.000000,108744000.000000,,84180581813.000000,89784120761.000000,,,,,117806000.000000,117806000.000000,,65970050262.000000,,23696264499.000000,89784120761.000000,173964702574.000000,,130235143200.000000,-208643411652.000000,-6229105269.000000,-84637373721.000000,89327328853.000000,608175716.000000
