Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2013,0.00,535.31,0.00,535.31,985 B,"1,725 B","2,710 B","2,443 B","(1,098 B)"
12M 2014,6.67,1412.94,6.67,1412.94,432 B,"1,617 B","2,050 B","1,099 B",(219 B)
12M 2015,4.17,1701.01,4.17,1701.01,688 B,"1,281 B","1,969 B","1,698 B",(398 B)
12M 2016,1.64,1834.04,1.64,1834.04,658 B,"1,186 B","1,844 B","1,252 B",68 B
12M 2017,1.78,1940.55,1.78,1940.55,269 B,495 B,764 B,289 B,335 B
12M 2018,1.38,2073.22,1.38,2073.22,291 B,418 B,710 B,134 B,457 B
12M 2019,1.17,2121.89,1.19,2097.50,441 B,649 B,"1,090 B",627 B,185 B
12M 2020,0.63,2053.65,0.64,2029.26,326 B,924 B,"1,250 B",451 B,602 B
12M 2021,0.68,2018.32,0.69,1993.93,345 B,494 B,840 B,(106 B),801 B
12M 2022,0.67,2097.52,0.68,2073.13,490 B,195 B,685 B,(206 B),472 B
12M 2023,0.81,2206.23,0.82,2181.84,416 B,606 B,"1,022 B",38 B,621 B
12M 2024,0.69,2350.32,0.69,2325.92,446 B,919 B,"1,365 B",203 B,706 B
