Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2013,2.13 B,332.86,0.00,0.00,,14.12%,62.18%,58.98%,5.23
12M 2014,2.50 B,293.80,32.08,4.96,,10.25%,20.79%,23.18%,3.73
12M 2015,2.50 B,329.33,21.56,3.25,,11.52%,19.36%,19.69%,5.32
12M 2016,2.50 B,202.74,14.80,1.57,,6.95%,11.05%,12.74%,3.79
12M 2017,2.50 B,169.80,20.38,2.06,,6.52%,8.75%,9.03%,4.28
12M 2018,2.50 B,182.77,15.70,1.70,"1,123.58 B",6.58%,8.82%,8.99%,8.53
12M 2019,2.50 B,125.72,19.81,1.54,893.23 B,4.24%,5.92%,5.72%,4.61
12M 2020,2.50 B,-64.49,-20.16,1.59,301.03 B,-2.22%,-3.14%,-3.42%,-2.17
12M 2021,2.50 B,3.08,448.05,1.55,431.73 B,0.12%,0.15%,-0.26%,-0.21
12M 2022,2.50 B,143.22,9.84,0.98,867.90 B,5.20%,6.83%,6.99%,8.85
12M 2023,2.50 B,181.04,9.89,1.01,"1,082.77 B",5.98%,8.21%,8.53%,9.56
12M 2024,2.50 B,233.88,6.88,0.80,"1,183.10 B",6.93%,9.95%,9.02%,9.24
