Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2009,0.00,487.96,0.00,487.96,,,,,
12M 2010,2.84,514.73,2.84,514.73,,,,,
12M 2011,1.66,554.30,1.66,554.30,,,,,
12M 2012,1.74,616.23,1.74,616.23,,,,,
12M 2013,1.30,689.36,1.30,689.36,,,,,
12M 2014,1.01,726.36,1.01,726.36,,,,,
12M 2015,0.96,795.45,0.96,795.45,,,,,
12M 2016,3.44,993.35,3.44,993.35,,,,,
12M 2017,2.33,1037.97,2.33,1037.97,,,,,
12M 2018,1.81,1142.07,1.81,1142.07,,,,,
12M 2019,0.98,1218.93,0.98,1218.93,,,,,
12M 2020,1.29,1215.55,1.29,1215.55,,,,,
12M 2021,1.02,1325.00,1.02,1325.00,,,,,
12M 2022,0.96,1402.76,0.96,1402.76,,,,,
12M 2023,0.78,1478.87,0.78,1478.87,,,,,
12M 2024,0.59,1548.36,0.59,1543.87,,,,,
