Period,Total Pendapatan,Pendapatan Bunga Dan Syariah,Provisi Dan Komisi Kredit,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Pendapatan Operasional Lainnya,Provisi Dan Komisi Lainnya,Penerimaan Kembali Aset Yang Telah Dihapusbukukan,Keuntungan Dari Perubahan Nilai Wajar Efek-Efek,Keuntungan Transaksi Mata Uang Asing,Keuntungan Dari Penjualan Aset-Aset Keuangan,Others,Total Pendapatan Operasional Lainnya,Beban Operasional Lainnya,Beban Provisi Dan Komisi,Beban Umum Dan Administrasi,Beban Tenaga Kerja,Beban Penyisihan Kerugian Penurunan Nilai Atas Aset Keuangan Dan Non-Keuangan,Penurunan Nilai Wajar Aset Keuangan Yang Diperdagangkan,Kerugian Dari Penjualan Aset-Aset Keuangan,Others,Total Beban Operasional Lainnya,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Non-Operasional,Beban Non-Operasional,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2009,3944548000000.000000,3836757000000.000000,107791000000.000000,3944548000000.000000,-1841510000000.000000,2103038000000.000000,-1148055000000.000000,,236195000000.000000,,,16227000000.000000,2851000000.000000,6810000000.000000,262083000000.000000,,,-433486000000.000000,-711253000000.000000,-160184000000.000000,,,-105215000000.000000,-1410138000000.000000,-1148055000000.000000,954983000000.000000,30394000000.000000,40601000000.000000,-10207000000.000000,30394000000.000000,985377000000.000000,-276271000000.000000,-276271000000.000000,,-276271000000.000000,709106000000.000000,,709106000000.000000,,,,,709106000000.000000,709106000000.000000,,709106000000.000000,,,,,
12M 2010,4894312000000.000000,4889308000000.000000,5004000000.000000,4894312000000.000000,-2254731000000.000000,2639581000000.000000,-1449043000000.000000,,204145000000.000000,,,13698000000.000000,41389000000.000000,18480000000.000000,277712000000.000000,,,-555563000000.000000,-696880000000.000000,-352667000000.000000,,,-121645000000.000000,-1726755000000.000000,-1449043000000.000000,1190538000000.000000,29090000000.000000,42316000000.000000,-13226000000.000000,29090000000.000000,1219628000000.000000,-329403000000.000000,-329403000000.000000,,-329403000000.000000,890225000000.000000,-54000000.000000,890171000000.000000,,,,,890171000000.000000,890225000000.000000,-54000000.000000,890171000000.000000,,,,,
12M 2011,5977050000000.000000,5973615000000.000000,3435000000.000000,5977050000000.000000,-2915841000000.000000,3061209000000.000000,-1786315000000.000000,,180278000000.000000,42545000000.000000,,10751000000.000000,,6594000000.000000,240168000000.000000,,,-785168000000.000000,-762652000000.000000,-340719000000.000000,,-147000000.000000,-137797000000.000000,-2026483000000.000000,-1786315000000.000000,1274894000000.000000,44922000000.000000,60171000000.000000,-15249000000.000000,44922000000.000000,1319816000000.000000,-357121000000.000000,-346079000000.000000,-11042000000.000000,-357121000000.000000,962695000000.000000,,962695000000.000000,,,,962695000000.000000,962695000000.000000,962260000000.000000,435000000.000000,962695000000.000000,962695000000.000000,962260000000.000000,435000000.000000,,962695000000.000000
12M 2012,6795686000000.000000,6782159000000.000000,13527000000.000000,6795686000000.000000,-3140311000000.000000,3655375000000.000000,-2236134000000.000000,,219213000000.000000,,,14627000000.000000,1195000000.000000,95327000000.000000,330362000000.000000,,,-986237000000.000000,-967340000000.000000,-403388000000.000000,-716000000.000000,,-208815000000.000000,-2566496000000.000000,-2236134000000.000000,1419241000000.000000,93258000000.000000,112185000000.000000,-18927000000.000000,93258000000.000000,1512499000000.000000,-319195000000.000000,-253006000000.000000,-66189000000.000000,-319195000000.000000,1193304000000.000000,,1193304000000.000000,,,,1193304000000.000000,1193304000000.000000,1192684000000.000000,620000000.000000,1193304000000.000000,1193304000000.000000,1192684000000.000000,620000000.000000,,1193304000000.000000
12M 2013,8132988000000.000000,8096294000000.000000,36694000000.000000,8132988000000.000000,-3350845000000.000000,4782143000000.000000,-3030212000000.000000,,268719000000.000000,,,32636000000.000000,1926000000.000000,153977000000.000000,457258000000.000000,,,-1256991000000.000000,-1265943000000.000000,-616067000000.000000,-56585000000.000000,,-291884000000.000000,-3487470000000.000000,-3030212000000.000000,1751931000000.000000,943000000.000000,27497000000.000000,-26554000000.000000,943000000.000000,1752874000000.000000,-376487000000.000000,,,-376487000000.000000,1376387000000.000000,,1376387000000.000000,,,,1376387000000.000000,1376387000000.000000,1372913000000.000000,3474000000.000000,1376387000000.000000,1376387000000.000000,1372913000000.000000,3474000000.000000,,1376387000000.000000
12M 2014,8791820000000.000000,8562830000000.000000,228990000000.000000,8791820000000.000000,-4330222000000.000000,4461598000000.000000,-3045763000000.000000,,282644000000.000000,,23683000000.000000,2761000000.000000,,256816000000.000000,565904000000.000000,,,-1320527000000.000000,-1320129000000.000000,-662681000000.000000,,,-308330000000.000000,-3611667000000.000000,-3045763000000.000000,1415835000000.000000,22655000000.000000,37984000000.000000,-15329000000.000000,22655000000.000000,1438490000000.000000,-318455000000.000000,,,-318455000000.000000,1120035000000.000000,,1120035000000.000000,,,,1120035000000.000000,1120035000000.000000,1116095000000.000000,3940000000.000000,1120035000000.000000,1120035000000.000000,1116095000000.000000,3940000000.000000,,1120035000000.000000
12M 2015,10084451000000.000000,9836261000000.000000,248190000000.000000,10084451000000.000000,-5108209000000.000000,4976242000000.000000,-3164945000000.000000,,381778000000.000000,,35876000000.000000,7987000000.000000,,140148000000.000000,565789000000.000000,,,-1424763000000.000000,-1770009000000.000000,-137515000000.000000,,,-398447000000.000000,-3730734000000.000000,-3164945000000.000000,1811297000000.000000,-44899000000.000000,,-44899000000.000000,-44899000000.000000,1766398000000.000000,-385434000000.000000,,,-385434000000.000000,1380964000000.000000,,1380964000000.000000,-11135000000.000000,-11135000000.000000,-11135000000.000000,1369829000000.000000,1380964000000.000000,1377109000000.000000,3855000000.000000,1380964000000.000000,1369829000000.000000,1365938000000.000000,3891000000.000000,,1369829000000.000000
12M 2016,10677875000000.000000,10625869000000.000000,52006000000.000000,10677875000000.000000,-4599263000000.000000,6078612000000.000000,-4558303000000.000000,,413772000000.000000,,18783000000.000000,87119000000.000000,,238523000000.000000,758197000000.000000,,,-1796527000000.000000,-2164291000000.000000,-990781000000.000000,,,-364901000000.000000,-5316500000000.000000,-4558303000000.000000,1520309000000.000000,-56401000000.000000,,-56401000000.000000,-56401000000.000000,1463908000000.000000,-310683000000.000000,,,-310683000000.000000,1153225000000.000000,,1153225000000.000000,1587878000000.000000,1587878000000.000000,1587878000000.000000,2741103000000.000000,1153225000000.000000,1154421000000.000000,-1196000000.000000,1153225000000.000000,2741103000000.000000,2741148000000.000000,-45000000.000000,,2741103000000.000000
12M 2017,11487572000000.000000,11419614000000.000000,67958000000.000000,11487572000000.000000,-5194717000000.000000,6292855000000.000000,-4592216000000.000000,,451936000000.000000,,11295000000.000000,5441000000.000000,,409565000000.000000,878237000000.000000,,,-2048233000000.000000,-2251354000000.000000,-781830000000.000000,,,-389036000000.000000,-5470453000000.000000,-4592216000000.000000,1700639000000.000000,-68674000000.000000,,-68674000000.000000,-68674000000.000000,1631965000000.000000,-420560000000.000000,,,-420560000000.000000,1211405000000.000000,,1211405000000.000000,83599000000.000000,83599000000.000000,83599000000.000000,1295004000000.000000,1211405000000.000000,1212036000000.000000,-631000000.000000,1211405000000.000000,1295004000000.000000,1295578000000.000000,-574000000.000000,,1295004000000.000000
12M 2018,11914209000000.000000,11843595000000.000000,70614000000.000000,11914209000000.000000,-5415178000000.000000,6499031000000.000000,-4440634000000.000000,,580577000000.000000,,15676000000.000000,8847000000.000000,,329364000000.000000,934464000000.000000,,,-2276047000000.000000,-2160020000000.000000,-517260000000.000000,-28823000000.000000,,-392948000000.000000,-5375098000000.000000,-4440634000000.000000,2058397000000.000000,-121353000000.000000,,-121353000000.000000,-121353000000.000000,1937044000000.000000,-384648000000.000000,,,-384648000000.000000,1552396000000.000000,,1552396000000.000000,228777000000.000000,228777000000.000000,228777000000.000000,1781173000000.000000,1552396000000.000000,1548249000000.000000,4147000000.000000,1552396000000.000000,1781173000000.000000,1776973000000.000000,4200000000.000000,,1781173000000.000000
